bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,1,,,1024,1.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v3_three_terminals\1.jpg,1024,,,1,,,,,,,19,,32,13,,32,,,diagram:1,Diagram,,,,,,,,,,06_match_terminals_to_nets_v3,,,,,,,,,,
10.76,59.15,462.24,550.68,6,Current_Source,,,,0.8218,,1,,vertical,,,,,6.1,,6.1,,,,,,,,,,,2,,,,component:1:6.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
15.46,54.92,605.18,653.55,9,GND,,,,0.8015,,1,top,up,,,,,9.1,,9.1,,,,,,,,,,,1,,,,component:1:9.1,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
144.55,180.49,801.1,911.72,22,Resistor,,,,0.7998,,1,,vertical,,,,,22.1,,22.1,,,,,,,,,,,2,,,,component:1:22.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
143.32,182.89,965.65,1014.77,9,GND,,,,0.7978,,1,top,up,,,,,9.2,,9.2,,,,,,,,,,,1,,,,component:1:9.2,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
145.67,181.0,565.04,679.34,22,Resistor,,,,0.799,,1,,vertical,,,,,22.2,,22.2,,,,,,,,,,,2,,,,component:1:22.2,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
203.84,251.22,580.3,664.98,4,Capacitor,,,,0.7961,,1,,vertical,,,,,4.1,,4.1,,,,,,,,,,,2,,,,component:1:4.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
279.01,332.91,293.75,467.62,18,NPN_Transistor,,,,0.7629,,1,,left,,,,,18.1,,18.1,,,,,,,,,,,3,,,,component:1:18.1,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
305.83,346.4,513.23,565.37,9,GND,,,,0.8235,,1,top,up,,,,,9.3,,9.3,,,,,,,,,,,1,,,,component:1:9.3,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
434.43,470.3,325.76,441.92,22,Resistor,,,,0.8049,,1,,vertical,,,,,22.3,,22.3,,,,,,,,,,,2,,,,component:1:22.3,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
433.99,471.92,517.49,564.69,9,GND,,,,0.8394,,1,top,up,,,,,9.4,,9.4,,,,,,,,,,,1,,,,component:1:9.4,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
557.07,605.33,449.3,533.36,4,Capacitor,,,,0.7474,,1,,vertical,,,,,4.2,,4.2,,,,,,,,,,,2,,,,component:1:4.2,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
562.36,600.48,599.92,651.77,9,GND,,,,0.8352,,1,top,up,,,,,9.5,,9.5,,,,,,,,,,,1,,,,component:1:9.5,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
691.76,726.83,437.47,550.08,22,Resistor,,,,0.8099,,1,,vertical,,,,,22.4,,22.4,,,,,,,,,,,2,,,,component:1:22.4,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
691.26,728.33,602.04,651.5,9,GND,,,,0.8568,,1,top,up,,,,,9.6,,9.6,,,,,,,,,,,1,,,,component:1:9.6,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
790.22,847.07,166.76,335.56,18,NPN_Transistor,,,,0.8565,,1,,left,,,,,18.2,,18.2,,,,,,,,,,,3,,,,component:1:18.2,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
819.79,855.34,437.39,551.11,22,Resistor,,,,0.8091,,1,,vertical,,,,,22.5,,22.5,,,,,,,,,,,2,,,,component:1:22.5,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
818.81,857.27,601.96,651.98,9,GND,,,,0.8163,,1,top,up,,,,,9.7,,9.7,,,,,,,,,,,1,,,,component:1:9.7,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
950.39,986.58,209.42,321.37,22,Resistor,,,,0.8082,,1,,vertical,,,,,22.6,,22.6,,,,,,,,,,,2,,,,component:1:22.6,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
950.23,988.56,398.67,445.22,9,GND,,,,0.7981,,1,top,up,,,,,9.8,,9.8,,,,,,,,,,,1,,,,component:1:9.8,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
,,,,,,6,Current_Source,component:1:6.1,,,1,,vertical,,,,,6.1,False,6.1:t1,high,1.0,matched_preferred,[],N2,2,,,,,,,,,terminal:1:6.1:t1,Terminal,,N2,2,top,directional,directional_primary,"[27, 436, 44, 465]",34,458,,,,6.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,34.95,458.24
,,,,,,6,Current_Source,component:1:6.1,,,1,,vertical,,,,,6.1,False,6.1:t2,high,1.0,matched_preferred,[],N1,1,,,,,,,,,terminal:1:6.1:t2,Terminal,,N1,1,bottom,directional,directional_primary,"[27, 549, 44, 578]",34,555,,,,6.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,34.95,554.68
,,,,,,9,GND,component:1:9.1,,,1,top,up,,,,,9.1,False,9.1:t1,high,1.0,matched_preferred,[],N1,1,,,,,,,,,terminal:1:9.1:t1,Terminal,,N1,1,top,directional,directional_primary,"[29, 583, 42, 607]",34,601,,,,9.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,35.19,601.18
,,,,,,22,Resistor,component:1:22.1,,,1,,vertical,,,,,22.1,False,22.1:t1,high,0.0,matched_preferred,[],N4,4,,,,,,,,,terminal:1:22.1:t1,Terminal,,N4,4,top,directional,directional_primary,"[157, 779, 170, 803]",163,797,,,,22.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,162.52,797.1
,,,,,,22,Resistor,component:1:22.1,,,1,,vertical,,,,,22.1,False,22.1:t2,high,0.0,matched_preferred,[],N3,3,,,,,,,,,terminal:1:22.1:t2,Terminal,,N3,3,bottom,directional,directional_primary,"[157, 911, 170, 935]",163,916,,,,22.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,162.52,915.72
,,,,,,9,GND,component:1:9.2,,,1,top,up,,,,,9.2,False,9.2:t1,high,0.0,matched_preferred,[],N3,3,,,,,,,,,terminal:1:9.2:t1,Terminal,,N3,3,top,directional,directional_primary,"[157, 944, 170, 968]",163,962,,,,9.2:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,163.1,961.65
,,,,,,22,Resistor,component:1:22.2,,,1,,vertical,,,,,22.2,False,22.2:t1,high,0.0,matched_preferred,[],N2,2,,,,,,,,,terminal:1:22.2:t1,Terminal,,N2,2,top,directional,directional_primary,"[157, 543, 170, 567]",163,561,,,,22.2:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,163.33,561.04
,,,,,,22,Resistor,component:1:22.2,,,1,,vertical,,,,,22.2,False,22.2:t2,high,0.0,matched_preferred,[],N4,4,,,,,,,,,terminal:1:22.2:t2,Terminal,,N4,4,bottom,directional,directional_primary,"[157, 678, 170, 702]",163,683,,,,22.2:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,163.33,683.34
,,,,,,4,Capacitor,component:1:4.1,,,1,,vertical,,,,,4.1,False,4.1:t1,high,1.0,matched_preferred,[],N2,2,,,,,,,,,terminal:1:4.1:t1,Terminal,,N2,2,top,directional,directional_primary,"[222, 558, 235, 582]",227,576,,,,4.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,227.53,576.3
,,,,,,4,Capacitor,component:1:4.1,,,1,,vertical,,,,,4.1,False,4.1:t2,high,1.0,matched_preferred,[],N4,4,,,,,,,,,terminal:1:4.1:t2,Terminal,,N4,4,bottom,directional,directional_primary,"[222, 664, 235, 688]",227,669,,,,4.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,227.53,668.98
,,,,,,18,NPN_Transistor,component:1:18.1,,,1,,left,,,,,18.1,False,18.1:t1,high,0.0,matched_preferred,[],N2,2,,,,,,,,,terminal:1:18.1:t1,Terminal,,N2,2,left,directional,directional_primary,"[257, 375, 281, 388]",275,381,,,,18.1:t1,t1,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""y"", ""relative_position"": ""left"", ""scan_start"": 338, ""scan_end"": 424, ""scan_margin"": 14, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 381, ""anchor_offset_ratio"": 0.5, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 39, ""selected_run_end"": 47, ""selected_run_length"": 9, ""selected_run_score"": 70, ""three_terminal_role"": ""single_side_terminal"", ""three_terminal_orientation"": ""left""}",three_terminal_structured,,,275.0,381.0
,,,,,,18,NPN_Transistor,component:1:18.1,,,1,,left,,,,,18.1,False,18.1:t2,high,1.0,matched_preferred,[],N7,7,,,,,,,,,terminal:1:18.1:t2,Terminal,,N7,7,top,directional,directional_primary,"[319, 272, 332, 296]",324,290,,,,18.1:t2,t2,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 307, ""scan_end"": 331, ""scan_margin"": 4, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 325, ""anchor_offset_ratio"": 0.8519, ""max_score"": 56, ""keep_threshold"": 48, ""selected_run_start"": 13, ""selected_run_end"": 22, ""selected_run_length"": 10, ""selected_run_score"": 56, ""three_terminal_role"": ""orthogonal_pair_terminal"", ""three_terminal_orientation"": ""left""}",three_terminal_structured,,,325.0,290.0
