class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
Terminal,,7,edge:7:diagram_to_component:26.1,26.1,,,,,,,,HAS_COMPONENT,,,diagram:7,component:7:26.1,,
Mosfet,,7,edge:7:diagram_to_component:16.1,16.1,,,,,,,,HAS_COMPONENT,,,diagram:7,component:7:16.1,,
GND,,7,edge:7:diagram_to_component:9.1,9.1,,,,,,,,HAS_COMPONENT,,,diagram:7,component:7:9.1,,
Resistor,,7,edge:7:diagram_to_component:22.1,22.1,,,,,,,,HAS_COMPONENT,,,diagram:7,component:7:22.1,,
Mosfet,,7,edge:7:diagram_to_component:16.2,16.2,,,,,,,,HAS_COMPONENT,,,diagram:7,component:7:16.2,,
Terminal,,7,edge:7:diagram_to_component:26.2,26.2,,,,,,,,HAS_COMPONENT,,,diagram:7,component:7:26.2,,
,,7,edge:7:diagram_to_net:N1,,,,,,,N1,1,HAS_NET,,,diagram:7,net:7:N1,,
,,7,edge:7:diagram_to_net:N2,,,,,,,N2,2,HAS_NET,,,diagram:7,net:7:N2,,
,,7,edge:7:diagram_to_net:N3,,,,,,,N3,3,HAS_NET,,,diagram:7,net:7:N3,,
,,7,edge:7:diagram_to_net:N4,,,,,,,N4,4,HAS_NET,,,diagram:7,net:7:N4,,
,,7,edge:7:diagram_to_net:N5,,,,,,,N5,5,HAS_NET,,,diagram:7,net:7:N5,,
,,7,edge:7:diagram_to_net:N6,,,,,,,N6,6,HAS_NET,,,diagram:7,net:7:N6,,
,,7,edge:7:component:26.1:terminal:26.1:t1,26.1,,,,,,,,HAS_TERMINAL,right,,component:7:26.1,terminal:7:26.1:t1,26.1:t1,t1
,,7,edge:7:component:16.1:terminal:16.1:t1,16.1,,,,,,,,HAS_TERMINAL,left,,component:7:16.1,terminal:7:16.1:t1,16.1:t1,t1
,,7,edge:7:component:16.1:terminal:16.1:t2,16.1,,,,,,,,HAS_TERMINAL,top,,component:7:16.1,terminal:7:16.1:t2,16.1:t2,t2
,,7,edge:7:component:16.1:terminal:16.1:t3,16.1,,,,,,,,HAS_TERMINAL,bottom,,component:7:16.1,terminal:7:16.1:t3,16.1:t3,t3
,,7,edge:7:component:9.1:terminal:9.1:t1,9.1,,,,,,,,HAS_TERMINAL,top,,component:7:9.1,terminal:7:9.1:t1,9.1:t1,t1
,,7,edge:7:component:22.1:terminal:22.1:t1,22.1,,,,,,,,HAS_TERMINAL,top,,component:7:22.1,terminal:7:22.1:t1,22.1:t1,t1
,,7,edge:7:component:22.1:terminal:22.1:t2,22.1,,,,,,,,HAS_TERMINAL,bottom,,component:7:22.1,terminal:7:22.1:t2,22.1:t2,t2
,,7,edge:7:component:16.2:terminal:16.2:t1,16.2,,,,,,,,HAS_TERMINAL,right,,component:7:16.2,terminal:7:16.2:t1,16.2:t1,t1
,,7,edge:7:component:16.2:terminal:16.2:t2,16.2,,,,,,,,HAS_TERMINAL,top,,component:7:16.2,terminal:7:16.2:t2,16.2:t2,t2
,,7,edge:7:component:16.2:terminal:16.2:t3,16.2,,,,,,,,HAS_TERMINAL,bottom,,component:7:16.2,terminal:7:16.2:t3,16.2:t3,t3
,,7,edge:7:component:26.2:terminal:26.2:t1,26.2,,,,,,,,HAS_TERMINAL,left,,component:7:26.2,terminal:7:26.2:t1,26.2:t1,t1
,Terminal,7,edge:7:terminal:26.1:t1:net:N1,,False,high,1.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[227, 737]",terminal:7:26.1:t1,net:7:N1,26.1:t1,
,Mosfet,7,edge:7:terminal:16.1:t1:net:N1,,False,high,0.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[258, 737]",terminal:7:16.1:t1,net:7:N1,16.1:t1,
,Mosfet,7,edge:7:terminal:16.1:t2:net:N3,,False,high,0.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[388, 667]",terminal:7:16.1:t2,net:7:N3,16.1:t2,
,Mosfet,7,edge:7:terminal:16.1:t3:net:N2,,False,high,0.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[388, 819]",terminal:7:16.1:t3,net:7:N2,16.1:t3,
,GND,7,edge:7:terminal:9.1:t1:net:N2,,False,high,1.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[388, 865]",terminal:7:9.1:t1,net:7:N2,9.1:t1,
,Resistor,7,edge:7:terminal:22.1:t1:net:N4,,False,high,2.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[665, 134]",terminal:7:22.1:t1,net:7:N4,22.1:t1,
