bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,7,,,1024,7.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v3_three_terminals\7.jpg,1024,,,7,,,,,,,6,,11,6,,11,,,diagram:7,Diagram,,,,,,,,,,06_match_terminals_to_nets_v3,,,,,,,,,,
183.39,223.2,714.27,761.91,26,Terminal,,,,0.6962,,7,,right,,,,,26.1,,26.1,,,,,,,,,,,1,,,,component:7:26.1,Component,,,,,,,,,,,,variable_terminal,,,,,True,True,,
262.23,409.22,670.77,815.46,16,Mosfet,,,,0.8083,,7,,left,,,,,16.1,,16.1,,,,,,,,,,,3,,,,component:7:16.1,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
345.73,432.13,869.02,951.37,9,GND,,,,0.8284,,7,top,up,,,,,9.1,,9.1,,,,,,,,,,,1,,,,component:7:9.1,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
626.77,706.66,137.58,259.19,22,Resistor,,,,0.8275,,7,,vertical,,,,,22.1,,22.1,,,,,,,,,,,2,,,,component:7:22.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
647.9,787.19,391.36,546.1,16,Mosfet,,,,0.8551,,7,,right,,,,,16.2,,16.2,,,,,,,,,,,3,,,,component:7:16.2,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
781.77,828.55,303.7,359.09,26,Terminal,,,,0.7155,,7,,left,,,,,26.2,,26.2,,,,,,,,,,,1,,,,component:7:26.2,Component,,,,,,,,,,,,variable_terminal,,,,,True,True,,
,,,,,,26,Terminal,component:7:26.1,,,7,,right,,,,,26.1,False,26.1:t1,high,1.0,matched_preferred,[],N1,1,,,,,,,,,terminal:7:26.1:t1,Terminal,,N1,1,right,directional,directional_primary,"[222, 732, 246, 745]",227,737,,,,26.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,227.2,738.09
,,,,,,16,Mosfet,component:7:16.1,,,7,,left,,,,,16.1,False,16.1:t1,high,0.0,matched_preferred,[],N1,1,,,,,,,,,terminal:7:16.1:t1,Terminal,,N1,1,left,directional,directional_primary,"[240, 731, 264, 744]",258,737,,,,16.1:t1,t1,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""y"", ""relative_position"": ""left"", ""scan_start"": 707, ""scan_end"": 779, ""scan_margin"": 12, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 737, ""anchor_offset_ratio"": 0.4583, ""max_score"": 84, ""keep_threshold"": 71, ""selected_run_start"": 27, ""selected_run_end"": 34, ""selected_run_length"": 8, ""selected_run_score"": 84, ""three_terminal_role"": ""single_side_terminal"", ""three_terminal_orientation"": ""left""}",three_terminal_structured,,,258.0,737.0
,,,,,,16,Mosfet,component:7:16.1,,,7,,left,,,,,16.1,False,16.1:t2,high,0.0,matched_preferred,[],N3,3,,,,,,,,,terminal:7:16.1:t2,Terminal,,N3,3,top,directional,directional_primary,"[382, 649, 395, 673]",388,667,,,,16.1:t2,t2,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 338, ""scan_end"": 403, ""scan_margin"": 12, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 388, ""anchor_offset_ratio"": 0.8571, ""max_score"": 84, ""keep_threshold"": 71, ""selected_run_start"": 47, ""selected_run_end"": 54, ""selected_run_length"": 8, ""selected_run_score"": 84, ""three_terminal_role"": ""orthogonal_pair_terminal"", ""three_terminal_orientation"": ""left""}",three_terminal_structured,,,388.0,667.0
