bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,1,,,1024,1.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v4_source_mosfet_transistor\1.jpg,1024,,,1,,,,,,,9,,16,8,,16,,,diagram:1,Diagram,,,,,,,,,,06_match_terminals_to_nets_v3,,,,,,,,,,
49.66,142.65,539.63,865.7,31,Voltage_Source,,,,0.8724,,1,,vertical,,,,,31.1,,31.1,,,,,,,,,,,2,,,,component:1:31.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
63.95,134.31,940.85,1019.83,9,GND,,,,0.8224,,1,top,up,,,,,9.1,,9.1,,,,,,,,,,,1,,,,component:1:9.1,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
189.59,297.72,404.22,526.17,22,Resistor,,,,0.8511,,1,,horizontal,,,,,22.1,,22.1,,,,,,,,,,,2,,,,component:1:22.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
366.41,474.64,363.01,563.66,16,Mosfet,,,,0.8328,,1,,left,,,,,16.1,,16.1,,,,,,,,,,,3,,,,component:1:16.1,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
430.55,497.04,932.22,1020.31,9,GND,,,,0.7818,,1,top,up,,,,,9.2,,9.2,,,,,,,,,,,1,,,,component:1:9.2,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
664.11,732.73,411.66,500.91,9,GND,,,,0.8326,,1,top,up,,,,,9.3,,9.3,,,,,,,,,,,1,,,,component:1:9.3,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
635.31,765.54,127.63,339.95,16,Mosfet,,,,0.815,,1,,bottom,,,,,16.2,,16.2,,,,,,,,,,,3,,,,component:1:16.2,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
904.57,967.75,465.03,673.36,22,Resistor,,,,0.8115,,1,,vertical,,,,,22.2,,22.2,,,,,,,,,,,2,,,,component:1:22.2,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
902.39,970.77,931.17,1020.34,9,GND,,,,0.8021,,1,top,up,,,,,9.4,,9.4,,,,,,,,,,,1,,,,component:1:9.4,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
,,,,,,31,Voltage_Source,component:1:31.1,,,1,,vertical,,,,,31.1,False,31.1:t1,ok,2.0,matched_preferred,[],N2,2,,,,,,,,,terminal:1:31.1:t1,Terminal,,N2,2,top,directional,directional_primary,"[88, 514, 105, 543]",98,536,,,,31.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,96.16,535.63
,,,,,,31,Voltage_Source,component:1:31.1,,,1,,vertical,,,,,31.1,False,31.1:t2,ok,2.0,matched_preferred,[],N1,1,,,,,,,,,terminal:1:31.1:t2,Terminal,,N1,1,bottom,directional,directional_primary,"[88, 864, 105, 893]",98,870,,,,31.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,96.16,869.7
,,,,,,9,GND,component:1:9.1,,,1,top,up,,,,,9.1,False,9.1:t1,ok,1.0,matched_preferred,[],N1,1,,,,,,,,,terminal:1:9.1:t1,Terminal,,N1,1,top,directional,directional_primary,"[93, 919, 106, 943]",98,937,,,,9.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,99.13,936.85
,,,,,,22,Resistor,component:1:22.1,,,1,,horizontal,,,,,22.1,False,22.1:t1,ok,0.0,matched_preferred,[],N2,2,,,,,,,,,terminal:1:22.1:t1,Terminal,,N2,2,left,directional,directional_primary,"[168, 459, 192, 472]",186,465,,,,22.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,185.59,465.19
,,,,,,22,Resistor,component:1:22.1,,,1,,horizontal,,,,,22.1,False,22.1:t2,ok,0.0,matched_preferred,[],N3,3,,,,,,,,,terminal:1:22.1:t2,Terminal,,N3,3,right,directional,directional_primary,"[297, 459, 321, 472]",302,465,,,,22.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,301.72,465.19
,,,,,,16,Mosfet,component:1:16.1,,,1,,left,,,,,16.1,False,16.1:t1,ok,0.0,matched_preferred,[],N3,3,,,,,,,,,terminal:1:16.1:t1,Terminal,,N3,3,left,directional,directional_primary,"[344, 459, 368, 472]",362,465,,,,16.1:t1,t1,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""y"", ""relative_position"": ""left"", ""scan_start"": 413, ""scan_end"": 514, ""scan_margin"": 16, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 465, ""anchor_offset_ratio"": 0.5075, ""max_score"": 182, ""keep_threshold"": 155, ""selected_run_start"": 51, ""selected_run_end"": 53, ""selected_run_length"": 3, ""selected_run_score"": 182, ""three_terminal_role"": ""single_side_terminal"", ""three_terminal_orientation"": ""left""}",three_terminal_structured,,,362.0,465.0
,,,,,,16,Mosfet,component:1:16.1,,,1,,left,,,,,16.1,False,16.1:t2,ok,0.0,matched_preferred,[],N5,5,,,,,,,,,terminal:1:16.1:t2,Terminal,,N5,5,top,directional,directional_primary,"[458, 341, 471, 365]",464,359,,,,16.1:t2,t2,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 423, ""scan_end"": 471, ""scan_margin"": 9, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 464, ""anchor_offset_ratio"": 0.8991, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 37, ""selected_run_end"": 45, ""selected_run_length"": 9, ""selected_run_score"": 70, ""three_terminal_role"": ""orthogonal_pair_terminal"", ""three_terminal_orientation"": ""left""}",three_terminal_structured,,,464.0,359.0
,,,,,,16,Mosfet,component:1:16.1,,,1,,left,,,,,16.1,False,16.1:t3,ok,0.0,matched_preferred,[],N4,4,,,,,,,,,terminal:1:16.1:t3,Terminal,,N4,4,bottom,directional,directional_primary,"[458, 563, 471, 587]",464,568,,,,16.1:t3,t3,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""x"", ""relative_position"": ""bottom"", ""scan_start"": 423, ""scan_end"": 471, ""scan_margin"": 9, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 464, ""anchor_offset_ratio"": 0.8991, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 37, ""selected_run_end"": 45, ""selected_run_length"": 9, ""selected_run_score"": 70, ""three_terminal_role"": ""orthogonal_pair_terminal"", ""three_terminal_orientation"": ""left""}",three_terminal_structured,,,464.0,568.0
,,,,,,9,GND,component:1:9.2,,,1,top,up,,,,,9.2,False,9.2:t1,ok,0.0,matched_preferred,[],N4,4,,,,,,,,,terminal:1:9.2:t1,Terminal,,N4,4,top,directional,directional_primary,"[458, 910, 471, 934]",464,928,,,,9.2:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,463.8,928.22
,,,,,,9,GND,component:1:9.3,,,1,top,up,,,,,9.3,False,9.3:t1,ok,1.0,matched_preferred,[],N6,6,,,,,,,,,terminal:1:9.3:t1,Terminal,,N6,6,top,directional,directional_primary,"[692, 390, 705, 414]",697,408,,,,9.3:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,698.42,407.66
,,,,,,16,Mosfet,component:1:16.2,,,1,,bottom,,,,,16.2,False,16.2:t1,ok,0.0,matched_preferred,[],N6,6,,,,,,,,,terminal:1:16.2:t1,Terminal,,N6,6,bottom,directional,directional_primary,"[691, 339, 704, 363]",697,344,,,,16.2:t1,t1,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""x"", ""relative_position"": ""bottom"", ""scan_start"": 668, ""scan_end"": 733, ""scan_margin"": 10, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 697, ""anchor_offset_ratio"": 0.4733, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 25, ""selected_run_end"": 33, ""selected_run_length"": 9, ""selected_run_score"": 70, ""three_terminal_role"": ""single_side_terminal"", ""three_terminal_orientation"": ""bottom""}",three_terminal_structured,,,697.0,344.0
,,,,,,16,Mosfet,component:1:16.2,,,1,,bottom,,,,,16.2,False,16.2:t2,ok,0.0,matched_preferred,[],N5,5,,,,,,,,,terminal:1:16.2:t2,Terminal,,N5,5,left,directional,directional_primary,"[613, 152, 637, 165]",631,158,,,,16.2:t2,t2,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""y"", ""relative_position"": ""left"", ""scan_start"": 136, ""scan_end"": 230, ""scan_margin"": 17, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 158, ""anchor_offset_ratio"": 0.1415, ""max_score"": 182, ""keep_threshold"": 155, ""selected_run_start"": 21, ""selected_run_end"": 23, ""selected_run_length"": 3, ""selected_run_score"": 182, ""three_terminal_role"": ""orthogonal_pair_terminal"", ""three_terminal_orientation"": ""bottom""}",three_terminal_structured,,,631.0,158.0
,,,,,,16,Mosfet,component:1:16.2,,,1,,bottom,,,,,16.2,False,16.2:t3,ok,0.0,matched_preferred,[],N7,7,,,,,,,,,terminal:1:16.2:t3,Terminal,,N7,7,right,directional,directional_primary,"[765, 152, 789, 165]",770,158,,,,16.2:t3,t3,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""y"", ""relative_position"": ""right"", ""scan_start"": 136, ""scan_end"": 230, ""scan_margin"": 17, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 158, ""anchor_offset_ratio"": 0.1415, ""max_score"": 182, ""keep_threshold"": 155, ""selected_run_start"": 21, ""selected_run_end"": 23, ""selected_run_length"": 3, ""selected_run_score"": 182, ""three_terminal_role"": ""orthogonal_pair_terminal"", ""three_terminal_orientation"": ""bottom""}",three_terminal_structured,,,770.0,158.0
,,,,,,22,Resistor,component:1:22.2,,,1,,vertical,,,,,22.2,False,22.2:t1,ok,0.0,matched_preferred,[],N7,7,,,,,,,,,terminal:1:22.2:t1,Terminal,,N7,7,top,directional,directional_primary,"[930, 443, 943, 467]",936,461,,,,22.2:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,936.16,461.03
,,,,,,22,Resistor,component:1:22.2,,,1,,vertical,,,,,22.2,False,22.2:t2,ok,0.0,matched_preferred,[],N8,8,,,,,,,,,terminal:1:22.2:t2,Terminal,,N8,8,bottom,directional,directional_primary,"[930, 672, 943, 696]",936,677,,,,22.2:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,936.16,677.36
,,,,,,9,GND,component:1:9.4,,,1,top,up,,,,,9.4,False,9.4:t1,ok,1.0,matched_preferred,[],N8,8,,,,,,,,,terminal:1:9.4:t1,Terminal,,N8,8,top,directional,directional_primary,"[931, 909, 944, 933]",936,927,,,,9.4:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,936.58,927.17
98,99,849,951,,,,,,,"[""31.1:t2"", ""9.1:t1""]",1,,,,,,,,,N1,,,,,,,,2,,,,,N1,1,net:1:N1,Net,103,,,,,,,,,,24,,,,,,,,,
97,200,465,555,,,,,,,"[""22.1:t1"", ""31.1:t1""]",1,,,,,,,,,N2,,,,,,,,2,,,,,N2,2,net:1:N2,Net,191,,,,,,,,,,10,,,,,,,,,
288,376,465,465,,,,,,,"[""16.1:t1"", ""22.1:t2""]",1,,,,,,,,,N3,,,,,,,,2,,,,,N3,3,net:1:N3,Net,89,,,,,,,,,,11,,,,,,,,,
463,465,552,944,,,,,,,"[""16.1:t3"", ""9.2:t1""]",1,,,,,,,,,N4,,,,,,,,2,,,,,N4,4,net:1:N4,Net,393,,,,,,,,,,14,,,,,,,,,
463,645,158,375,,,,,,,"[""16.1:t2"", ""16.2:t2""]",1,,,,,,,,,N5,,,,,,,,2,,,,,N5,5,net:1:N5,Net,396,,,,,,,,,,3,,,,,,,,,
697,698,328,424,,,,,,,"[""16.2:t1"", ""9.3:t1""]",1,,,,,,,,,N6,,,,,,,,2,,,,,N6,6,net:1:N6,Net,97,,,,,,,,,,6,,,,,,,,,
756,936,158,477,,,,,,,"[""16.2:t3"", ""22.2:t1""]",1,,,,,,,,,N7,,,,,,,,2,,,,,N7,7,net:1:N7,Net,496,,,,,,,,,,4,,,,,,,,,
936,937,661,943,,,,,,,"[""22.2:t2"", ""9.4:t1""]",1,,,,,,,,,N8,,,,,,,,2,,,,,N8,8,net:1:N8,Net,283,,,,,,,,,,19,,,,,,,,,
,,,,,,,,,,,2,,,1024,2.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v4_source_mosfet_transistor\2.jpg,1024,,,2,,,,,,,15,,26,12,,26,,,diagram:2,Diagram,,,,,,,,,,06_match_terminals_to_nets_v3,,,,,,,,,,
