class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
GND,,3,edge:3:diagram_to_component:9.1,9.1,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:9.1,,
Signal_Source,,3,edge:3:diagram_to_component:23.1,23.1,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:23.1,,
Capacitor,,3,edge:3:diagram_to_component:4.1,4.1,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:4.1,,
GND,,3,edge:3:diagram_to_component:9.2,9.2,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:9.2,,
Resistor,,3,edge:3:diagram_to_component:22.1,22.1,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:22.1,,
Resistor,,3,edge:3:diagram_to_component:22.2,22.2,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:22.2,,
NPN_Transistor,,3,edge:3:diagram_to_component:18.1,18.1,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:18.1,,
Resistor,,3,edge:3:diagram_to_component:22.3,22.3,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:22.3,,
Resistor,,3,edge:3:diagram_to_component:22.4,22.4,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:22.4,,
GND,,3,edge:3:diagram_to_component:9.3,9.3,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:9.3,,
Capacitor,,3,edge:3:diagram_to_component:4.2,4.2,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:4.2,,
Capacitor,,3,edge:3:diagram_to_component:4.3,4.3,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:4.3,,
,,3,edge:3:diagram_to_net:N1,,,,,,,N1,1,HAS_NET,,,diagram:3,net:3:N1,,
,,3,edge:3:diagram_to_net:N2,,,,,,,N2,2,HAS_NET,,,diagram:3,net:3:N2,,
,,3,edge:3:diagram_to_net:N3,,,,,,,N3,3,HAS_NET,,,diagram:3,net:3:N3,,
,,3,edge:3:diagram_to_net:N4,,,,,,,N4,4,HAS_NET,,,diagram:3,net:3:N4,,
,,3,edge:3:diagram_to_net:N5,,,,,,,N5,5,HAS_NET,,,diagram:3,net:3:N5,,
,,3,edge:3:diagram_to_net:N6,,,,,,,N6,6,HAS_NET,,,diagram:3,net:3:N6,,
,,3,edge:3:diagram_to_net:N7,,,,,,,N7,7,HAS_NET,,,diagram:3,net:3:N7,,
,,3,edge:3:diagram_to_net:N8,,,,,,,N8,8,HAS_NET,,,diagram:3,net:3:N8,,
,,3,edge:3:diagram_to_net:N9,,,,,,,N9,9,HAS_NET,,,diagram:3,net:3:N9,,
,,3,edge:3:diagram_to_net:N10,,,,,,,N10,10,HAS_NET,,,diagram:3,net:3:N10,,
,,3,edge:3:diagram_to_net:N11,,,,,,,N11,11,HAS_NET,,,diagram:3,net:3:N11,,
,,3,edge:3:component:9.1:terminal:9.1:t1,9.1,,,,,,,,HAS_TERMINAL,top,,component:3:9.1,terminal:3:9.1:t1,9.1:t1,t1
,,3,edge:3:component:23.1:terminal:23.1:t1,23.1,,,,,,,,HAS_TERMINAL,top,,component:3:23.1,terminal:3:23.1:t1,23.1:t1,t1
,,3,edge:3:component:23.1:terminal:23.1:t2,23.1,,,,,,,,HAS_TERMINAL,bottom,,component:3:23.1,terminal:3:23.1:t2,23.1:t2,t2
,,3,edge:3:component:4.1:terminal:4.1:t1,4.1,,,,,,,,HAS_TERMINAL,left,,component:3:4.1,terminal:3:4.1:t1,4.1:t1,t1
,,3,edge:3:component:4.1:terminal:4.1:t2,4.1,,,,,,,,HAS_TERMINAL,right,,component:3:4.1,terminal:3:4.1:t2,4.1:t2,t2
