bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,3,,,1024,3.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v4_source_mosfet_transistor\3.jpg,1024,,,3,,,,,,,12,,22,11,,22,,,diagram:3,Diagram,,,,,,,,,,06_match_terminals_to_nets_v3,,,,,,,,,,
87.08,188.59,863.41,935.74,9,GND,,,,0.7699,,3,top,up,,,,,9.1,,9.1,,,,,,,,,,,1,,,,component:3:9.1,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
93.94,182.12,695.63,795.18,23,Signal_Source,,,,0.8388,,3,,vertical,,,,,23.1,,23.1,,,,,,,,,,,2,,,,component:3:23.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
223.04,314.18,509.12,599.65,4,Capacitor,,,,0.5094,,3,,horizontal,,,,,4.1,,4.1,,,,,,,,,,,2,,,,component:3:4.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
355.91,455.37,848.56,922.38,9,GND,,,,0.7851,,3,top,up,,,,,9.2,,9.2,,,,,,,,,,,1,,,,component:3:9.2,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
370.83,441.89,318.3,475.67,22,Resistor,,,,0.8397,,3,,vertical,,,,,22.1,,22.1,,,,,,,,,,,2,,,,component:3:22.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
371.86,442.62,631.49,790.44,22,Resistor,,,,0.8281,,3,,vertical,,,,,22.2,,22.2,,,,,,,,,,,2,,,,component:3:22.2,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
553.81,680.25,472.28,641.31,18,NPN_Transistor,,,,0.8443,,3,,left,,,,,18.1,,18.1,,,,,,,,,,,3,,,,component:3:18.1,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
613.04,685.41,699.23,858.14,22,Resistor,,,,0.8236,,3,,vertical,,,,,22.3,,22.3,,,,,,,,,,,2,,,,component:3:22.3,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
615.56,685.67,248.34,408.54,22,Resistor,,,,0.823,,3,,vertical,,,,,22.4,,22.4,,,,,,,,,,,2,,,,component:3:22.4,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
601.07,702.72,919.67,990.33,9,GND,,,,0.8132,,3,top,up,,,,,9.3,,9.3,,,,,,,,,,,1,,,,component:3:9.3,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
744.7,824.1,408.18,505.38,4,Capacitor,,,,0.4175,,3,,horizontal,,,,,4.2,,4.2,,,,,,,,,,,2,,,,component:3:4.2,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
749.0,827.6,606.76,708.69,4,Capacitor,,,,0.5166,,3,,horizontal,,,,,4.3,,4.3,,,,,,,,,,,2,,,,component:3:4.3,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
