class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
Battery,,2,edge:2:diagram_to_component:2.1,2.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:2.1,,
Switch,,2,edge:2:diagram_to_component:25.1,25.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:25.1,,
Capacitor,,2,edge:2:diagram_to_component:4.1,4.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:4.1,,
Thermistor,,2,edge:2:diagram_to_component:27.1,27.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:27.1,,
Fuse,,2,edge:2:diagram_to_component:8.1,8.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:8.1,,
Motor,,2,edge:2:diagram_to_component:17.1,17.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:17.1,,
Meter,,2,edge:2:diagram_to_component:15.1,15.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:15.1,,
Meter,,2,edge:2:diagram_to_component:15.2,15.2,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:15.2,,
Diode,,2,edge:2:diagram_to_component:7.1,7.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:7.1,,
Variable_Resistor,,2,edge:2:diagram_to_component:30.1,30.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:30.1,,
LED,,2,edge:2:diagram_to_component:12.1,12.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:12.1,,
Inductor,,2,edge:2:diagram_to_component:10.1,10.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:10.1,,
Terminal,,2,edge:2:diagram_to_component:26.1,26.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:26.1,,
Lamp,,2,edge:2:diagram_to_component:13.1,13.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:13.1,,
GND,,2,edge:2:diagram_to_component:9.1,9.1,,,,,,,,HAS_COMPONENT,,,diagram:2,component:2:9.1,,
,,2,edge:2:diagram_to_net:N1,,,,,,,N1,1,HAS_NET,,,diagram:2,net:2:N1,,
,,2,edge:2:diagram_to_net:N2,,,,,,,N2,2,HAS_NET,,,diagram:2,net:2:N2,,
,,2,edge:2:diagram_to_net:N3,,,,,,,N3,3,HAS_NET,,,diagram:2,net:2:N3,,
,,2,edge:2:diagram_to_net:N4,,,,,,,N4,4,HAS_NET,,,diagram:2,net:2:N4,,
,,2,edge:2:diagram_to_net:N5,,,,,,,N5,5,HAS_NET,,,diagram:2,net:2:N5,,
,,2,edge:2:diagram_to_net:N6,,,,,,,N6,6,HAS_NET,,,diagram:2,net:2:N6,,
,,2,edge:2:diagram_to_net:N7,,,,,,,N7,7,HAS_NET,,,diagram:2,net:2:N7,,
,,2,edge:2:diagram_to_net:N8,,,,,,,N8,8,HAS_NET,,,diagram:2,net:2:N8,,
,,2,edge:2:diagram_to_net:N9,,,,,,,N9,9,HAS_NET,,,diagram:2,net:2:N9,,
,,2,edge:2:diagram_to_net:N10,,,,,,,N10,10,HAS_NET,,,diagram:2,net:2:N10,,
,,2,edge:2:diagram_to_net:N11,,,,,,,N11,11,HAS_NET,,,diagram:2,net:2:N11,,
,,2,edge:2:component:2.1:terminal:2.1:t1,2.1,,,,,,,,HAS_TERMINAL,top,,component:2:2.1,terminal:2:2.1:t1,2.1:t1,t1
,,2,edge:2:component:2.1:terminal:2.1:t2,2.1,,,,,,,,HAS_TERMINAL,bottom,,component:2:2.1,terminal:2:2.1:t2,2.1:t2,t2
,,2,edge:2:component:25.1:terminal:25.1:t1,25.1,,,,,,,,HAS_TERMINAL,left,,component:2:25.1,terminal:2:25.1:t1,25.1:t1,t1
,,2,edge:2:component:25.1:terminal:25.1:t2,25.1,,,,,,,,HAS_TERMINAL,right,,component:2:25.1,terminal:2:25.1:t2,25.1:t2,t2
,,2,edge:2:component:4.1:terminal:4.1:t1,4.1,,,,,,,,HAS_TERMINAL,top,,component:2:4.1,terminal:2:4.1:t1,4.1:t1,t1
,,2,edge:2:component:4.1:terminal:4.1:t2,4.1,,,,,,,,HAS_TERMINAL,bottom,,component:2:4.1,terminal:2:4.1:t2,4.1:t2,t2
,,2,edge:2:component:27.1:terminal:27.1:t1,27.1,,,,,,,,HAS_TERMINAL,top,,component:2:27.1,terminal:2:27.1:t1,27.1:t1,t1
,,2,edge:2:component:27.1:terminal:27.1:t2,27.1,,,,,,,,HAS_TERMINAL,bottom,,component:2:27.1,terminal:2:27.1:t2,27.1:t2,t2
,,2,edge:2:component:8.1:terminal:8.1:t1,8.1,,,,,,,,HAS_TERMINAL,left,,component:2:8.1,terminal:2:8.1:t1,8.1:t1,t1
,,2,edge:2:component:8.1:terminal:8.1:t2,8.1,,,,,,,,HAS_TERMINAL,right,,component:2:8.1,terminal:2:8.1:t2,8.1:t2,t2
,,2,edge:2:component:17.1:terminal:17.1:t1,17.1,,,,,,,,HAS_TERMINAL,left,,component:2:17.1,terminal:2:17.1:t1,17.1:t1,t1
,,2,edge:2:component:17.1:terminal:17.1:t2,17.1,,,,,,,,HAS_TERMINAL,right,,component:2:17.1,terminal:2:17.1:t2,17.1:t2,t2
,,2,edge:2:component:15.1:terminal:15.1:t1,15.1,,,,,,,,HAS_TERMINAL,top,,component:2:15.1,terminal:2:15.1:t1,15.1:t1,t1
,,2,edge:2:component:15.1:terminal:15.1:t2,15.1,,,,,,,,HAS_TERMINAL,bottom,,component:2:15.1,terminal:2:15.1:t2,15.1:t2,t2
,,2,edge:2:component:15.2:terminal:15.2:t1,15.2,,,,,,,,HAS_TERMINAL,left,,component:2:15.2,terminal:2:15.2:t1,15.2:t1,t1
,,2,edge:2:component:15.2:terminal:15.2:t2,15.2,,,,,,,,HAS_TERMINAL,right,,component:2:15.2,terminal:2:15.2:t2,15.2:t2,t2
,,2,edge:2:component:7.1:terminal:7.1:t1,7.1,,,,,,,,HAS_TERMINAL,left,,component:2:7.1,terminal:2:7.1:t1,7.1:t1,t1
,,2,edge:2:component:7.1:terminal:7.1:t2,7.1,,,,,,,,HAS_TERMINAL,right,,component:2:7.1,terminal:2:7.1:t2,7.1:t2,t2
,,2,edge:2:component:30.1:terminal:30.1:t1,30.1,,,,,,,,HAS_TERMINAL,top,,component:2:30.1,terminal:2:30.1:t1,30.1:t1,t1
