bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,3,,,1024,3.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v5_various_two_terminals_components\3.jpg,1024,,,3,,,,,,,17,,31,11,,31,,,diagram:3,Diagram,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
95.07,144.96,183.91,296.08,2,Battery,,,,0.8286,,3,,,,,,,2.1,,2.1,,,,,,,,,,,2,,,,component:3:2.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
221.1,307.76,44.11,136.03,25,Switch,,,,0.8348,,3,,horizontal,,,,,25.1,,25.1,,,,,,,,,,,2,,,,component:3:25.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
358.92,419.54,259.57,382.15,15,Meter,,,,0.8374,,3,,vertical,,,,,15.1,,15.1,,,,,,,,,,,2,,,,component:3:15.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
439.86,521.22,60.23,141.86,8,Fuse,,,,0.8954,,3,,horizontal,,,,,8.1,,8.1,,,,,,,,,,,2,,,,component:3:8.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
480.78,523.82,898.69,988.95,7,Diode,,,,0.9171,,3,,horizontal,,,,,7.1,,7.1,,,,,,,,,,,2,,,,component:3:7.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
463.44,560.28,650.44,770.15,17,Motor,,,,0.9331,,3,,horizontal,,,,,17.1,,17.1,,,,,,,,,,,2,,,,component:3:17.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
619.12,641.98,723.47,787.54,9,GND,,,,0.7982,,3,right,right,,,,,9.1,,9.1,,,,,,,,,,,1,,,,component:3:9.1,Component,,,,,,,,,,,,one_terminal,,,,,True,True,,
635.1,702.42,914.85,962.57,10,Inductor,,,,0.8203,,3,,horizontal,,,,,10.1,,10.1,,,,,,,,,,,2,,,,component:3:10.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
639.77,702.39,191.81,339.93,30,Variable_Resistor,,,,0.9135,,3,,vertical,,,,,30.1,,30.1,,,,,,,,,,,2,,,,component:3:30.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
