class_name,component_class_name,diagram_id,edge_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_implicit_reason,net_index,net_is_implicit_supply,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
GND,,1,edge:1:diagram_to_component:9.1,,9.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:9.1,,
Battery,,1,edge:1:diagram_to_component:2.1,,2.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:2.1,,
GND,,1,edge:1:diagram_to_component:9.2,,9.2,,,,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:9.2,,
Terminal,,1,edge:1:diagram_to_component:26.1,,26.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:26.1,,
Terminal,,1,edge:1:diagram_to_component:26.2,,26.2,,,,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:26.2,,
Operational_Amplifier,,1,edge:1:diagram_to_component:19.1,,19.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:19.1,,
Mosfet,,1,edge:1:diagram_to_component:16.1,,16.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:16.1,,
Mosfet,,1,edge:1:diagram_to_component:16.2,,16.2,,,,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:16.2,,
Resistor,,1,edge:1:diagram_to_component:22.1,,22.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:22.1,,
GND,,1,edge:1:diagram_to_component:9.3,,9.3,,,,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:9.3,,
,,1,edge:1:diagram_to_net:N1,,,False,,,,,,N1,,1,,HAS_NET,,,diagram:1,net:1:N1,,
,,1,edge:1:diagram_to_net:N2,,,False,,,,,,N2,,2,,HAS_NET,,,diagram:1,net:1:N2,,
,,1,edge:1:diagram_to_net:N3,,,False,,,,,,N3,,3,,HAS_NET,,,diagram:1,net:1:N3,,
,,1,edge:1:diagram_to_net:N4,,,False,,,,,,N4,,4,,HAS_NET,,,diagram:1,net:1:N4,,
,,1,edge:1:diagram_to_net:N5,,,False,,,,,,N5,,5,,HAS_NET,,,diagram:1,net:1:N5,,
,,1,edge:1:diagram_to_net:N6,,,False,,,,,,N6,,6,,HAS_NET,,,diagram:1,net:1:N6,,
,,1,edge:1:diagram_to_net:N7,,,False,,,,,,N7,,7,,HAS_NET,,,diagram:1,net:1:N7,,
,,1,edge:1:diagram_to_net:N8,,,False,,,,,,N8,,8,,HAS_NET,,,diagram:1,net:1:N8,,
,,1,edge:1:diagram_to_net:N9,,,False,,,,,,N9,,9,,HAS_NET,,,diagram:1,net:1:N9,,
