class_name,component_class_name,diagram_id,edge_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_implicit_reason,net_index,net_is_implicit_supply,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
GND,,4,edge:4:diagram_to_component:9.1,,9.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:4,component:4:9.1,,
Capacitor,,4,edge:4:diagram_to_component:4.1,,4.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:4,component:4:4.1,,
Capacitor,,4,edge:4:diagram_to_component:4.2,,4.2,,,,,,,,,,,HAS_COMPONENT,,,diagram:4,component:4:4.2,,
GND,,4,edge:4:diagram_to_component:9.2,,9.2,,,,,,,,,,,HAS_COMPONENT,,,diagram:4,component:4:9.2,,
Operational_Amplifier,,4,edge:4:diagram_to_component:19.1,,19.1,,,,,,,,,,,HAS_COMPONENT,,,diagram:4,component:4:19.1,,
Capacitor,,4,edge:4:diagram_to_component:4.3,,4.3,,,,,,,,,,,HAS_COMPONENT,,,diagram:4,component:4:4.3,,
Capacitor,,4,edge:4:diagram_to_component:4.4,,4.4,,,,,,,,,,,HAS_COMPONENT,,,diagram:4,component:4:4.4,,
GND,,4,edge:4:diagram_to_component:9.3,,9.3,,,,,,,,,,,HAS_COMPONENT,,,diagram:4,component:4:9.3,,
,,4,edge:4:diagram_to_net:N1,,,False,,,,,,N1,,1,,HAS_NET,,,diagram:4,net:4:N1,,
,,4,edge:4:diagram_to_net:N2,,,False,,,,,,N2,,2,,HAS_NET,,,diagram:4,net:4:N2,,
,,4,edge:4:diagram_to_net:N3,,,False,,,,,,N3,,3,,HAS_NET,,,diagram:4,net:4:N3,,
,,4,edge:4:diagram_to_net:N4,,,False,,,,,,N4,,4,,HAS_NET,,,diagram:4,net:4:N4,,
,,4,edge:4:diagram_to_net:N5,,,False,,,,,,N5,,5,,HAS_NET,,,diagram:4,net:4:N5,,
