bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,implicit_anchor_terminal_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_implicit_reason,matched_net_index,matched_net_is_implicit_supply,merged_source_labels,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_from_05_implicit_reason,preferred_from_05_is_implicit_supply,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,4,,,1024,4.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v6_operational_amplifier\4.jpg,1024,,,,,,4,,,,,,,,,,8,,14,5,,14,,,diagram:4,Diagram,,,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
5.94,65.18,905.03,999.0,9,GND,,,,0.8306,,4,top,up,,,,,,,9.1,,,9.1,,,,,,,,,,,,,,1,,,,component:4:9.1,Component,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
123.85,171.15,335.49,504.82,4,Capacitor,,,,0.8137,,4,,horizontal,,,,,,,4.1,,,4.1,,,,,,,,,,,,,,2,,,,component:4:4.1,Component,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
291.97,372.07,517.63,600.78,4,Capacitor,,,,0.8716,,4,,vertical,,,,,,,4.2,,,4.2,,,,,,,,,,,,,,2,,,,component:4:4.2,Component,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
302.16,362.18,908.67,998.3,9,GND,,,,0.8096,,4,top,up,,,,,,,9.2,,,9.2,,,,,,,,,,,,,,1,,,,component:4:9.2,Component,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
403.3,647.27,293.22,817.6,19,Operational_Amplifier,,,,0.8359,,4,,right,,,,,,,19.1,,,19.1,,,,,,,,,,,,,,3,,,,component:4:19.1,Component,,,,,,,,,,,,,,multi_terminal,,,,,True,True,,
511.15,564.04,122.71,295.02,4,Capacitor,,,,0.7978,,4,,horizontal,,,,,,,4.3,,,4.3,,,,,,,,,,,,,,2,,,,component:4:4.3,Component,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
714.49,794.27,700.79,794.47,4,Capacitor,,,,0.8436,,4,,vertical,,,,,,,4.4,,,4.4,,,,,,,,,,,,,,2,,,,component:4:4.4,Component,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
723.57,786.01,914.21,999.01,9,GND,,,,0.83,,4,top,up,,,,,,,9.3,,,9.3,,,,,,,,,,,,,,1,,,,component:4:9.3,Component,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
,,,,,,9,GND,component:4:9.1,,,4,top,up,,,,,,,9.1,,False,9.1:t1,ok,0.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:4:9.1:t1,Terminal,,,False,N1,1,top,directional,directional_primary,"[29, 883, 42, 907]",35,901,,,,9.1:t1,t1,"{""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 11, ""scan_end"": 60, ""scan_margin"": 5, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 35, ""anchor_offset_ratio"": 0.4915, ""max_score"": 56, ""keep_threshold"": 48, ""selected_run_start"": 20, ""selected_run_end"": 29, ""selected_run_length"": 10, ""selected_run_score"": 56}",two_terminal_side_peak,,,35.0,901.0
,,,,,,4,Capacitor,component:4:4.1,,,4,,horizontal,,,,,,,4.1,,False,4.1:t1,ok,1.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:4:4.1:t1,Terminal,,,False,N1,1,left,directional,directional_primary,"[102, 414, 126, 427]",120,419,,,,4.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,119.85,420.15
,,,,,,4,Capacitor,component:4:4.1,,,4,,horizontal,,,,,,,4.1,,False,4.1:t2,ok,1.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:4:4.1:t2,Terminal,,,False,N2,2,right,directional,directional_primary,"[170, 414, 194, 427]",175,419,,,,4.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,175.15,420.15
,,,,,,4,Capacitor,component:4:4.2,,,4,,vertical,,,,,,,4.2,,False,4.2:t1,ok,1.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:4:4.2:t1,Terminal,,,False,N2,2,top,directional,directional_primary,"[326, 496, 339, 520]",331,514,,,,4.2:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,332.02,513.63
,,,,,,4,Capacitor,component:4:4.2,,,4,,vertical,,,,,,,4.2,,False,4.2:t2,ok,1.0,matched_preferred,[],N3,,3,False,,,,,,,,,,terminal:4:4.2:t2,Terminal,,,False,N3,3,bottom,directional,directional_primary,"[326, 600, 339, 624]",331,605,,,,4.2:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,332.02,604.78
,,,,,,9,GND,component:4:9.2,,,4,top,up,,,,,,,9.2,,False,9.2:t1,ok,0.0,matched_preferred,[],N3,,3,False,,,,,,,,,,terminal:4:9.2:t1,Terminal,,,False,N3,3,top,directional,directional_primary,"[325, 887, 338, 911]",331,905,,,,9.2:t1,t1,"{""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 307, ""scan_end"": 357, ""scan_margin"": 5, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 331, ""anchor_offset_ratio"": 0.4833, ""max_score"": 56, ""keep_threshold"": 48, ""selected_run_start"": 20, ""selected_run_end"": 29, ""selected_run_length"": 10, ""selected_run_score"": 56}",two_terminal_side_peak,,,331.0,905.0
,,,,,,19,Operational_Amplifier,component:4:19.1,,,4,,right,,,,,,,19.1,,False,19.1:in1,ok,7.0,matched_preferred,"[""used_circle_search""]",N2,,2,False,,,,,,,,,,terminal:4:19.1:in1,Terminal,,,False,N2,2,left,circle,circle_primary,"[385, 416, 406, 437]",395,419,,,,19.1:in1,in1,"{""point_mode"": ""opamp_mandatory_wire_probe"", ""relative_position"": ""left"", ""scan_axis"": ""y"", ""scan_start"": 388, ""scan_end"": 514, ""probe_halfspan"": 2, ""probe_outward_len"": 14, ""probe_inward_len"": 1, ""probe_far_gap"": 2, ""probe_far_len"": 8, ""peak_coord"": 426, ""raw_scores_max"": 21.05, ""max_score"": 21.05, ""keep_threshold"": 19.366, ""selected_coord"": 426, ""selected_distance_to_center"": 24, ""kept_candidates"": 15, ""opamp_orientation"": ""right"", ""opamp_terminal_name"": ""in1"", ""opamp_terminal_role"": ""input"", ""opamp_slot"": ""upper""}",opamp_structured,,,395.0,426.0
