class_name,component_class_name,diagram_id,display_name,display_terminal_id,edge_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_implicit_reason,net_index,net_is_implicit_supply,relation_type,relative_position,semantic_terminal_name,snap_point,source,target,terminal_id,terminal_name
Mosfet,,1,,,edge:1:diagram_to_component:16.1,,16.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:16.1,,
GND,,1,,,edge:1:diagram_to_component:9.1,,9.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:9.1,,
Mosfet,,1,,,edge:1:diagram_to_component:16.2,,16.2,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:16.2,,
Mosfet,,1,,,edge:1:diagram_to_component:16.3,,16.3,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:16.3,,
,,1,,,edge:1:diagram_to_net:N1,,,False,,,,,,N1,,1,,HAS_NET,,,,diagram:1,net:1:N1,,
,,1,,,edge:1:diagram_to_net:N2,,,False,,,,,,N2,,2,,HAS_NET,,,,diagram:1,net:1:N2,,
,,1,,,edge:1:diagram_to_net:N3,,,False,,,,,,N3,,3,,HAS_NET,,,,diagram:1,net:1:N3,,
,,1,,,edge:1:diagram_to_net:N4,,,False,,,,,,N4,,4,,HAS_NET,,,,diagram:1,net:1:N4,,
,,1,G,16.1:G,edge:1:component:16.1:terminal:16.1:t1,,16.1,,,,,,,,,,,HAS_TERMINAL,right,G,,component:1:16.1,terminal:1:16.1:t1,16.1:t1,t1
,,1,D,16.1:D,edge:1:component:16.1:terminal:16.1:t2,,16.1,,,,,,,,,,,HAS_TERMINAL,top,D,,component:1:16.1,terminal:1:16.1:t2,16.1:t2,t2
,,1,S,16.1:S,edge:1:component:16.1:terminal:16.1:t3,,16.1,,,,,,,,,,,HAS_TERMINAL,bottom,S,,component:1:16.1,terminal:1:16.1:t3,16.1:t3,t3
,,1,t1,9.1:t1,edge:1:component:9.1:terminal:9.1:t1,,9.1,,,,,,,,,,,HAS_TERMINAL,top,,,component:1:9.1,terminal:1:9.1:t1,9.1:t1,t1
,,1,G,16.2:G,edge:1:component:16.2:terminal:16.2:t1,,16.2,,,,,,,,,,,HAS_TERMINAL,left,G,,component:1:16.2,terminal:1:16.2:t1,16.2:t1,t1
,,1,D,16.2:D,edge:1:component:16.2:terminal:16.2:t2,,16.2,,,,,,,,,,,HAS_TERMINAL,top,D,,component:1:16.2,terminal:1:16.2:t2,16.2:t2,t2
,,1,S,16.2:S,edge:1:component:16.2:terminal:16.2:t3,,16.2,,,,,,,,,,,HAS_TERMINAL,bottom,S,,component:1:16.2,terminal:1:16.2:t3,16.2:t3,t3
,,1,G,16.3:G,edge:1:component:16.3:terminal:16.3:t1,,16.3,,,,,,,,,,,HAS_TERMINAL,left,G,,component:1:16.3,terminal:1:16.3:t1,16.3:t1,t1
,,1,D,16.3:D,edge:1:component:16.3:terminal:16.3:t2,,16.3,,,,,,,,,,,HAS_TERMINAL,top,D,,component:1:16.3,terminal:1:16.3:t2,16.3:t2,t2
,,1,S,16.3:S,edge:1:component:16.3:terminal:16.3:t3,,16.3,,,,,,,,,,,HAS_TERMINAL,bottom,S,,component:1:16.3,terminal:1:16.3:t3,16.3:t3,t3
,Mosfet,1,,16.1:G,edge:1:terminal:16.1:t1:net:N3,,,,False,ok,1.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,G,"[218, 557]",terminal:1:16.1:t1,net:1:N3,16.1:t1,
,Mosfet,1,,16.1:D,edge:1:terminal:16.1:t2:net:N1,,,,False,ok,0.0,matched_preferred,[],N1,,1,False,CONNECTED_TO,,D,"[113, 498]",terminal:1:16.1:t2,net:1:N1,16.1:t2,
,Mosfet,1,,16.1:S,edge:1:terminal:16.1:t3:net:N2,,,,False,ok,0.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,S,"[113, 624]",terminal:1:16.1:t3,net:1:N2,16.1:t3,
,GND,1,,9.1:t1,edge:1:terminal:9.1:t1:net:N2,,,,False,ok,1.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,,"[306, 960]",terminal:1:9.1:t1,net:1:N2,9.1:t1,
,Mosfet,1,,16.2:G,edge:1:terminal:16.2:t1:net:N1,,,,False,ok,0.0,matched_preferred,[],N1,,1,False,CONNECTED_TO,,G,"[452, 336]",terminal:1:16.2:t1,net:1:N1,16.2:t1,
,Mosfet,1,,16.2:D,edge:1:terminal:16.2:t2:net:N4,,,,False,ok,0.0,matched_preferred,[],N4,,4,False,CONNECTED_TO,,D,"[553, 277]",terminal:1:16.2:t2,net:1:N4,16.2:t2,
,Mosfet,1,,16.2:S,edge:1:terminal:16.2:t3:net:N3,,,,False,ok,0.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,S,"[553, 402]",terminal:1:16.2:t3,net:1:N3,16.2:t3,
,Mosfet,1,,16.3:G,edge:1:terminal:16.3:t1:net:N3,,,,False,ok,0.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,G,"[455, 746]",terminal:1:16.3:t1,net:1:N3,16.3:t1,
,Mosfet,1,,16.3:D,edge:1:terminal:16.3:t2:net:N3,,,,False,ok,0.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,D,"[553, 689]",terminal:1:16.3:t2,net:1:N3,16.3:t2,
,Mosfet,1,,16.3:S,edge:1:terminal:16.3:t3:net:N2,,,,False,ok,0.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,S,"[553, 808]",terminal:1:16.3:t3,net:1:N2,16.3:t3,
Terminal,,2,,,edge:2:diagram_to_component:26.1,,26.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:26.1,,
Terminal,,2,,,edge:2:diagram_to_component:26.2,,26.2,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:26.2,,
Mosfet,,2,,,edge:2:diagram_to_component:16.1,,16.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:16.1,,
Mosfet,,2,,,edge:2:diagram_to_component:16.2,,16.2,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:16.2,,
GND,,2,,,edge:2:diagram_to_component:9.1,,9.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:9.1,,
Mosfet,,2,,,edge:2:diagram_to_component:16.3,,16.3,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:16.3,,
Resistor,,2,,,edge:2:diagram_to_component:22.1,,22.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:22.1,,
Mosfet,,2,,,edge:2:diagram_to_component:16.4,,16.4,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:16.4,,
Mosfet,,2,,,edge:2:diagram_to_component:16.5,,16.5,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:16.5,,
GND,,2,,,edge:2:diagram_to_component:9.2,,9.2,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:9.2,,
Mosfet,,2,,,edge:2:diagram_to_component:16.6,,16.6,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:16.6,,
Terminal,,2,,,edge:2:diagram_to_component:26.3,,26.3,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:26.3,,
Battery,,2,,,edge:2:diagram_to_component:2.1,,2.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:2.1,,
GND,,2,,,edge:2:diagram_to_component:9.3,,9.3,,,,,,,,,,,HAS_COMPONENT,,,,diagram:2,component:2:9.3,,
,,2,,,edge:2:diagram_to_net:N1,,,False,,,,,,N1,,1,,HAS_NET,,,,diagram:2,net:2:N1,,
,,2,,,edge:2:diagram_to_net:N2,,,False,,,,,,N2,,2,,HAS_NET,,,,diagram:2,net:2:N2,,
,,2,,,edge:2:diagram_to_net:N3,,,False,,,,,,N3,,3,,HAS_NET,,,,diagram:2,net:2:N3,,
,,2,,,edge:2:diagram_to_net:N4,,,False,,,,,,N4,,4,,HAS_NET,,,,diagram:2,net:2:N4,,
,,2,,,edge:2:diagram_to_net:N5,,,False,,,,,,N5,,5,,HAS_NET,,,,diagram:2,net:2:N5,,
,,2,,,edge:2:diagram_to_net:N6,,,False,,,,,,N6,,6,,HAS_NET,,,,diagram:2,net:2:N6,,
,,2,,,edge:2:diagram_to_net:N7,,,False,,,,,,N7,,7,,HAS_NET,,,,diagram:2,net:2:N7,,
,,2,,,edge:2:diagram_to_net:N8,,,False,,,,,,N8,,8,,HAS_NET,,,,diagram:2,net:2:N8,,
,,2,,,edge:2:diagram_to_net:N9,,,False,,,,,,N9,,9,,HAS_NET,,,,diagram:2,net:2:N9,,
,,2,,,edge:2:diagram_to_net:N10,,,False,,,,,,N10,,10,,HAS_NET,,,,diagram:2,net:2:N10,,
,,2,,,edge:2:diagram_to_net:N11,,,False,,,,,,N11,,11,,HAS_NET,,,,diagram:2,net:2:N11,,
,,2,t1,26.1:t1,edge:2:component:26.1:terminal:26.1:t1,,26.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:2:26.1,terminal:2:26.1:t1,26.1:t1,t1
,,2,t1,26.2:t1,edge:2:component:26.2:terminal:26.2:t1,,26.2,,,,,,,,,,,HAS_TERMINAL,right,,,component:2:26.2,terminal:2:26.2:t1,26.2:t1,t1
,,2,G,16.1:G,edge:2:component:16.1:terminal:16.1:t1,,16.1,,,,,,,,,,,HAS_TERMINAL,left,G,,component:2:16.1,terminal:2:16.1:t1,16.1:t1,t1
,,2,D,16.1:D,edge:2:component:16.1:terminal:16.1:t2,,16.1,,,,,,,,,,,HAS_TERMINAL,top,D,,component:2:16.1,terminal:2:16.1:t2,16.1:t2,t2
,,2,S,16.1:S,edge:2:component:16.1:terminal:16.1:t3,,16.1,,,,,,,,,,,HAS_TERMINAL,bottom,S,,component:2:16.1,terminal:2:16.1:t3,16.1:t3,t3
,,2,G,16.2:G,edge:2:component:16.2:terminal:16.2:t1,,16.2,,,,,,,,,,,HAS_TERMINAL,left,G,,component:2:16.2,terminal:2:16.2:t1,16.2:t1,t1
,,2,D,16.2:D,edge:2:component:16.2:terminal:16.2:t2,,16.2,,,,,,,,,,,HAS_TERMINAL,top,D,,component:2:16.2,terminal:2:16.2:t2,16.2:t2,t2
,,2,S,16.2:S,edge:2:component:16.2:terminal:16.2:t3,,16.2,,,,,,,,,,,HAS_TERMINAL,bottom,S,,component:2:16.2,terminal:2:16.2:t3,16.2:t3,t3
,,2,t1,9.1:t1,edge:2:component:9.1:terminal:9.1:t1,,9.1,,,,,,,,,,,HAS_TERMINAL,top,,,component:2:9.1,terminal:2:9.1:t1,9.1:t1,t1
,,2,G,16.3:G,edge:2:component:16.3:terminal:16.3:t1,,16.3,,,,,,,,,,,HAS_TERMINAL,right,G,,component:2:16.3,terminal:2:16.3:t1,16.3:t1,t1
,,2,S,16.3:S,edge:2:component:16.3:terminal:16.3:t2,,16.3,,,,,,,,,,,HAS_TERMINAL,top,S,,component:2:16.3,terminal:2:16.3:t2,16.3:t2,t2
,,2,D,16.3:D,edge:2:component:16.3:terminal:16.3:t3,,16.3,,,,,,,,,,,HAS_TERMINAL,bottom,D,,component:2:16.3,terminal:2:16.3:t3,16.3:t3,t3
,,2,t1,22.1:t1,edge:2:component:22.1:terminal:22.1:t1,,22.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:2:22.1,terminal:2:22.1:t1,22.1:t1,t1
,,2,t2,22.1:t2,edge:2:component:22.1:terminal:22.1:t2,,22.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:2:22.1,terminal:2:22.1:t2,22.1:t2,t2
,,2,G,16.4:G,edge:2:component:16.4:terminal:16.4:t1,,16.4,,,,,,,,,,,HAS_TERMINAL,left,G,,component:2:16.4,terminal:2:16.4:t1,16.4:t1,t1
,,2,D,16.4:D,edge:2:component:16.4:terminal:16.4:t2,,16.4,,,,,,,,,,,HAS_TERMINAL,top,D,,component:2:16.4,terminal:2:16.4:t2,16.4:t2,t2
,,2,S,16.4:S,edge:2:component:16.4:terminal:16.4:t3,,16.4,,,,,,,,,,,HAS_TERMINAL,bottom,S,,component:2:16.4,terminal:2:16.4:t3,16.4:t3,t3
,,2,G,16.5:G,edge:2:component:16.5:terminal:16.5:t1,,16.5,,,,,,,,,,,HAS_TERMINAL,left,G,,component:2:16.5,terminal:2:16.5:t1,16.5:t1,t1
,,2,S,16.5:S,edge:2:component:16.5:terminal:16.5:t2,,16.5,,,,,,,,,,,HAS_TERMINAL,top,S,,component:2:16.5,terminal:2:16.5:t2,16.5:t2,t2
,,2,D,16.5:D,edge:2:component:16.5:terminal:16.5:t3,,16.5,,,,,,,,,,,HAS_TERMINAL,bottom,D,,component:2:16.5,terminal:2:16.5:t3,16.5:t3,t3
,,2,t1,9.2:t1,edge:2:component:9.2:terminal:9.2:t1,,9.2,,,,,,,,,,,HAS_TERMINAL,top,,,component:2:9.2,terminal:2:9.2:t1,9.2:t1,t1
