bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_semantic_terminal_names,connected_terminal_display_ids,connected_terminal_ids,diagram_id,display_name,display_terminal_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,implicit_anchor_terminal_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_implicit_reason,matched_net_index,matched_net_is_implicit_supply,merged_source_labels,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_from_05_implicit_reason,preferred_from_05_is_implicit_supply,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,semantic_terminal_id,semantic_terminal_name,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,,,1,,,,,1024,1.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v7_npn_transistor_mosfet\1.jpg,1024,,,,,,1,,,,,,,,,,4,,10,4,,10,,,diagram:1,Diagram,,,,,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
94.11,214.0,501.57,620.41,16,Mosfet,,,,0.863,,,,1,,,,right,,,,,,,16.1,,,16.1,,,,,,,,,,,,,,3,,,,component:1:16.1,Component,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
258.61,357.7,964.09,1020.39,9,GND,,,,0.7732,,,,1,,,top,up,,,,,,,9.1,,,9.1,,,,,,,,,,,,,,1,,,,component:1:9.1,Component,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
455.91,573.41,281.07,398.42,16,Mosfet,,,,0.8593,,,,1,,,,left,,,,,,,16.2,,,16.2,,,,,,,,,,,,,,3,,,,component:1:16.2,Component,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
459.32,572.63,693.32,804.37,16,Mosfet,,,,0.8787,,,,1,,,,left,,,,,,,16.3,,,16.3,,,,,,,,,,,,,,3,,,,component:1:16.3,Component,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
,,,,,,16,Mosfet,component:1:16.1,,,,,1,G,16.1:G,,right,,,,,,,16.1,,False,16.1:G,ok,1.0,matched_preferred,[],N3,,3,False,,,,,,,,,,terminal:1:16.1:t1,Terminal,,,False,N3,3,right,directional,directional_primary,"[213, 552, 237, 565]",16.1:G,G,218,557,,,,16.1:t1,t1,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""y"", ""relative_position"": ""right"", ""scan_start"": 532, ""scan_end"": 590, ""scan_margin"": 9, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 558, ""anchor_offset_ratio"": 0.4746, ""max_score"": 84, ""keep_threshold"": 71, ""selected_run_start"": 22, ""selected_run_end"": 29, ""selected_run_length"": 8, ""selected_run_score"": 84, ""three_terminal_role"": ""single_side_terminal"", ""three_terminal_orientation"": ""right""}",three_terminal_structured,,,218.0,558.0
,,,,,,16,Mosfet,component:1:16.1,,,,,1,D,16.1:D,,right,,,,,,,16.1,,False,16.1:D,ok,0.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:1:16.1:t2,Terminal,,,False,N1,1,top,directional,directional_primary,"[107, 480, 120, 504]",16.1:D,D,113,498,,,,16.1:t2,t2,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 99, ""scan_end"": 152, ""scan_margin"": 10, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 113, ""anchor_offset_ratio"": 0.1583, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 10, ""selected_run_end"": 18, ""selected_run_length"": 9, ""selected_run_score"": 70, ""three_terminal_role"": ""orthogonal_pair_terminal"", ""three_terminal_orientation"": ""right"", ""three_terminal_pair_bias"": ""opposite_side"", ""three_terminal_pair_bias_debug"": {""top"": {""local_score"": 87.5, ""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 99, ""scan_end"": 152, ""scan_margin"": 10, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 113, ""anchor_offset_ratio"": 0.1583, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 10, ""selected_run_end"": 18, ""selected_run_length"": 9, ""selected_run_score"": 70}, ""bottom"": {""local_score"": 87.5, ""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""bottom"", ""scan_start"": 99, ""scan_end"": 152, ""scan_margin"": 10, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 113, ""anchor_offset_ratio"": 0.1583, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 10, ""selected_run_end"": 18, ""selected_run_length"": 9, ""selected_run_score"": 70}}}",three_terminal_structured,,,113.0,498.0
,,,,,,16,Mosfet,component:1:16.1,,,,,1,S,16.1:S,,right,,,,,,,16.1,,False,16.1:S,ok,0.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:1:16.1:t3,Terminal,,,False,N2,2,bottom,directional,directional_primary,"[107, 619, 120, 643]",16.1:S,S,113,624,,,,16.1:t3,t3,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""x"", ""relative_position"": ""bottom"", ""scan_start"": 99, ""scan_end"": 152, ""scan_margin"": 10, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 113, ""anchor_offset_ratio"": 0.1583, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 10, ""selected_run_end"": 18, ""selected_run_length"": 9, ""selected_run_score"": 70, ""three_terminal_role"": ""orthogonal_pair_terminal"", ""three_terminal_orientation"": ""right"", ""three_terminal_pair_bias"": ""opposite_side"", ""three_terminal_pair_bias_debug"": {""top"": {""local_score"": 87.5, ""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 99, ""scan_end"": 152, ""scan_margin"": 10, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 113, ""anchor_offset_ratio"": 0.1583, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 10, ""selected_run_end"": 18, ""selected_run_length"": 9, ""selected_run_score"": 70}, ""bottom"": {""local_score"": 87.5, ""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""bottom"", ""scan_start"": 99, ""scan_end"": 152, ""scan_margin"": 10, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 113, ""anchor_offset_ratio"": 0.1583, ""max_score"": 70, ""keep_threshold"": 60, ""selected_run_start"": 10, ""selected_run_end"": 18, ""selected_run_length"": 9, ""selected_run_score"": 70}}}",three_terminal_structured,,,113.0,624.0
,,,,,,9,GND,component:1:9.1,,,,,1,t1,9.1:t1,top,up,,,,,,,9.1,,False,9.1:t1,ok,1.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:1:9.1:t1,Terminal,,,False,N2,2,top,directional,directional_primary,"[301, 942, 314, 966]",,,306,960,,,,9.1:t1,t1,"{""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 267, ""scan_end"": 350, ""scan_margin"": 8, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 307, ""anchor_offset_ratio"": 0.4848, ""max_score"": 84, ""keep_threshold"": 71, ""selected_run_start"": 36, ""selected_run_end"": 43, ""selected_run_length"": 8, ""selected_run_score"": 84}",two_terminal_side_peak,,,307.0,960.0
,,,,,,16,Mosfet,component:1:16.2,,,,,1,G,16.2:G,,left,,,,,,,16.2,,False,16.2:G,ok,0.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:1:16.2:t1,Terminal,,,False,N1,1,left,directional,directional_primary,"[434, 330, 458, 343]",16.2:G,G,452,336,,,,16.2:t1,t1,"{""point_mode"": ""three_terminal_structured"", ""scan_axis"": ""y"", ""relative_position"": ""left"", ""scan_start"": 310, ""scan_end"": 369, ""scan_margin"": 9, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 336, ""anchor_offset_ratio"": 0.4701, ""max_score"": 84, ""keep_threshold"": 71, ""selected_run_start"": 23, ""selected_run_end"": 30, ""selected_run_length"": 8, ""selected_run_score"": 84, ""three_terminal_role"": ""single_side_terminal"", ""three_terminal_orientation"": ""left""}",three_terminal_structured,,,452.0,336.0
