class_name,component_class_name,diagram_id,display_name,display_terminal_id,edge_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_implicit_reason,net_index,net_is_implicit_supply,relation_type,relative_position,semantic_terminal_name,snap_point,source,target,terminal_id,terminal_name
Mosfet,,1,,,edge:1:diagram_to_component:16.1,,16.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:16.1,,
GND,,1,,,edge:1:diagram_to_component:9.1,,9.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:9.1,,
Mosfet,,1,,,edge:1:diagram_to_component:16.2,,16.2,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:16.2,,
Mosfet,,1,,,edge:1:diagram_to_component:16.3,,16.3,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:16.3,,
,,1,,,edge:1:diagram_to_net:N1,,,False,,,,,,N1,,1,,HAS_NET,,,,diagram:1,net:1:N1,,
,,1,,,edge:1:diagram_to_net:N2,,,False,,,,,,N2,,2,,HAS_NET,,,,diagram:1,net:1:N2,,
,,1,,,edge:1:diagram_to_net:N3,,,False,,,,,,N3,,3,,HAS_NET,,,,diagram:1,net:1:N3,,
,,1,,,edge:1:diagram_to_net:N4,,,False,,,,,,N4,,4,,HAS_NET,,,,diagram:1,net:1:N4,,
,,1,G,16.1:G,edge:1:component:16.1:terminal:16.1:t1,,16.1,,,,,,,,,,,HAS_TERMINAL,right,G,,component:1:16.1,terminal:1:16.1:t1,16.1:t1,t1
,,1,D,16.1:D,edge:1:component:16.1:terminal:16.1:t2,,16.1,,,,,,,,,,,HAS_TERMINAL,top,D,,component:1:16.1,terminal:1:16.1:t2,16.1:t2,t2
,,1,S,16.1:S,edge:1:component:16.1:terminal:16.1:t3,,16.1,,,,,,,,,,,HAS_TERMINAL,bottom,S,,component:1:16.1,terminal:1:16.1:t3,16.1:t3,t3
,,1,t1,9.1:t1,edge:1:component:9.1:terminal:9.1:t1,,9.1,,,,,,,,,,,HAS_TERMINAL,top,,,component:1:9.1,terminal:1:9.1:t1,9.1:t1,t1
,,1,G,16.2:G,edge:1:component:16.2:terminal:16.2:t1,,16.2,,,,,,,,,,,HAS_TERMINAL,left,G,,component:1:16.2,terminal:1:16.2:t1,16.2:t1,t1
,,1,D,16.2:D,edge:1:component:16.2:terminal:16.2:t2,,16.2,,,,,,,,,,,HAS_TERMINAL,top,D,,component:1:16.2,terminal:1:16.2:t2,16.2:t2,t2
,,1,S,16.2:S,edge:1:component:16.2:terminal:16.2:t3,,16.2,,,,,,,,,,,HAS_TERMINAL,bottom,S,,component:1:16.2,terminal:1:16.2:t3,16.2:t3,t3
,,1,G,16.3:G,edge:1:component:16.3:terminal:16.3:t1,,16.3,,,,,,,,,,,HAS_TERMINAL,left,G,,component:1:16.3,terminal:1:16.3:t1,16.3:t1,t1
,,1,D,16.3:D,edge:1:component:16.3:terminal:16.3:t2,,16.3,,,,,,,,,,,HAS_TERMINAL,top,D,,component:1:16.3,terminal:1:16.3:t2,16.3:t2,t2
,,1,S,16.3:S,edge:1:component:16.3:terminal:16.3:t3,,16.3,,,,,,,,,,,HAS_TERMINAL,bottom,S,,component:1:16.3,terminal:1:16.3:t3,16.3:t3,t3
,Mosfet,1,,16.1:G,edge:1:terminal:16.1:t1:net:N3,,,,False,ok,1.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,G,"[218, 557]",terminal:1:16.1:t1,net:1:N3,16.1:t1,
,Mosfet,1,,16.1:D,edge:1:terminal:16.1:t2:net:N1,,,,False,ok,0.0,matched_preferred,[],N1,,1,False,CONNECTED_TO,,D,"[113, 498]",terminal:1:16.1:t2,net:1:N1,16.1:t2,
,Mosfet,1,,16.1:S,edge:1:terminal:16.1:t3:net:N2,,,,False,ok,0.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,S,"[113, 624]",terminal:1:16.1:t3,net:1:N2,16.1:t3,
,GND,1,,9.1:t1,edge:1:terminal:9.1:t1:net:N2,,,,False,ok,1.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,,"[306, 960]",terminal:1:9.1:t1,net:1:N2,9.1:t1,
,Mosfet,1,,16.2:G,edge:1:terminal:16.2:t1:net:N1,,,,False,ok,0.0,matched_preferred,[],N1,,1,False,CONNECTED_TO,,G,"[452, 336]",terminal:1:16.2:t1,net:1:N1,16.2:t1,
,Mosfet,1,,16.2:D,edge:1:terminal:16.2:t2:net:N4,,,,False,ok,0.0,matched_preferred,[],N4,,4,False,CONNECTED_TO,,D,"[553, 277]",terminal:1:16.2:t2,net:1:N4,16.2:t2,
,Mosfet,1,,16.2:S,edge:1:terminal:16.2:t3:net:N3,,,,False,ok,0.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,S,"[553, 402]",terminal:1:16.2:t3,net:1:N3,16.2:t3,
,Mosfet,1,,16.3:G,edge:1:terminal:16.3:t1:net:N3,,,,False,ok,0.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,G,"[455, 746]",terminal:1:16.3:t1,net:1:N3,16.3:t1,
,Mosfet,1,,16.3:D,edge:1:terminal:16.3:t2:net:N3,,,,False,ok,0.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,D,"[553, 689]",terminal:1:16.3:t2,net:1:N3,16.3:t2,
,Mosfet,1,,16.3:S,edge:1:terminal:16.3:t3:net:N2,,,,False,ok,0.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,S,"[553, 808]",terminal:1:16.3:t3,net:1:N2,16.3:t3,
