bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_semantic_terminal_names,connected_terminal_display_ids,connected_terminal_ids,diagram_id,display_name,display_terminal_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,implicit_anchor_terminal_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_implicit_reason,matched_net_index,matched_net_is_implicit_supply,merged_source_labels,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_from_05_implicit_reason,preferred_from_05_is_implicit_supply,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,semantic_terminal_id,semantic_terminal_name,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,,,2,,,,,1024,2.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v7_npn_transistor_mosfet\2.jpg,1024,,,,,,2,,,,,,,,,,14,,27,11,,29,,,diagram:2,Diagram,,,,,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
169.99,207.86,500.34,553.3,26,Terminal,,,,0.7544,,,,2,,,,right,,,,,,,26.1,,,26.1,,,,,,,,,,,,,,1,,,,component:2:26.1,Component,,,,,,,,,,,,,,,,variable_terminal,,,,,True,True,,
171.1,207.32,695.16,745.23,26,Terminal,,,,0.7858,,,,2,,,,right,,,,,,,26.2,,,26.2,,,,,,,,,,,,,,1,,,,component:2:26.2,Component,,,,,,,,,,,,,,,,variable_terminal,,,,,True,True,,
271.66,359.51,787.6,913.37,16,Mosfet,,,,0.8661,,,,2,,,,left,,,,,,,16.1,,,16.1,,,,,,,,,,,,,,3,,,,component:2:16.1,Component,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
271.42,359.79,470.67,591.58,16,Mosfet,,,,0.8785,,,,2,,,,left,,,,,,,16.2,,,16.2,,,,,,,,,,,,,,3,,,,component:2:16.2,Component,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
310.74,382.01,963.71,1022.17,9,GND,,,,0.8162,,,,2,,,top,up,,,,,,,9.1,,,9.1,,,,,,,,,,,,,,1,,,,component:2:9.1,Component,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
333.38,426.26,217.63,336.25,16,Mosfet,,,,0.8756,,,,2,,,,right,,,,,,,16.3,,,16.3,,,,,,,,,,,,,,3,,,,component:2:16.3,Component,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
437.13,555.7,621.57,697.08,22,Resistor,,,,0.8535,,,,2,,,,horizontal,,,,,,,22.1,,,22.1,,,,,,,,,,,,,,2,,,,component:2:22.1,Component,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
558.87,649.89,789.73,912.64,16,Mosfet,,,,0.8861,,,,2,,,,left,,,,,,,16.4,,,16.4,,,,,,,,,,,,,,3,,,,component:2:16.4,Component,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
559.83,651.8,214.39,337.32,16,Mosfet,,,,0.8801,,,,2,,,,left,,,,,,,16.5,,,16.5,,,,,,,,,,,,,,3,,,,component:2:16.5,Component,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
