bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_semantic_terminal_names,connected_terminal_display_ids,connected_terminal_ids,diagram_id,display_name,display_terminal_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,implicit_anchor_terminal_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_implicit_reason,matched_net_index,matched_net_is_implicit_supply,merged_source_labels,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_from_05_implicit_reason,preferred_from_05_is_implicit_supply,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,semantic_confidence,semantic_direction,semantic_evidence_type,semantic_polarity,semantic_resolution_mode,semantic_role_family,semantic_slot,semantic_terminal_id,semantic_terminal_name,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,,,1,,,,,1024,1.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v8_polarita_componenti\1.jpg,1024,,,,,,1,,,,,,,,,,17,,29,6,,29,,,diagram:1,Diagram,,,,,,,,,,,,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
14.35,47.05,364.53,407.39,26,Terminal,,,,0.7004,,,,1,,,,right,,,,,,,26.1,,,26.1,,,,,,,,,,,,,,1,,,,component:1:26.1,Component,,,,,,,,,,,,,,,,,,,,,,,variable_terminal,,,,,True,True,,
74.47,152.3,589.1,694.98,6,Current_Source,,,,0.9235,,,,1,,,,vertical,,,,,,,6.1,,,6.1,,,,,,,,,,,,,,2,,,,component:1:6.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
184.54,253.19,728.66,804.38,20,Polarized_Capacitor,,,,0.764,,,,1,,,,vertical,,,,,,,20.1,,,20.1,,,,,,,,,,,,,,2,,,,component:1:20.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
277.99,382.66,354.74,421.15,22,Resistor,,,,0.8687,,,,1,,,,horizontal,,,,,,,22.1,,,22.1,,,,,,,,,,,,,,2,,,,component:1:22.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
339.64,392.87,623.72,720.93,20,Polarized_Capacitor,,,,0.8488,,,,1,,,,horizontal,,,,,,,20.2,,,20.2,,,,,,,,,,,,,,2,,,,component:1:20.2,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
485.53,520.57,828.34,873.93,26,Terminal,,,,0.7437,,,,1,,,,bottom,,,,,,,26.2,,,26.2,,,,,,,,,,,,,,1,,,,component:1:26.2,Component,,,,,,,,,,,,,,,,,,,,,,,variable_terminal,,,,,True,True,,
485.06,521.49,715.47,761.53,26,Terminal,,,,0.6474,,,,1,,,,top,,,,,,,26.3,,,26.3,,,,,,,,,,,,,,1,,,,component:1:26.3,Component,,,,,,,,,,,,,,,,,,,,,,,variable_terminal,,,,,True,True,,
455.89,552.89,336.05,402.26,25,Switch,,,,0.8254,,,,1,,,,horizontal,,,,,,,25.1,,,25.1,,,,,,,,,,,,,,2,,,,component:1:25.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
475.36,549.65,52.22,150.51,6,Current_Source,,,,0.9187,,,,1,,,,horizontal,,,,,,,6.2,,,6.2,,,,,,,,,,,,,,2,,,,component:1:6.2,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
463.56,570.41,201.14,267.03,22,Resistor,,,,0.8528,,,,1,,,,horizontal,,,,,,,22.2,,,22.2,,,,,,,,,,,,,,2,,,,component:1:22.2,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
560.21,626.38,958.14,1018.33,9,GND,,,,0.8283,,,,1,,,top,up,,,,,,,9.1,,,9.1,,,,,,,,,,,,,,1,,,,component:1:9.1,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
613.38,665.45,507.58,597.79,20,Polarized_Capacitor,,,,0.8609,,,,1,,,,horizontal,,,,,,,20.3,,,20.3,,,,,,,,,,,,,,2,,,,component:1:20.3,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
645.38,696.31,623.27,720.18,20,Polarized_Capacitor,,,,0.8622,,,,1,,,,horizontal,,,,,,,20.4,,,20.4,,,,,,,,,,,,,,2,,,,component:1:20.4,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
632.82,769.82,331.27,438.72,31,Voltage_Source,,,,0.8678,,,,1,,,,horizontal,,,,,,,31.1,,,31.1,,,,,,,,,,,,,,2,,,,component:1:31.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
785.23,855.43,729.61,805.24,20,Polarized_Capacitor,,,,0.804,,,,1,,,,vertical,,,,,,,20.5,,,20.5,,,,,,,,,,,,,,2,,,,component:1:20.5,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
886.34,964.75,588.42,694.96,6,Current_Source,,,,0.9169,,,,1,,,,vertical,,,,,,,6.3,,,6.3,,,,,,,,,,,,,,2,,,,component:1:6.3,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
991.81,1023.63,364.59,406.67,26,Terminal,,,,0.6791,,,,1,,,,left,,,,,,,26.4,,,26.4,,,,,,,,,,,,,,1,,,,component:1:26.4,Component,,,,,,,,,,,,,,,,,,,,,,,variable_terminal,,,,,True,True,,
,,,,,,26,Terminal,component:1:26.1,,,,,1,t1,26.1:t1,,right,,,,,,,26.1,,False,26.1:t1,ok,0.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:1:26.1:t1,Terminal,,,False,N1,1,right,directional,directional_primary,"[46, 380, 70, 393]",,,,,,,,,,51,386,,,,26.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,51.05,385.96
,,,,,,6,Current_Source,component:1:6.1,,,,,1,current_from,6.1:current_from,,vertical,,,,,,,6.1,,False,6.1:current_from,ok,1.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:1:6.1:t1,Terminal,,,False,N1,1,top,directional,directional_primary,"[105, 563, 122, 592]",0.4586,current_from,symbol_heuristic,,current_source_direction_from_arrow,current_direction,other_side,6.1:current_from,current_from,112,585,,,,6.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,113.39,585.1
,,,,,,6,Current_Source,component:1:6.1,,,,,1,current_to,6.1:current_to,,vertical,,,,,,,6.1,,False,6.1:current_to,ok,1.0,matched_preferred,[],N3,,3,False,,,,,,,,,,terminal:1:6.1:t2,Terminal,,,False,N3,3,bottom,directional,directional_primary,"[105, 693, 122, 722]",0.4586,current_to,symbol_heuristic,,current_source_direction_from_arrow,current_direction,marker_side,6.1:current_to,current_to,112,699,,,,6.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,113.39,698.98
,,,,,,20,Polarized_Capacitor,component:1:20.1,,,,,1,positive,20.1:positive,,vertical,,,,,,,20.1,,False,20.1:positive,ok,1.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:1:20.1:t1,Terminal,,,False,N1,1,top,directional,directional_primary,"[213, 707, 226, 731]",0.2,,orientation_fallback,positive,polarized_capacitor_positive_from_marker,polarity,marker_side,20.1:positive,positive,218,725,,,,20.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,218.87,724.66
,,,,,,20,Polarized_Capacitor,component:1:20.1,,,,,1,negative,20.1:negative,,vertical,,,,,,,20.1,,False,20.1:negative,ok,1.0,matched_preferred,[],N3,,3,False,,,,,,,,,,terminal:1:20.1:t2,Terminal,,,False,N3,3,bottom,directional,directional_primary,"[213, 803, 226, 827]",0.2,,orientation_fallback,negative,polarized_capacitor_positive_from_marker,polarity,other_side,20.1:negative,negative,218,808,,,,20.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,218.87,808.38
,,,,,,22,Resistor,component:1:22.1,,,,,1,t1,22.1:t1,,horizontal,,,,,,,22.1,,False,22.1:t1,ok,2.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:1:22.1:t1,Terminal,,,False,N1,1,left,directional,directional_primary,"[256, 382, 280, 395]",,,,,,,,,,274,386,,,,22.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,273.99,387.94
,,,,,,22,Resistor,component:1:22.1,,,,,1,t2,22.1:t2,,horizontal,,,,,,,22.1,,False,22.1:t2,ok,2.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:1:22.1:t2,Terminal,,,False,N2,2,right,directional,directional_primary,"[382, 382, 406, 395]",,,,,,,,,,387,386,,,,22.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,386.66,387.94
,,,,,,20,Polarized_Capacitor,component:1:20.2,,,,,1,positive,20.2:positive,,horizontal,,,,,,,20.2,,False,20.2:positive,ok,0.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:1:20.2:t1,Terminal,,,False,N1,1,left,directional,directional_primary,"[318, 666, 342, 679]",0.2,,orientation_fallback,positive,polarized_capacitor_positive_from_marker,polarity,marker_side,20.2:positive,positive,336,672,,,,20.2:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,335.64,672.33
,,,,,,20,Polarized_Capacitor,component:1:20.2,,,,,1,negative,20.2:negative,,horizontal,,,,,,,20.2,,False,20.2:negative,ok,0.0,matched_preferred,[],N4,,4,False,,,,,,,,,,terminal:1:20.2:t2,Terminal,,,False,N4,4,right,directional,directional_primary,"[392, 666, 416, 679]",0.2,,orientation_fallback,negative,polarized_capacitor_positive_from_marker,polarity,other_side,20.2:negative,negative,397,672,,,,20.2:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,396.87,672.33
,,,,,,26,Terminal,component:1:26.2,,,,,1,t1,26.2:t1,,bottom,,,,,,,26.2,,False,26.2:t1,ok,0.0,matched_preferred,[],N3,,3,False,,,,,,,,,,terminal:1:26.2:t1,Terminal,,,False,N3,3,bottom,directional,directional_primary,"[497, 873, 510, 897]",,,,,,,,,,503,878,,,,26.2:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,503.05,877.93
,,,,,,26,Terminal,component:1:26.3,,,,,1,t1,26.3:t1,,top,,,,,,,26.3,,False,26.3:t1,ok,0.0,matched_preferred,[],N4,,4,False,,,,,,,,,,terminal:1:26.3:t1,Terminal,,,False,N4,4,top,directional,directional_primary,"[497, 693, 510, 717]",,,,,,,,,,503,711,,,,26.3:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,503.27,711.47
,,,,,,25,Switch,component:1:25.1,,,,,1,t1,25.1:t1,,horizontal,,,,,,,25.1,,False,25.1:t1,ok,17.0,matched_single,"[""no_preferred_net_from_05"", ""matched_without_preferred_label"", ""used_fallback_search""]",N2,,2,False,,,,,,,,,,terminal:1:25.1:t1,Terminal,,,False,,,left,circle,circle_fallback,"[422, 339, 483, 400]",,,,,,,,,,452,386,,,,25.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,451.89,369.15
,,,,,,25,Switch,component:1:25.1,,,,,1,t2,25.1:t2,,horizontal,,,,,,,25.1,,False,25.1:t2,ok,17.0,matched_single,"[""no_preferred_net_from_05"", ""matched_without_preferred_label"", ""used_fallback_search""]",N5,,5,False,,,,,,,,,,terminal:1:25.1:t2,Terminal,,,False,,,right,circle,circle_fallback,"[527, 339, 588, 400]",,,,,,,,,,557,386,,,,25.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,556.89,369.15
,,,,,,6,Current_Source,component:1:6.2,,,,,1,current_from,6.2:current_from,,horizontal,,,,,,,6.2,,False,6.2:current_from,ok,1.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:1:6.2:t1,Terminal,,,False,N1,1,left,directional,directional_primary,"[449, 93, 478, 110]",0.4389,current_from,symbol_heuristic,,current_source_direction_from_arrow,current_direction,other_side,6.2:current_from,current_from,471,100,,,,6.2:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,471.36,101.36
,,,,,,6,Current_Source,component:1:6.2,,,,,1,current_to,6.2:current_to,,horizontal,,,,,,,6.2,,False,6.2:current_to,ok,1.0,matched_preferred,[],N6,,6,False,,,,,,,,,,terminal:1:6.2:t2,Terminal,,,False,N6,6,right,directional,directional_primary,"[548, 93, 577, 110]",0.4389,current_to,symbol_heuristic,,current_source_direction_from_arrow,current_direction,marker_side,6.2:current_to,current_to,554,100,,,,6.2:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,553.65,101.36
