diagram_id,n_component_nodes,n_connected_to_edges,n_diagram_nodes,n_edges_total,n_has_component_edges,n_has_net_edges,n_has_terminal_edges,n_implicit_supply_nets,n_implicit_supply_terminal_matches,n_net_nodes,n_nodes_total,n_suspicious_terminal_matches,n_terminal_nodes,n_terminals_matched,n_terminals_unmatched,terminal_connection_status_counts,terminal_match_confidence_counts,terminal_match_status_counts
1,17,29,1,81,17,6,29,0,0,6,53,0,29,29,0,"{""matched_preferred"": 27, ""matched_single"": 2}","{""ok"": 29, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 27, ""matched_single"": 2}"
10,9,16,1,44,9,3,16,0,0,3,29,0,16,16,0,"{""matched_preferred"": 16}","{""ok"": 16, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 16}"
11,10,18,1,54,10,8,18,0,0,8,37,0,18,18,0,"{""matched_preferred"": 18}","{""ok"": 18, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 18}"
12,18,34,1,97,18,11,34,0,0,11,64,0,34,34,0,"{""matched_preferred"": 34}","{""ok"": 34, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 34}"
2,16,27,1,77,16,7,27,0,0,7,51,0,27,27,0,"{""matched_preferred"": 27}","{""ok"": 27, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 27}"
3,9,18,1,51,9,6,18,0,0,6,34,0,18,18,0,"{""matched_preferred"": 18}","{""ok"": 18, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 18}"
4,10,18,1,54,10,8,18,0,0,8,37,0,18,18,0,"{""matched_preferred"": 18}","{""ok"": 18, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 18}"
5,11,23,1,63,11,6,23,0,0,6,41,0,23,23,0,"{""matched_preferred"": 23}","{""ok"": 23, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 23}"
6,7,12,1,35,7,4,12,0,0,4,24,0,12,12,0,"{""matched_preferred"": 12}","{""ok"": 12, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 12}"
7,7,12,1,34,7,3,12,0,0,3,23,0,12,12,0,"{""matched_preferred"": 12}","{""ok"": 12, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 12}"
8,20,42,1,122,20,18,42,0,0,18,81,0,42,42,0,"{""matched_preferred"": 42}","{""ok"": 42, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 42}"
9,9,19,1,56,9,9,19,0,0,9,38,0,19,19,0,"{""matched_preferred"": 19}","{""ok"": 19, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 19}"
