bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_semantic_terminal_names,connected_terminal_display_ids,connected_terminal_ids,diagram_id,display_name,display_terminal_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,implicit_anchor_terminal_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_implicit_reason,matched_net_index,matched_net_is_implicit_supply,merged_source_labels,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_from_05_implicit_reason,preferred_from_05_is_implicit_supply,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,semantic_confidence,semantic_direction,semantic_evidence_type,semantic_polarity,semantic_resolution_mode,semantic_role_family,semantic_slot,semantic_terminal_id,semantic_terminal_name,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,,,8,,,,,1024,8.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v8_polarita_componenti\8.jpg,1024,,,,,,8,,,,,,,,,,20,,42,18,,42,,,diagram:8,Diagram,,,,,,,,,,,,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
224.51,310.11,157.58,285.9,2,Battery,,,,0.8641,,,,8,,,,vertical,,,,,,,2.1,,,2.1,,,,,,,,,,,,,,2,,,,component:8:2.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
327.76,397.02,970.29,1018.65,9,GND,,,,0.8013,,,,8,,,top,up,,,,,,,9.1,,,9.1,,,,,,,,,,,,,,1,,,,component:8:9.1,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
330.89,394.22,802.32,855.14,7,Diode,,,,0.8329,,,,8,,,,vertical,,,,,,,7.1,,,7.1,,,,,,,,,,,,,,2,,,,component:8:7.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
350.4,431.79,301.14,389.79,16,Mosfet,,,,0.8792,,,,8,,,,right,,,,,,,16.1,,,16.1,,,,,,,,,,,,,,3,,,,component:8:16.1,Component,,,,,,,,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
348.47,434.19,146.05,240.08,16,Mosfet,,,,0.9122,,,,8,,,,right,,,,,,,16.2,,,16.2,,,,,,,,,,,,,,3,,,,component:8:16.2,Component,,,,,,,,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
347.61,435.17,636.46,729.14,16,Mosfet,,,,0.8643,,,,8,,,,right,,,,,,,16.3,,,16.3,,,,,,,,,,,,,,3,,,,component:8:16.3,Component,,,,,,,,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
565.46,650.74,637.75,727.4,16,Mosfet,,,,0.863,,,,8,,,,left,,,,,,,16.4,,,16.4,,,,,,,,,,,,,,3,,,,component:8:16.4,Component,,,,,,,,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
567.16,651.76,299.07,389.13,16,Mosfet,,,,0.8383,,,,8,,,,left,,,,,,,16.5,,,16.5,,,,,,,,,,,,,,3,,,,component:8:16.5,Component,,,,,,,,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
565.26,654.5,144.4,240.72,16,Mosfet,,,,0.8306,,,,8,,,,left,,,,,,,16.6,,,16.6,,,,,,,,,,,,,,3,,,,component:8:16.6,Component,,,,,,,,,,,,,,,,,,,,,,,three_terminal,,,,,True,True,,
