bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_semantic_terminal_names,connected_terminal_display_ids,connected_terminal_ids,diagram_id,display_name,display_terminal_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,implicit_anchor_terminal_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_implicit_reason,matched_net_index,matched_net_is_implicit_supply,merged_source_labels,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_from_05_implicit_reason,preferred_from_05_is_implicit_supply,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,semantic_confidence,semantic_direction,semantic_evidence_type,semantic_polarity,semantic_resolution_mode,semantic_role_family,semantic_slot,semantic_terminal_id,semantic_terminal_name,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,,,15,,,,,734,15.png,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v9_1_primo_set_analog_meter_connector_transformer\15.png,1033,,,,,,15,,,,,,,,,,10,,18,9,,18,,,diagram:15,Diagram,,,,,,,,,,,,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
9.71,124.68,362.4,453.61,2,Battery,,,,0.5489,,,,15,,,,vertical,,,,,,,2.1,,,2.1,,,,,,,,,,,,,,2,,,,component:15:2.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
25.14,109.38,641.75,705.72,9,GND,,,,0.7995,,,,15,,,top,up,,,,,,,9.1,,,9.1,,,,,,,,,,,,,,1,,,,component:15:9.1,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
80.93,245.43,81.53,185.14,25,Switch,,,,0.0203,,,,15,,,,horizontal,,,,,,,25.1,,,25.1,,,,,,,,,,,,,,2,,,,component:15:25.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
258.48,341.98,541.96,598.28,9,GND,,,,0.7794,,,,15,,,top,up,,,,,,,9.2,,,9.2,,,,,,,,,,,,,,1,,,,component:15:9.2,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
375.68,474.41,54.88,563.12,5,Connector,,,,0.7106,,,,15,,,,vertical,,,,,,,5.1,,,5.1,,,,,,,,,,,,,,4,,,,component:15:5.1,Component,,,,,,,,,,,,,,,,,,,,,,,multi_terminal,,,,,True,True,,
655.84,811.04,299.22,451.85,13,Lamp,,,,0.2811,,,,15,,,,horizontal,,,,,,,13.1,,,13.1,,,,,,,,,,,,,,2,,,,component:15:13.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
691.09,854.28,200.1,287.77,22,Resistor,,,,0.8536,,,,15,,,,horizontal,,,,,,,22.1,,,22.1,,,,,,,,,,,,,,2,,,,component:15:22.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
816.54,900.61,514.89,573.38,9,GND,,,,0.7944,,,,15,,,top,up,,,,,,,9.3,,,9.3,,,,,,,,,,,,,,1,,,,component:15:9.3,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
869.13,952.7,668.65,727.57,9,GND,,,,0.7963,,,,15,,,top,up,,,,,,,9.4,,,9.4,,,,,,,,,,,,,,1,,,,component:15:9.4,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
864.0,1032.0,371.0,507.0,12,LED,,,,0.7965,,,,15,,,,vertical,,,,,,,12.1,,,12.1,,,,,,,,,,,,,,2,,,,component:15:12.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
,,,,,,2,Battery,component:15:2.1,,,,,15,positive,2.1:positive,,vertical,,,,,,,2.1,,False,2.1:positive,ok,1.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:15:2.1:t1,Terminal,,,False,N2,2,top,directional,directional_primary,"[61, 340, 74, 364]",0.1181,,symbol_heuristic,positive,battery_positive_from_long_plate,polarity,marker_side,2.1:positive,positive,66,358,,,,2.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,67.2,358.4
,,,,,,2,Battery,component:15:2.1,,,,,15,negative,2.1:negative,,vertical,,,,,,,2.1,,False,2.1:negative,ok,1.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:15:2.1:t2,Terminal,,,False,N1,1,bottom,directional,directional_primary,"[61, 453, 74, 477]",0.1181,,symbol_heuristic,negative,battery_positive_from_long_plate,polarity,other_side,2.1:negative,negative,66,458,,,,2.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,67.2,457.61
