diagram_id,n_component_nodes,n_connected_to_edges,n_diagram_nodes,n_edges_total,n_has_component_edges,n_has_net_edges,n_has_terminal_edges,n_implicit_supply_nets,n_implicit_supply_terminal_matches,n_net_nodes,n_nodes_total,n_suspicious_terminal_matches,n_terminal_nodes,n_terminals_matched,n_terminals_unmatched,terminal_connection_status_counts,terminal_match_confidence_counts,terminal_match_status_counts
15,10,14,1,47,10,9,14,0,0,9,34,0,14,14,0,"{""matched_preferred"": 14}","{""ok"": 14, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 14}"
16,9,17,1,51,9,8,17,0,0,8,35,0,17,17,0,"{""matched_preferred"": 17}","{""ok"": 17, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 17}"
17,8,11,1,38,8,8,11,0,0,8,28,0,11,11,0,"{""matched_preferred"": 11}","{""ok"": 11, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 11}"
18,7,8,1,29,7,5,9,0,0,5,22,1,9,8,1,"{""matched_preferred"": 7, ""unmatched"": 1, ""matched_single"": 1}","{""ok"": 8, ""unmatched"": 1, ""none"": 0}","{""matched_preferred"": 7, ""unmatched"": 1, ""matched_single"": 1}"
19,8,10,1,37,8,8,11,0,0,8,28,1,11,10,1,"{""matched_preferred"": 9, ""unmatched"": 1, ""matched_single"": 1}","{""ok"": 10, ""unmatched"": 1, ""none"": 0}","{""matched_preferred"": 9, ""unmatched"": 1, ""matched_single"": 1}"
20,10,14,1,49,10,9,16,0,0,9,36,2,16,14,2,"{""matched_preferred"": 14, ""unmatched"": 2}","{""ok"": 14, ""unmatched"": 2, ""none"": 0}","{""matched_preferred"": 14, ""unmatched"": 2}"
21,9,19,1,57,9,10,19,0,0,10,39,0,19,19,0,"{""matched_preferred"": 17, ""matched_single"": 2}","{""ok"": 19, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 17, ""matched_single"": 2}"
22,9,14,1,48,9,10,15,0,0,10,35,1,15,14,1,"{""matched_preferred"": 13, ""unmatched"": 1, ""matched_single"": 1}","{""ok"": 14, ""unmatched"": 1, ""none"": 0}","{""matched_preferred"": 13, ""unmatched"": 1, ""matched_single"": 1}"
23,9,11,1,40,9,8,12,0,0,8,30,1,12,11,1,"{""matched_preferred"": 10, ""unmatched"": 1, ""matched_single"": 1}","{""ok"": 11, ""unmatched"": 1, ""none"": 0}","{""matched_preferred"": 10, ""unmatched"": 1, ""matched_single"": 1}"
24,13,24,1,72,13,11,24,0,0,11,49,0,24,24,0,"{""matched_preferred"": 24}","{""ok"": 24, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 24}"
25,7,14,1,42,7,7,14,0,0,7,29,0,14,14,0,"{""matched_preferred"": 14}","{""ok"": 14, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 14}"
26,6,11,1,35,6,6,12,0,0,6,25,1,12,11,1,"{""matched_preferred"": 10, ""unmatched"": 1, ""matched_single"": 1}","{""ok"": 11, ""unmatched"": 1, ""none"": 0}","{""matched_preferred"": 10, ""unmatched"": 1, ""matched_single"": 1}"
