class_name,component_class_name,diagram_id,display_name,display_terminal_id,edge_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_implicit_reason,net_index,net_is_implicit_supply,relation_type,relative_position,semantic_terminal_name,snap_point,source,target,terminal_id,terminal_name
Battery,,24,,,edge:24:diagram_to_component:2.1,,2.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:2.1,,
GND,,24,,,edge:24:diagram_to_component:9.1,,9.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:9.1,,
Fuse,,24,,,edge:24:diagram_to_component:8.1,,8.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:8.1,,
GND,,24,,,edge:24:diagram_to_component:9.2,,9.2,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:9.2,,
Connector,,24,,,edge:24:diagram_to_component:5.1,,5.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:5.1,,
Capacitor,,24,,,edge:24:diagram_to_component:4.1,,4.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:4.1,,
GND,,24,,,edge:24:diagram_to_component:9.3,,9.3,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:9.3,,
Switch,,24,,,edge:24:diagram_to_component:25.1,,25.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:25.1,,
Resistor,,24,,,edge:24:diagram_to_component:22.1,,22.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:22.1,,
GND,,24,,,edge:24:diagram_to_component:9.4,,9.4,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:9.4,,
LED,,24,,,edge:24:diagram_to_component:12.1,,12.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:12.1,,
GND,,24,,,edge:24:diagram_to_component:9.5,,9.5,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:9.5,,
Lamp,,24,,,edge:24:diagram_to_component:13.1,,13.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:24,component:24:13.1,,
,,24,,,edge:24:diagram_to_net:N1,,,False,,,,,,N1,,1,,HAS_NET,,,,diagram:24,net:24:N1,,
,,24,,,edge:24:diagram_to_net:N2,,,False,,,,,,N2,,2,,HAS_NET,,,,diagram:24,net:24:N2,,
,,24,,,edge:24:diagram_to_net:N3,,,False,,,,,,N3,,3,,HAS_NET,,,,diagram:24,net:24:N3,,
,,24,,,edge:24:diagram_to_net:N4,,,False,,,,,,N4,,4,,HAS_NET,,,,diagram:24,net:24:N4,,
,,24,,,edge:24:diagram_to_net:N5,,,False,,,,,,N5,,5,,HAS_NET,,,,diagram:24,net:24:N5,,
,,24,,,edge:24:diagram_to_net:N6,,,False,,,,,,N6,,6,,HAS_NET,,,,diagram:24,net:24:N6,,
,,24,,,edge:24:diagram_to_net:N7,,,False,,,,,,N7,,7,,HAS_NET,,,,diagram:24,net:24:N7,,
,,24,,,edge:24:diagram_to_net:N8,,,False,,,,,,N8,,8,,HAS_NET,,,,diagram:24,net:24:N8,,
,,24,,,edge:24:diagram_to_net:N9,,,False,,,,,,N9,,9,,HAS_NET,,,,diagram:24,net:24:N9,,
,,24,,,edge:24:diagram_to_net:N10,,,False,,,,,,N10,,10,,HAS_NET,,,,diagram:24,net:24:N10,,
,,24,,,edge:24:diagram_to_net:N11,,,False,,,,,,N11,,11,,HAS_NET,,,,diagram:24,net:24:N11,,
,,24,positive,2.1:positive,edge:24:component:2.1:terminal:2.1:t1,,2.1,,,,,,,,,,,HAS_TERMINAL,top,positive,,component:24:2.1,terminal:24:2.1:t1,2.1:t1,t1
,,24,negative,2.1:negative,edge:24:component:2.1:terminal:2.1:t2,,2.1,,,,,,,,,,,HAS_TERMINAL,bottom,negative,,component:24:2.1,terminal:24:2.1:t2,2.1:t2,t2
,,24,t1,9.1:t1,edge:24:component:9.1:terminal:9.1:t1,,9.1,,,,,,,,,,,HAS_TERMINAL,top,,,component:24:9.1,terminal:24:9.1:t1,9.1:t1,t1
,,24,t1,8.1:t1,edge:24:component:8.1:terminal:8.1:t1,,8.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:24:8.1,terminal:24:8.1:t1,8.1:t1,t1
,,24,t2,8.1:t2,edge:24:component:8.1:terminal:8.1:t2,,8.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:24:8.1,terminal:24:8.1:t2,8.1:t2,t2
,,24,t1,9.2:t1,edge:24:component:9.2:terminal:9.2:t1,,9.2,,,,,,,,,,,HAS_TERMINAL,top,,,component:24:9.2,terminal:24:9.2:t1,9.2:t1,t1
,,24,pin1,5.1:pin1,edge:24:component:5.1:terminal:5.1:pin1,,5.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:24:5.1,terminal:24:5.1:pin1,5.1:pin1,pin1
,,24,pin2,5.1:pin2,edge:24:component:5.1:terminal:5.1:pin2,,5.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:24:5.1,terminal:24:5.1:pin2,5.1:pin2,pin2
,,24,pin3,5.1:pin3,edge:24:component:5.1:terminal:5.1:pin3,,5.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:24:5.1,terminal:24:5.1:pin3,5.1:pin3,pin3
,,24,pin4,5.1:pin4,edge:24:component:5.1:terminal:5.1:pin4,,5.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:24:5.1,terminal:24:5.1:pin4,5.1:pin4,pin4
,,24,pin5,5.1:pin5,edge:24:component:5.1:terminal:5.1:pin5,,5.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:24:5.1,terminal:24:5.1:pin5,5.1:pin5,pin5
,,24,t1,4.1:t1,edge:24:component:4.1:terminal:4.1:t1,,4.1,,,,,,,,,,,HAS_TERMINAL,top,,,component:24:4.1,terminal:24:4.1:t1,4.1:t1,t1
