bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_semantic_terminal_names,connected_terminal_display_ids,connected_terminal_ids,diagram_id,display_name,display_terminal_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,implicit_anchor_terminal_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_implicit_reason,matched_net_index,matched_net_is_implicit_supply,merged_source_labels,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_from_05_implicit_reason,preferred_from_05_is_implicit_supply,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,semantic_confidence,semantic_direction,semantic_evidence_type,semantic_polarity,semantic_resolution_mode,semantic_role_family,semantic_slot,semantic_terminal_id,semantic_terminal_name,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,,,22,,,,,903,22.png,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v9_1_primo_set_analog_meter_connector_transformer\22.png,1086,,,,,,22,,,,,,,,,,9,,17,9,,17,,,diagram:22,Diagram,,,,,,,,,,,,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
177.61,251.69,98.48,211.19,2,Battery,,,,0.3776,,,,22,,,,horizontal,,,,,,,2.1,,,2.1,,,,,,,,,,,,,,2,,,,component:22:2.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
364.09,450.57,580.12,638.2,9,GND,,,,0.7443,,,,22,,,top,up,,,,,,,9.1,,,9.1,,,,,,,,,,,,,,1,,,,component:22:9.1,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
481.04,581.86,96.99,603.17,5,Connector,,,,0.7763,,,,22,,,,vertical,,,,,,,5.1,,,5.1,,,,,,,,,,,,,,4,,,,component:22:5.1,Component,,,,,,,,,,,,,,,,,,,,,,,multi_terminal,,,,,True,True,,
677.04,814.57,57.62,288.66,28,Transformer,,,,0.7301,,,,22,,,,horizontal,,,,,,,28.1,,,28.1,,,,,,,,,,,,,,2,,,,component:22:28.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
746.67,807.68,370.71,458.71,4,Capacitor,,,,0.7673,,,,22,,,,horizontal,,,,,,,4.1,,,4.1,,,,,,,,,,,,,,2,,,,component:22:4.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
809.32,914.27,525.48,693.46,22,Resistor,,,,0.8606,,,,22,,,,vertical,,,,,,,22.1,,,22.1,,,,,,,,,,,,,,2,,,,component:22:22.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
819.18,906.18,837.35,896.24,9,GND,,,,0.7708,,,,22,,,top,up,,,,,,,9.2,,,9.2,,,,,,,,,,,,,,1,,,,component:22:9.2,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
857.58,1082.6,67.09,300.19,0,Analog_Meter,,,,0.5781,,,,22,,,,,,,,,,,0.1,,,0.1,,,,,,,,,,,,,,2,,,,component:22:0.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
975.74,1060.63,410.09,468.99,9,GND,,,,0.7564,,,,22,,,top,up,,,,,,,9.3,,,9.3,,,,,,,,,,,,,,1,,,,component:22:9.3,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
,,,,,,2,Battery,component:22:2.1,,,,,22,negative,2.1:negative,,horizontal,,,,,,,2.1,,False,2.1:negative,ok,2.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:22:2.1:t1,Terminal,,,False,N1,1,left,directional,directional_primary,"[156, 149, 180, 162]",0.1129,,symbol_heuristic,negative,battery_positive_from_long_plate,polarity,other_side,2.1:negative,negative,174,153,,,,2.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,173.61,154.84
,,,,,,2,Battery,component:22:2.1,,,,,22,positive,2.1:positive,,horizontal,,,,,,,2.1,,False,2.1:positive,ok,2.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:22:2.1:t2,Terminal,,,False,N2,2,right,directional,directional_primary,"[251, 149, 275, 162]",0.1129,,symbol_heuristic,positive,battery_positive_from_long_plate,polarity,marker_side,2.1:positive,positive,256,153,,,,2.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,255.69,154.84
,,,,,,9,GND,component:22:9.1,,,,,22,t1,9.1:t1,top,up,,,,,,,9.1,,False,9.1:t1,ok,0.0,matched_preferred,[],N3,,3,False,,,,,,,,,,terminal:22:9.1:t1,Terminal,,,False,N3,3,top,directional,directional_primary,"[401, 558, 414, 582]",,,,,,,,,,407,576,,,,9.1:t1,t1,"{""point_mode"": ""one_terminal_axis_center"", ""anchor_offset_ratio"": 0.5}",two_terminal_side_peak,,,407.33,576.12
,,,,,,5,Connector,component:22:5.1,,,,,22,pin1,5.1:pin1,,vertical,,,,,,,5.1,,False,5.1:pin1,ok,0.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:22:5.1:pin1,Terminal,,,False,N2,2,left,directional,directional_primary,"[459, 147, 483, 160]",,,,,,,,,,477,153,,,,5.1:pin1,pin1,"{""point_mode"": ""bbox_side_anchor_ratio"", ""anchor_offset_ratio"": 0.1107}",bbox_side_center,,,477.04,153.02
,,,,,,5,Connector,component:22:5.1,,,,,22,pin2,5.1:pin2,,vertical,,,,,,,5.1,,False,5.1:pin2,ok,0.0,matched_preferred,[],N4,,4,False,,,,,,,,,,terminal:22:5.1:pin2,Terminal,,,False,N4,4,right,directional,directional_primary,"[581, 277, 605, 290]",,,,,,,,,,586,283,,,,5.1:pin2,pin2,"{""point_mode"": ""bbox_side_anchor_ratio"", ""anchor_offset_ratio"": 0.3676}",bbox_side_center,,,585.86,283.06
,,,,,,5,Connector,component:22:5.1,,,,,22,pin3,5.1:pin3,,vertical,,,,,,,5.1,,False,5.1:pin3,ok,0.0,matched_preferred,[],N5,,5,False,,,,,,,,,,terminal:22:5.1:pin3,Terminal,,,False,N5,5,right,directional,directional_primary,"[581, 407, 605, 420]",,,,,,,,,,586,413,,,,5.1:pin3,pin3,"{""point_mode"": ""bbox_side_anchor_ratio"", ""anchor_offset_ratio"": 0.6245}",bbox_side_center,,,585.86,413.1
,,,,,,5,Connector,component:22:5.1,,,,,22,pin4,5.1:pin4,,vertical,,,,,,,5.1,,False,5.1:pin4,ok,0.0,matched_preferred,[],N3,,3,False,,,,,,,,,,terminal:22:5.1:pin4,Terminal,,,False,N3,3,left,directional,directional_primary,"[459, 537, 483, 550]",,,,,,,,,,477,543,,,,5.1:pin4,pin4,"{""point_mode"": ""bbox_side_anchor_ratio"", ""anchor_offset_ratio"": 0.8814}",bbox_side_center,,,477.04,543.14
,,,,,,28,Transformer,component:22:28.1,,,,,22,t1,28.1:t1,,horizontal,,,,,,,28.1,,False,28.1:t1,ok,3.0,matched_preferred,[],N4,,4,False,,,,,,,,,,terminal:22:28.1:t1,Terminal,,,False,N4,4,left,directional,directional_primary,"[655, 274, 679, 287]",,,,,,,,,,673,283,,,,28.1:t1,t1,"{""point_mode"": ""strategy_absolute_point"", ""point_source"": ""term_def.point""}",strategy_absolute_point,,,673.0,280.0
,,,,,,28,Transformer,component:22:28.1,,,,,22,t2,28.1:t2,,horizontal,,,,,,,28.1,,False,28.1:t2,ok,2.0,matched_preferred,[],N7,,7,False,,,,,,,,,,terminal:22:28.1:t2,Terminal,,,False,N7,7,right,directional,directional_primary,"[814, 275, 838, 288]",,,,,,,,,,819,283,,,,28.1:t2,t2,"{""point_mode"": ""strategy_absolute_point"", ""point_source"": ""term_def.point""}",strategy_absolute_point,,,819.0,281.0
,,,,,,4,Capacitor,component:22:4.1,,,,,22,t1,4.1:t1,,horizontal,,,,,,,4.1,,False,4.1:t1,ok,2.0,matched_preferred,[],N5,,5,False,,,,,,,,,,terminal:22:4.1:t1,Terminal,,,False,N5,5,left,directional,directional_primary,"[725, 409, 749, 422]",,,,,,,,,,743,413,,,,4.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,742.67,414.71
,,,,,,4,Capacitor,component:22:4.1,,,,,22,t2,4.1:t2,,horizontal,,,,,,,4.1,,False,4.1:t2,ok,2.0,matched_preferred,[],N6,,6,False,,,,,,,,,,terminal:22:4.1:t2,Terminal,,,False,N6,6,right,directional,directional_primary,"[807, 409, 831, 422]",,,,,,,,,,812,413,,,,4.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,811.68,414.71
,,,,,,22,Resistor,component:22:22.1,,,,,22,t1,22.1:t1,,vertical,,,,,,,22.1,,False,22.1:t1,ok,1.0,matched_preferred,[],N6,,6,False,,,,,,,,,,terminal:22:22.1:t1,Terminal,,,False,N6,6,top,directional,directional_primary,"[856, 503, 869, 527]",,,,,,,,,,861,521,,,,22.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,861.8,521.48
,,,,,,22,Resistor,component:22:22.1,,,,,22,t2,22.1:t2,,vertical,,,,,,,22.1,,False,22.1:t2,ok,1.0,matched_preferred,[],N8,,8,False,,,,,,,,,,terminal:22:22.1:t2,Terminal,,,False,N8,8,bottom,directional,directional_primary,"[856, 692, 869, 716]",,,,,,,,,,861,697,,,,22.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,861.8,697.46
,,,,,,9,GND,component:22:9.2,,,,,22,t1,9.2:t1,top,up,,,,,,,9.2,,False,9.2:t1,ok,1.0,matched_preferred,[],N8,,8,False,,,,,,,,,,terminal:22:9.2:t1,Terminal,,,False,N8,8,top,directional,directional_primary,"[857, 815, 870, 839]",,,,,,,,,,862,833,,,,9.2:t1,t1,"{""point_mode"": ""one_terminal_axis_center"", ""anchor_offset_ratio"": 0.5}",two_terminal_side_peak,,,862.68,833.35
,,,,,,0,Analog_Meter,component:22:0.1,,,,,22,t1,0.1:t1,,,,,,,,,0.1,,False,0.1:t1,ok,47.202,matched_single,"[""no_preferred_net_from_05"", ""matched_without_preferred_label"", ""used_fallback_search""]",N7,,7,False,,,,,,,,,,terminal:22:0.1:t1,Terminal,,,False,,,left,circle,circle_fallback,"[802, 172, 947, 317]",,,,,,,,,,846,282,,,,0.1:t1,t1,"{""point_mode"": ""strategy_absolute_point"", ""point_source"": ""term_def.point""}",strategy_absolute_point,,,874.0,244.0
,,,,,,0,Analog_Meter,component:22:0.1,,,,,22,t2,0.1:t2,,,,,,,,,0.1,,False,0.1:t2,ok,0.0,matched_preferred,[],N9,,9,False,,,,,,,,,,terminal:22:0.1:t2,Terminal,,,False,N9,9,bottom,directional,directional_primary,"[1004, 275, 1033, 332]",,,,,,,,,,1018,283,,,,0.1:t2,t2,"{""point_mode"": ""strategy_absolute_point"", ""point_source"": ""term_def.point""}",strategy_absolute_point,,,1018.0,283.0
,,,,,,9,GND,component:22:9.3,,,,,22,t1,9.3:t1,top,up,,,,,,,9.3,,False,9.3:t1,ok,0.0,matched_preferred,[],N9,,9,False,,,,,,,,,,terminal:22:9.3:t1,Terminal,,,False,N9,9,top,directional,directional_primary,"[1012, 388, 1025, 412]",,,,,,,,,,1018,406,,,,9.3:t1,t1,"{""point_mode"": ""one_terminal_axis_center"", ""anchor_offset_ratio"": 0.5}",two_terminal_side_peak,,,1018.19,406.09
18,191,153,155,,,,,,,"[""negative""]","[""2.1:negative""]","[""2.1:t1""]",22,,,,,,,,,,,,False,,N1,,,,,,,,,[7],,1,,,,,N1,1,net:22:N1,Net,174,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
240,482,145,155,,,,,,,"[""positive""]","[""2.1:positive"", ""5.1:pin1""]","[""2.1:t2"", ""5.1:pin1""]",22,,,,,,,,,,,,False,,N2,,,,,,,,,[6],,2,,,,,N2,2,net:22:N2,Net,251,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
407,482,524,590,,,,,,,[],"[""5.1:pin4"", ""9.1:t1""]","[""5.1:pin4"", ""9.1:t1""]",22,,,,,,,,,,,,False,,N3,,,,,,,,,[15],,2,,,,,N3,3,net:22:N3,Net,141,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
581,679,281,283,,,,,,,[],"[""28.1:t1"", ""5.1:pin2""]","[""28.1:t1"", ""5.1:pin2""]",22,,,,,,,,,,,,False,,N4,,,,,,,,,[10],,2,,,,,N4,4,net:22:N4,Net,99,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
581,760,413,415,,,,,,,[],"[""4.1:t1"", ""5.1:pin3""]","[""4.1:t1"", ""5.1:pin3""]",22,,,,,,,,,,,,False,,N5,,,,,,,,,[13],,2,,,,,N5,5,net:22:N5,Net,180,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
796,862,413,535,,,,,,,[],"[""22.1:t1"", ""4.1:t2""]","[""22.1:t1"", ""4.1:t2""]",22,,,,,,,,,,,,False,,N6,,,,,,,,,[14],,2,,,,,N6,6,net:22:N6,Net,187,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
815,846,282,283,,,,,,,[],"[""28.1:t2""]","[""28.1:t2""]",22,,,,,,,,,,,,False,,N7,,,,,,,,,[11],,1,,,,,N7,7,net:22:N7,Net,32,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
