class_name,component_class_name,diagram_id,display_name,display_terminal_id,edge_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_implicit_reason,net_index,net_is_implicit_supply,relation_type,relative_position,semantic_terminal_name,snap_point,source,target,terminal_id,terminal_name
Battery,,1,,,edge:1:diagram_to_component:2.1,,2.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:2.1,,
Fuse,,1,,,edge:1:diagram_to_component:8.1,,8.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:8.1,,
Switch,,1,,,edge:1:diagram_to_component:25.1,,25.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:25.1,,
Variable_Resistor,,1,,,edge:1:diagram_to_component:30.1,,30.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:30.1,,
GND,,1,,,edge:1:diagram_to_component:9.1,,9.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:9.1,,
Capacitor,,1,,,edge:1:diagram_to_component:4.1,,4.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:4.1,,
LED,,1,,,edge:1:diagram_to_component:12.1,,12.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:12.1,,
GND,,1,,,edge:1:diagram_to_component:9.2,,9.2,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:9.2,,
Diode,,1,,,edge:1:diagram_to_component:7.1,,7.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:7.1,,
Inductor,,1,,,edge:1:diagram_to_component:10.1,,10.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:10.1,,
Resistor,,1,,,edge:1:diagram_to_component:22.1,,22.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:22.1,,
Lamp,,1,,,edge:1:diagram_to_component:13.1,,13.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:13.1,,
Analog_Meter,,1,,,edge:1:diagram_to_component:0.1,,0.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:1,component:1:0.1,,
,,1,,,edge:1:diagram_to_net:N1,,,False,,,,,,N1,,1,,HAS_NET,,,,diagram:1,net:1:N1,,
,,1,,,edge:1:diagram_to_net:N2,,,False,,,,,,N2,,2,,HAS_NET,,,,diagram:1,net:1:N2,,
,,1,,,edge:1:diagram_to_net:N3,,,False,,,,,,N3,,3,,HAS_NET,,,,diagram:1,net:1:N3,,
,,1,,,edge:1:diagram_to_net:N4,,,False,,,,,,N4,,4,,HAS_NET,,,,diagram:1,net:1:N4,,
,,1,,,edge:1:diagram_to_net:N5,,,False,,,,,,N5,,5,,HAS_NET,,,,diagram:1,net:1:N5,,
,,1,,,edge:1:diagram_to_net:N6,,,False,,,,,,N6,,6,,HAS_NET,,,,diagram:1,net:1:N6,,
,,1,,,edge:1:diagram_to_net:N7,,,False,,,,,,N7,,7,,HAS_NET,,,,diagram:1,net:1:N7,,
,,1,,,edge:1:diagram_to_net:N8,,,False,,,,,,N8,,8,,HAS_NET,,,,diagram:1,net:1:N8,,
,,1,,,edge:1:diagram_to_net:N9,,,False,,,,,,N9,,9,,HAS_NET,,,,diagram:1,net:1:N9,,
,,1,,,edge:1:diagram_to_net:N10,,,False,,,,,,N10,,10,,HAS_NET,,,,diagram:1,net:1:N10,,
,,1,positive,2.1:positive,edge:1:component:2.1:terminal:2.1:t1,,2.1,,,,,,,,,,,HAS_TERMINAL,top,positive,,component:1:2.1,terminal:1:2.1:t1,2.1:t1,t1
,,1,negative,2.1:negative,edge:1:component:2.1:terminal:2.1:t2,,2.1,,,,,,,,,,,HAS_TERMINAL,bottom,negative,,component:1:2.1,terminal:1:2.1:t2,2.1:t2,t2
,,1,t1,8.1:t1,edge:1:component:8.1:terminal:8.1:t1,,8.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:1:8.1,terminal:1:8.1:t1,8.1:t1,t1
,,1,t2,8.1:t2,edge:1:component:8.1:terminal:8.1:t2,,8.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:1:8.1,terminal:1:8.1:t2,8.1:t2,t2
,,1,t1,25.1:t1,edge:1:component:25.1:terminal:25.1:t1,,25.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:1:25.1,terminal:1:25.1:t1,25.1:t1,t1
,,1,t2,25.1:t2,edge:1:component:25.1:terminal:25.1:t2,,25.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:1:25.1,terminal:1:25.1:t2,25.1:t2,t2
,,1,t1,30.1:t1,edge:1:component:30.1:terminal:30.1:t1,,30.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:1:30.1,terminal:1:30.1:t1,30.1:t1,t1
