diagram_id,n_component_nodes,n_connected_to_edges,n_diagram_nodes,n_edges_total,n_has_component_edges,n_has_net_edges,n_has_terminal_edges,n_implicit_supply_nets,n_implicit_supply_terminal_matches,n_net_nodes,n_nodes_total,n_suspicious_terminal_matches,n_terminal_nodes,n_terminals_matched,n_terminals_unmatched,terminal_connection_status_counts,terminal_match_confidence_counts,terminal_match_status_counts
1,13,24,1,71,13,10,24,0,0,10,48,0,24,24,0,"{""matched_preferred"": 22, ""matched_single"": 2}","{""ok"": 24, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 22, ""matched_single"": 2}"
10,15,36,1,98,15,11,36,0,0,11,63,0,36,36,0,"{""matched_preferred"": 36}","{""ok"": 36, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 36}"
11,14,25,1,74,14,10,25,0,0,10,50,0,25,25,0,"{""matched_preferred"": 22, ""matched_single"": 3}","{""ok"": 25, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 22, ""matched_single"": 3}"
12,9,16,1,49,9,8,16,0,0,8,34,0,16,16,0,"{""matched_preferred"": 16}","{""ok"": 16, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 16}"
13,18,35,1,102,18,14,35,0,0,14,68,0,35,35,0,"{""matched_preferred"": 33, ""matched_single"": 2}","{""ok"": 35, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 33, ""matched_single"": 2}"
14,16,32,1,89,16,9,32,0,0,9,58,0,32,32,0,"{""matched_preferred"": 30, ""matched_single"": 2}","{""ok"": 32, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 30, ""matched_single"": 2}"
2,20,34,1,101,20,13,34,0,0,13,68,0,34,34,0,"{""matched_preferred"": 34}","{""ok"": 34, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 34}"
3,12,23,1,69,12,11,23,0,0,11,47,0,23,23,0,"{""matched_preferred"": 22, ""matched_nearest"": 1}","{""ok"": 23, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 22, ""matched_nearest"": 1}"
4,13,25,1,73,13,10,25,0,0,10,49,0,25,25,0,"{""matched_preferred"": 23, ""matched_single"": 2}","{""ok"": 25, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 23, ""matched_single"": 2}"
5,12,23,1,67,12,9,23,0,0,9,45,0,23,23,0,"{""matched_preferred"": 22, ""matched_nearest"": 1}","{""ok"": 23, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 22, ""matched_nearest"": 1}"
6,12,24,1,71,12,11,24,0,0,11,48,0,24,24,0,"{""matched_preferred"": 24}","{""ok"": 24, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 24}"
7,15,30,1,91,15,13,33,0,0,13,62,3,33,30,3,"{""matched_preferred"": 29, ""unmatched"": 3, ""matched_single"": 1}","{""ok"": 30, ""unmatched"": 3, ""none"": 0}","{""matched_preferred"": 29, ""unmatched"": 3, ""matched_single"": 1}"
8,9,15,1,45,9,6,15,0,0,6,31,0,15,15,0,"{""matched_preferred"": 15}","{""ok"": 15, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 15}"
9,9,20,1,58,9,9,20,0,0,9,39,0,20,20,0,"{""matched_preferred"": 20}","{""ok"": 20, ""unmatched"": 0, ""none"": 0}","{""matched_preferred"": 20}"
