class_name,component_class_name,diagram_id,display_name,display_terminal_id,edge_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_implicit_reason,net_index,net_is_implicit_supply,relation_type,relative_position,semantic_terminal_name,snap_point,source,target,terminal_id,terminal_name
Battery,,3,,,edge:3:diagram_to_component:2.1,,2.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:2.1,,
Fuse,,3,,,edge:3:diagram_to_component:8.1,,8.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:8.1,,
Variable_Resistor,,3,,,edge:3:diagram_to_component:30.1,,30.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:30.1,,
LED,,3,,,edge:3:diagram_to_component:12.1,,12.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:12.1,,
Switch,,3,,,edge:3:diagram_to_component:25.1,,25.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:25.1,,
Diode,,3,,,edge:3:diagram_to_component:7.1,,7.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:7.1,,
Trim_Capacitor,,3,,,edge:3:diagram_to_component:29.1,,29.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:29.1,,
Signal_Source,,3,,,edge:3:diagram_to_component:23.1,,23.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:23.1,,
Analog_Meter,,3,,,edge:3:diagram_to_component:0.1,,0.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:0.1,,
Variable_Resistor,,3,,,edge:3:diagram_to_component:30.2,,30.2,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:30.2,,
GND,,3,,,edge:3:diagram_to_component:9.1,,9.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:9.1,,
Lamp,,3,,,edge:3:diagram_to_component:13.1,,13.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:3,component:3:13.1,,
,,3,,,edge:3:diagram_to_net:N1,,,False,,,,,,N1,,1,,HAS_NET,,,,diagram:3,net:3:N1,,
,,3,,,edge:3:diagram_to_net:N2,,,False,,,,,,N2,,2,,HAS_NET,,,,diagram:3,net:3:N2,,
,,3,,,edge:3:diagram_to_net:N3,,,False,,,,,,N3,,3,,HAS_NET,,,,diagram:3,net:3:N3,,
,,3,,,edge:3:diagram_to_net:N4,,,False,,,,,,N4,,4,,HAS_NET,,,,diagram:3,net:3:N4,,
,,3,,,edge:3:diagram_to_net:N5,,,False,,,,,,N5,,5,,HAS_NET,,,,diagram:3,net:3:N5,,
,,3,,,edge:3:diagram_to_net:N6,,,False,,,,,,N6,,6,,HAS_NET,,,,diagram:3,net:3:N6,,
,,3,,,edge:3:diagram_to_net:N7,,,False,,,,,,N7,,7,,HAS_NET,,,,diagram:3,net:3:N7,,
,,3,,,edge:3:diagram_to_net:N8,,,False,,,,,,N8,,8,,HAS_NET,,,,diagram:3,net:3:N8,,
