bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_semantic_terminal_names,connected_terminal_display_ids,connected_terminal_ids,diagram_id,display_name,display_terminal_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,implicit_anchor_terminal_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_implicit_reason,matched_net_index,matched_net_is_implicit_supply,merged_source_labels,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_from_05_implicit_reason,preferred_from_05_is_implicit_supply,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,semantic_confidence,semantic_direction,semantic_evidence_type,semantic_polarity,semantic_resolution_mode,semantic_role_family,semantic_slot,semantic_terminal_id,semantic_terminal_name,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,,,4,,,,,1024,4.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v9_2_set_successivo_analog_meter_connector_transformer\4.jpg,1024,,,,,,4,,,,,,,,,,13,,25,10,,25,,,diagram:4,Diagram,,,,,,,,,,,,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
95.11,145.48,155.22,413.55,2,Battery,,,,0.9077,,,,4,,,,vertical,,,,,,,2.1,,,2.1,,,,,,,,,,,,,,2,,,,component:4:2.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
206.75,279.97,75.76,169.55,8,Fuse,,,,0.9072,,,,4,,,,horizontal,,,,,,,8.1,,,8.1,,,,,,,,,,,,,,2,,,,component:4:8.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
329.9,369.84,220.94,353.62,29,Trim_Capacitor,,,,0.9153,,,,4,,,,vertical,,,,,,,29.1,,,29.1,,,,,,,,,,,,,,2,,,,component:4:29.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
325.0,422.0,537.0,662.0,12,LED,,,,0.8613,,,,4,,,,vertical,,,,,,,12.1,,,12.1,,,,,,,,,,,,,,2,,,,component:4:12.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
392.18,450.68,51.46,192.72,23,Signal_Source,,,,0.9259,,,,4,,,,horizontal,,,,,,,23.1,,,23.1,,,,,,,,,,,,,,2,,,,component:4:23.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
510.94,569.87,199.98,371.31,30,Variable_Resistor,,,,0.9087,,,,4,,,,vertical,,,,,,,30.1,,,30.1,,,,,,,,,,,,,,2,,,,component:4:30.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
521.39,584.06,515.59,689.3,30,Variable_Resistor,,,,0.9213,,,,4,,,,vertical,,,,,,,30.2,,,30.2,,,,,,,,,,,,,,2,,,,component:4:30.2,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
558.37,640.48,52.82,158.35,25,Switch,,,,0.8656,,,,4,,,,horizontal,,,,,,,25.1,,,25.1,,,,,,,,,,,,,,2,,,,component:4:25.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
761.93,815.32,838.76,924.23,7,Diode,,,,0.8949,,,,4,,,,horizontal,,,,,,,7.1,,,7.1,,,,,,,,,,,,,,2,,,,component:4:7.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
837.96,881.39,121.04,218.13,26,Terminal,,,,0.7658,,,,4,,,,vertical,,,,,,,26.1,,,26.1,,,,,,,,,,,,,,2,,,,component:4:26.1,Component,,,,,,,,,,,,,,,,,,,,,,,variable_terminal,,,,,True,True,,
832.12,888.84,310.3,453.16,13,Lamp,,,,0.9689,,,,4,,,,vertical,,,,,,,13.1,,,13.1,,,,,,,,,,,,,,2,,,,component:4:13.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
854.04,940.48,530.86,741.28,0,Analog_Meter,,,,0.9868,,,,4,,,,vertical,,,,,,,0.1,,,0.1,,,,,,,,,,,,,,2,,,,component:4:0.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
964.33,997.41,916.71,975.93,9,GND,,,,0.7953,,,,4,,,top,up,,,,,,,9.1,,,9.1,,,,,,,,,,,,,,1,,,,component:4:9.1,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
,,,,,,2,Battery,component:4:2.1,,,,,4,positive,2.1:positive,,vertical,,,,,,,2.1,,False,2.1:positive,ok,1.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:4:2.1:t1,Terminal,,,False,N1,1,top,directional,directional_primary,"[114, 133, 127, 157]",0.2,,orientation_fallback,positive,battery_positive_from_long_plate,polarity,marker_side,2.1:positive,positive,119,151,,,,2.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,120.29,151.22
,,,,,,2,Battery,component:4:2.1,,,,,4,negative,2.1:negative,,vertical,,,,,,,2.1,,False,2.1:negative,ok,1.0,matched_preferred,[],N4,,4,False,,,,,,,,,,terminal:4:2.1:t2,Terminal,,,False,N4,4,bottom,directional,directional_primary,"[114, 413, 127, 437]",0.2,,orientation_fallback,negative,battery_positive_from_long_plate,polarity,other_side,2.1:negative,negative,119,418,,,,2.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,120.29,417.55
,,,,,,8,Fuse,component:4:8.1,,,,,4,t1,8.1:t1,,horizontal,,,,,,,8.1,,False,8.1:t1,ok,2.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:4:8.1:t1,Terminal,,,False,N1,1,left,directional,directional_primary,"[185, 117, 209, 130]",,,,,,,,,,203,121,,,,8.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,202.75,122.66
,,,,,,8,Fuse,component:4:8.1,,,,,4,t2,8.1:t2,,horizontal,,,,,,,8.1,,False,8.1:t2,ok,2.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:4:8.1:t2,Terminal,,,False,N2,2,right,directional,directional_primary,"[279, 117, 303, 130]",,,,,,,,,,284,121,,,,8.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5001}",bbox_side_center,,,283.97,122.66
,,,,,,29,Trim_Capacitor,component:4:29.1,,,,,4,t1,29.1:t1,,vertical,,,,,,,29.1,,False,29.1:t1,ok,3.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:4:29.1:t1,Terminal,,,False,N2,2,top,directional,directional_primary,"[344, 199, 357, 223]",,,,,,,,,,347,217,,,,29.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,349.87,216.94
,,,,,,29,Trim_Capacitor,component:4:29.1,,,,,4,t2,29.1:t2,,vertical,,,,,,,29.1,,False,29.1:t2,ok,3.0,matched_preferred,[],N3,,3,False,,,,,,,,,,terminal:4:29.1:t2,Terminal,,,False,N3,3,bottom,directional,directional_primary,"[344, 353, 357, 377]",,,,,,,,,,347,358,,,,29.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,349.87,357.62
,,,,,,12,LED,component:4:12.1,,,,,4,anode,12.1:anode,,vertical,,,,,,,12.1,,False,12.1:anode,ok,0.0,matched_preferred,[],N3,,3,False,,,,,,,,,,terminal:4:12.1:t1,Terminal,,,False,N3,3,top,directional,directional_primary,"[341, 515, 354, 539]",0.5187,,symbol_heuristic,anode,diode_cathode_from_bar,polarity,other_side,12.1:anode,anode,347,533,,,,12.1:t1,t1,"{""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 333, ""scan_end"": 414, ""scan_margin"": 8, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 347, ""anchor_offset_ratio"": 0.2268, ""max_score"": 42, ""keep_threshold"": 36, ""selected_run_start"": 9, ""selected_run_end"": 19, ""selected_run_length"": 11, ""selected_run_score"": 42}",two_terminal_side_peak,,,347.0,533.0
,,,,,,12,LED,component:4:12.1,,,,,4,cathode,12.1:cathode,,vertical,,,,,,,12.1,,False,12.1:cathode,ok,0.0,matched_preferred,[],N4,,4,False,,,,,,,,,,terminal:4:12.1:t2,Terminal,,,False,N4,4,bottom,directional,directional_primary,"[341, 661, 354, 685]",0.5187,,symbol_heuristic,cathode,diode_cathode_from_bar,polarity,marker_side,12.1:cathode,cathode,347,666,,,,12.1:t2,t2,"{""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""bottom"", ""scan_start"": 333, ""scan_end"": 414, ""scan_margin"": 8, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 347, ""anchor_offset_ratio"": 0.2268, ""max_score"": 42, ""keep_threshold"": 36, ""selected_run_start"": 9, ""selected_run_end"": 19, ""selected_run_length"": 11, ""selected_run_score"": 42}",two_terminal_side_peak,,,347.0,666.0
,,,,,,23,Signal_Source,component:4:23.1,,,,,4,t1,23.1:t1,,horizontal,,,,,,,23.1,,False,23.1:t1,ok,1.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:4:23.1:t1,Terminal,,,False,N2,2,left,directional,directional_primary,"[370, 116, 394, 129]",,,,,,,,,,388,121,,,,23.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,388.18,122.09
,,,,,,23,Signal_Source,component:4:23.1,,,,,4,t2,23.1:t2,,horizontal,,,,,,,23.1,,False,23.1:t2,ok,1.0,matched_preferred,[],N5,,5,False,,,,,,,,,,terminal:4:23.1:t2,Terminal,,,False,N5,5,right,directional,directional_primary,"[450, 116, 474, 129]",,,,,,,,,,455,121,,,,23.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,454.68,122.09
,,,,,,30,Variable_Resistor,component:4:30.1,,,,,4,t1,30.1:t1,,vertical,,,,,,,30.1,,False,30.1:t1,ok,0.0,matched_preferred,[],N5,,5,False,,,,,,,,,,terminal:4:30.1:t1,Terminal,,,False,N5,5,top,directional,directional_primary,"[533, 178, 546, 202]",,,,,,,,,,539,196,,,,30.1:t1,t1,"{""point_mode"": ""side_peak_outside"", ""scan_axis"": ""x"", ""relative_position"": ""top"", ""scan_start"": 516, ""scan_end"": 565, ""scan_margin"": 5, ""probe_halfspan"": 6, ""probe_out_len"": 12, ""probe_inset"": 1, ""peak_coord"": 539, ""anchor_offset_ratio"": 0.4746, ""max_score"": 42, ""keep_threshold"": 36, ""selected_run_start"": 18, ""selected_run_end"": 28, ""selected_run_length"": 11, ""selected_run_score"": 42}",two_terminal_side_peak,,,539.0,196.0
