epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2204,2.09269,4.58119,1.66752,0.45324,0.16552,0.13884,0.0795,1.54265,2.51578,1.34615,9.18242e-05,9.18242e-05,9.18242e-05
2,54.7237,1.62474,2.47771,1.31617,0.68615,0.32763,0.33042,0.19916,1.42665,1.47226,1.25525,0.000182664,0.000182664,0.000182664
3,77.9177,1.52549,1.90532,1.26204,0.70075,0.43601,0.44332,0.26458,1.43584,1.27801,1.27316,0.00027167,0.00027167,0.00027167
4,101.433,1.4836,1.58051,1.24236,0.75412,0.50796,0.55629,0.34771,1.39475,1.08508,1.26237,0.000269743,0.000269743,0.000269743
5,125.113,1.46303,1.35408,1.25573,0.78138,0.55135,0.63698,0.41358,1.39491,0.97966,1.27174,0.000266991,0.000266991,0.000266991
6,148.425,1.43672,1.22106,1.22844,0.80804,0.60434,0.68877,0.44238,1.36185,0.92904,1.26587,0.000264239,0.000264239,0.000264239
7,171.876,1.42154,1.13019,1.21789,0.78891,0.65747,0.72957,0.48124,1.33016,0.86845,1.23914,0.000261487,0.000261487,0.000261487
8,195.328,1.38615,1.08004,1.21733,0.80715,0.72518,0.7626,0.49524,1.34871,0.82424,1.24447,0.000258735,0.000258735,0.000258735
9,218.787,1.38371,1.03201,1.21081,0.84256,0.66586,0.75894,0.50081,1.34169,0.81985,1.2485,0.000255982,0.000255982,0.000255982
10,242.162,1.37488,0.97675,1.1985,0.82324,0.73654,0.80636,0.53662,1.32293,0.78081,1.22978,0.00025323,0.00025323,0.00025323
11,265.565,1.36329,0.94559,1.19023,0.86026,0.71976,0.81869,0.55033,1.31505,0.75048,1.22073,0.000250478,0.000250478,0.000250478
12,289.186,1.34629,0.88266,1.17803,0.85207,0.74684,0.80656,0.54239,1.31432,0.748,1.23407,0.000247726,0.000247726,0.000247726
13,312.429,1.36433,0.9134,1.21105,0.83778,0.76177,0.82893,0.5605,1.30533,0.73229,1.23034,0.000244974,0.000244974,0.000244974
