epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7349,2.12979,4.64046,1.69494,0.5348,0.16293,0.15135,0.08192,1.55793,2.47099,1.36584,9.18242e-05,9.18242e-05,9.18242e-05
2,71.3066,1.61911,2.45598,1.31954,0.59396,0.34823,0.33564,0.19924,1.43912,1.48707,1.27142,0.000182664,0.000182664,0.000182664
3,101.247,1.54369,1.88888,1.27105,0.68834,0.40685,0.43764,0.25155,1.43963,1.30418,1.2716,0.00027167,0.00027167,0.00027167
4,130.616,1.48163,1.55123,1.24883,0.71115,0.5279,0.56841,0.35289,1.3987,1.06081,1.28306,0.000269743,0.000269743,0.000269743
5,160.061,1.47412,1.32737,1.26871,0.78241,0.50023,0.58111,0.35691,1.41423,1.06591,1.2857,0.000266991,0.000266991,0.000266991
6,188.895,1.43774,1.22898,1.24096,0.76339,0.58025,0.64252,0.40824,1.36032,0.96103,1.26476,0.000264239,0.000264239,0.000264239
7,218.4,1.42796,1.14428,1.23305,0.78619,0.63097,0.70308,0.44532,1.35202,0.86586,1.25599,0.000261487,0.000261487,0.000261487
8,247.746,1.39049,1.07831,1.23028,0.75737,0.66911,0.72881,0.46537,1.36057,0.84791,1.26568,0.000258735,0.000258735,0.000258735
9,276.9,1.39874,1.03672,1.23167,0.7679,0.6533,0.78881,0.51691,1.35312,0.80454,1.27141,0.000255982,0.000255982,0.000255982
10,306.929,1.38117,0.96447,1.2198,0.83718,0.67518,0.79504,0.53209,1.32003,0.77417,1.24784,0.00025323,0.00025323,0.00025323
11,336.917,1.37139,0.92796,1.20766,0.82432,0.70935,0.79939,0.53094,1.32456,0.74837,1.23513,0.000250478,0.000250478,0.000250478
12,365.395,1.35608,0.88869,1.19995,0.78502,0.78494,0.80497,0.53883,1.31198,0.74154,1.23363,0.000247726,0.000247726,0.000247726
13,396.443,1.36975,0.90331,1.22473,0.83637,0.74143,0.82755,0.56117,1.30189,0.71306,1.23168,0.000244974,0.000244974,0.000244974
14,427.046,1.34636,0.85274,1.20763,0.79942,0.75868,0.81035,0.54732,1.32251,0.69943,1.23718,0.000242221,0.000242221,0.000242221
15,456.133,1.32382,0.81662,1.20311,0.83033,0.79686,0.83189,0.55826,1.32607,0.71509,1.2583,0.000239469,0.000239469,0.000239469
