epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7127,1.93933,3.79713,1.56036,0.66324,0.28576,0.29457,0.17115,1.50746,1.58072,1.28935,9.22455e-05,9.22455e-05,9.22455e-05
2,113.254,1.54308,1.82223,1.28136,0.67732,0.52513,0.5533,0.32389,1.50713,1.12219,1.29574,0.000183081,0.000183081,0.000183081
3,169.991,1.47087,1.33224,1.24879,0.78554,0.6179,0.65645,0.4193,1.41654,0.931,1.27573,0.000272083,0.000272083,0.000272083
4,227.069,1.43612,1.12755,1.24063,0.86864,0.62291,0.72907,0.47575,1.37934,0.85576,1.2637,0.000269743,0.000269743,0.000269743
5,283.102,1.43276,1.03048,1.24563,0.78969,0.66003,0.75252,0.4992,1.33898,0.81722,1.23902,0.000266991,0.000266991,0.000266991
6,340.009,1.39604,0.94988,1.2193,0.85594,0.71641,0.79148,0.52787,1.3348,0.75773,1.25454,0.000264239,0.000264239,0.000264239
7,397.055,1.36915,0.89577,1.21475,0.88179,0.76573,0.82978,0.55611,1.32623,0.7057,1.24752,0.000261487,0.000261487,0.000261487
8,452.922,1.3545,0.84737,1.20674,0.87736,0.77468,0.81988,0.54232,1.35991,0.71236,1.24912,0.000258735,0.000258735,0.000258735
9,508.977,1.33654,0.81804,1.20702,0.84666,0.79766,0.81849,0.54506,1.31895,0.6944,1.24268,0.000255982,0.000255982,0.000255982
10,563.063,1.33431,0.79245,1.21079,0.8601,0.80536,0.85667,0.57741,1.31974,0.66993,1.26202,0.00025323,0.00025323,0.00025323
11,620.462,1.3277,0.76165,1.19569,0.87484,0.80813,0.85824,0.58361,1.3376,0.67513,1.26216,0.000250478,0.000250478,0.000250478
12,676.047,1.30555,0.73678,1.18848,0.83316,0.83604,0.8502,0.5928,1.30665,0.6578,1.23882,0.000247726,0.000247726,0.000247726
13,733.16,1.29325,0.72704,1.17234,0.88356,0.80436,0.87344,0.60994,1.30812,0.63474,1.23727,0.000244974,0.000244974,0.000244974
