epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2657,2.13728,4.29788,1.7979,0.52288,0.21724,0.18246,0.10001,1.57977,2.03236,1.33066,9.22455e-05,9.22455e-05,9.22455e-05
2,118.383,1.62311,2.33555,1.40363,0.68623,0.3642,0.3962,0.22959,1.49199,1.42724,1.30455,0.000183081,0.000183081,0.000183081
3,175.212,1.51715,1.74158,1.3532,0.6985,0.40275,0.44293,0.26232,1.44155,1.21627,1.32124,0.000272083,0.000272083,0.000272083
4,234.325,1.474,1.54261,1.33633,0.67237,0.58274,0.56191,0.35023,1.38468,1.0153,1.27034,0.000269743,0.000269743,0.000269743
5,292.902,1.46408,1.36877,1.33234,0.74241,0.5682,0.63123,0.39467,1.38073,0.97179,1.29406,0.000266991,0.000266991,0.000266991
6,349.968,1.42059,1.26636,1.3137,0.79472,0.58696,0.70372,0.46051,1.37344,0.87057,1.2777,0.000264239,0.000264239,0.000264239
7,407.454,1.39697,1.14372,1.30401,0.78504,0.64287,0.74002,0.48964,1.36841,0.84372,1.29104,0.000261487,0.000261487,0.000261487
8,465.189,1.36245,1.10987,1.29135,0.77362,0.69253,0.76982,0.51269,1.3596,0.80189,1.27642,0.000258735,0.000258735,0.000258735
9,522.499,1.34253,1.05452,1.28922,0.85557,0.71185,0.77191,0.52142,1.33024,0.79374,1.25682,0.000255982,0.000255982,0.000255982
10,578.022,1.33009,0.9926,1.27276,0.77388,0.74519,0.80586,0.54629,1.34617,0.75078,1.27421,0.00025323,0.00025323,0.00025323
11,634.329,1.32194,0.96688,1.25607,0.82229,0.75092,0.81304,0.54189,1.34619,0.73404,1.2667,0.000250478,0.000250478,0.000250478
12,691.494,1.29711,0.92878,1.26354,0.78372,0.76134,0.81604,0.55471,1.31756,0.7363,1.25012,0.000247726,0.000247726,0.000247726
13,750.003,1.27708,0.91288,1.24226,0.855,0.76785,0.83691,0.55887,1.33094,0.71491,1.25277,0.000244974,0.000244974,0.000244974
14,808.957,1.28584,0.89247,1.24899,0.86089,0.8084,0.87525,0.5852,1.32715,0.68809,1.25587,0.000242221,0.000242221,0.000242221
15,868.433,1.26589,0.86409,1.24709,0.86331,0.79135,0.85027,0.58412,1.30814,0.6697,1.24425,0.000239469,0.000239469,0.000239469
16,925.437,1.27897,0.85589,1.23716,0.86926,0.82779,0.86849,0.5953,1.30948,0.65987,1.25891,0.000236717,0.000236717,0.000236717
17,983.705,1.25141,0.81981,1.23743,0.85238,0.82083,0.86587,0.58884,1.33329,0.6713,1.26615,0.000233965,0.000233965,0.000233965
18,1040.53,1.24389,0.81496,1.22234,0.86237,0.8357,0.87931,0.61347,1.29806,0.65557,1.24131,0.000231213,0.000231213,0.000231213
19,1098.29,1.24317,0.78902,1.21687,0.84326,0.82398,0.86988,0.59794,1.30504,0.64419,1.24444,0.00022846,0.00022846,0.00022846
20,1156.28,1.22743,0.7738,1.21172,0.85168,0.84763,0.8726,0.6088,1.30457,0.63534,1.25169,0.000225708,0.000225708,0.000225708
21,1212,1.23191,0.77797,1.21764,0.89788,0.82008,0.89589,0.61728,1.30623,0.64059,1.257,0.000222956,0.000222956,0.000222956
22,1269.65,1.21939,0.76735,1.20548,0.87305,0.82112,0.88204,0.60373,1.2886,0.63014,1.23953,0.000220204,0.000220204,0.000220204
