epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4825,2.12262,4.23995,1.77168,0.56049,0.24102,0.19505,0.10768,1.54435,1.95063,1.30032,9.22455e-05,9.22455e-05,9.22455e-05
2,134.212,1.61132,2.31433,1.38624,0.7277,0.39302,0.41054,0.24029,1.48076,1.34681,1.28768,0.000183081,0.000183081,0.000183081
3,190.869,1.50701,1.72153,1.33503,0.65812,0.47739,0.53273,0.31664,1.46614,1.12297,1.29877,0.000272083,0.000272083,0.000272083
4,246.687,1.47708,1.47146,1.32732,0.76023,0.55633,0.6205,0.38488,1.40259,1.0009,1.2854,0.000269743,0.000269743,0.000269743
5,303.038,1.44938,1.32874,1.32161,0.75211,0.60387,0.66921,0.42686,1.40541,0.91506,1.25727,0.000266991,0.000266991,0.000266991
6,357.906,1.44852,1.2326,1.31515,0.77004,0.66169,0.71248,0.45555,1.35656,0.88393,1.25351,0.000264239,0.000264239,0.000264239
7,413.702,1.36738,1.15144,1.27997,0.74628,0.6395,0.70803,0.45638,1.3518,0.84733,1.25809,0.000261487,0.000261487,0.000261487
8,469.112,1.35314,1.09984,1.27788,0.76306,0.65795,0.76908,0.50132,1.36473,0.81269,1.25834,0.000258735,0.000258735,0.000258735
9,523.165,1.34433,1.04434,1.27862,0.79733,0.73044,0.80711,0.53716,1.32752,0.75626,1.23609,0.000255982,0.000255982,0.000255982
10,578.264,1.32785,1.00237,1.26581,0.79922,0.75635,0.82704,0.5524,1.32593,0.74114,1.239,0.00025323,0.00025323,0.00025323
11,633.666,1.30636,0.95906,1.24152,0.83343,0.72533,0.79941,0.53666,1.31926,0.74562,1.225,0.000250478,0.000250478,0.000250478
12,686.734,1.295,0.91502,1.24374,0.81869,0.7642,0.82756,0.54455,1.33409,0.74349,1.24433,0.000247726,0.000247726,0.000247726
13,741.102,1.29179,0.90121,1.22677,0.76164,0.77478,0.82447,0.53148,1.34899,0.7187,1.2442,0.000244974,0.000244974,0.000244974
14,794.023,1.27657,0.86589,1.21597,0.76526,0.75604,0.8242,0.55798,1.32684,0.69558,1.23666,0.000242221,0.000242221,0.000242221
