epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4596,1.94475,3.897,1.43528,0.47255,0.23124,0.19476,0.11287,1.53263,1.96861,1.29442,9.21575e-05,9.21575e-05,9.21575e-05
2,100.156,1.5449,1.89369,1.18547,0.7315,0.41433,0.45454,0.26977,1.41835,1.24478,1.28677,0.000182994,0.000182994,0.000182994
3,146.031,1.48188,1.43064,1.17023,0.77269,0.53594,0.60088,0.36843,1.40941,1.07337,1.29123,0.000271997,0.000271997,0.000271997
4,192.616,1.4319,1.18672,1.16262,0.84935,0.57182,0.68291,0.44333,1.35867,0.92646,1.27585,0.000269743,0.000269743,0.000269743
5,239.094,1.40752,1.0818,1.15315,0.83117,0.68199,0.73901,0.47841,1.41947,0.90453,1.32043,0.000266991,0.000266991,0.000266991
6,285.943,1.39586,0.98685,1.15221,0.83407,0.67438,0.7494,0.50201,1.34906,0.79034,1.28079,0.000264239,0.000264239,0.000264239
7,332.874,1.36398,0.91206,1.13577,0.89356,0.68903,0.7785,0.53032,1.32695,0.77682,1.27389,0.000261487,0.000261487,0.000261487
8,379.301,1.34173,0.87172,1.11897,0.79194,0.71982,0.79888,0.53753,1.35251,0.74697,1.27946,0.000258735,0.000258735,0.000258735
9,426.124,1.31877,0.83016,1.10817,0.84723,0.73478,0.79294,0.538,1.31731,0.71079,1.25104,0.000255982,0.000255982,0.000255982
10,472.761,1.32105,0.81537,1.11434,0.83161,0.72337,0.79988,0.5454,1.34072,0.73832,1.26657,0.00025323,0.00025323,0.00025323
11,519.518,1.31403,0.79458,1.11546,0.84304,0.79127,0.83729,0.56163,1.31955,0.72081,1.2633,0.000250478,0.000250478,0.000250478
12,566.657,1.29846,0.76663,1.11599,0.89505,0.74717,0.83073,0.56252,1.30865,0.68224,1.26395,0.000247726,0.000247726,0.000247726
13,613.466,1.28544,0.74042,1.09178,0.84335,0.74433,0.8058,0.55936,1.29535,0.68181,1.25494,0.000244974,0.000244974,0.000244974
14,659.224,1.2869,0.72782,1.10026,0.85845,0.77765,0.82924,0.56048,1.35095,0.67936,1.28393,0.000242221,0.000242221,0.000242221
15,705.07,1.26189,0.71342,1.09236,0.8996,0.74645,0.82726,0.57486,1.31693,0.65689,1.26918,0.000239469,0.000239469,0.000239469
16,751.922,1.2641,0.70139,1.08487,0.89617,0.78266,0.85415,0.59794,1.30378,0.63413,1.27224,0.000236717,0.000236717,0.000236717
17,799.565,1.25943,0.68379,1.08826,0.92005,0.77173,0.85044,0.58649,1.30117,0.62807,1.26719,0.000233965,0.000233965,0.000233965
18,844.849,1.23404,0.66611,1.08435,0.87151,0.77783,0.85406,0.5714,1.36897,0.66806,1.31475,0.000231213,0.000231213,0.000231213
19,890.562,1.23455,0.66094,1.07788,0.87918,0.81632,0.87591,0.60213,1.30229,0.63731,1.26658,0.00022846,0.00022846,0.00022846
20,938.153,1.23926,0.66516,1.07564,0.85205,0.85679,0.88966,0.61265,1.31887,0.60886,1.26578,0.000225708,0.000225708,0.000225708
21,985.204,1.2066,0.63757,1.06401,0.84699,0.85877,0.88192,0.61255,1.31788,0.61918,1.27514,0.000222956,0.000222956,0.000222956
22,1032.05,1.2121,0.63752,1.06562,0.84735,0.8392,0.8846,0.61412,1.32448,0.61113,1.27922,0.000220204,0.000220204,0.000220204
23,1079.47,1.19994,0.61812,1.06692,0.92278,0.81711,0.8891,0.62318,1.30883,0.60888,1.27613,0.000217452,0.000217452,0.000217452
24,1126.35,1.18196,0.61321,1.05364,0.8895,0.78977,0.87506,0.61072,1.30145,0.6028,1.27204,0.000214699,0.000214699,0.000214699
25,1172.37,1.17767,0.60603,1.05504,0.87863,0.81647,0.87962,0.61301,1.31692,0.60551,1.29206,0.000211947,0.000211947,0.000211947
26,1219.05,1.17166,0.60249,1.05281,0.90539,0.83879,0.91492,0.62563,1.3061,0.61276,1.26803,0.000209195,0.000209195,0.000209195
27,1265.65,1.16917,0.6033,1.04735,0.85825,0.86882,0.91244,0.62381,1.33868,0.61209,1.28759,0.000206443,0.000206443,0.000206443
28,1311.27,1.15809,0.59355,1.04646,0.87244,0.84358,0.89085,0.61017,1.31861,0.60597,1.27847,0.000203691,0.000203691,0.000203691
29,1356.46,1.14614,0.58935,1.04115,0.8989,0.85484,0.90422,0.62853,1.31437,0.59458,1.28405,0.000200938,0.000200938,0.000200938
30,1402.37,1.13801,0.57682,1.04194,0.88245,0.84479,0.9088,0.63099,1.29769,0.59035,1.26942,0.000198186,0.000198186,0.000198186
31,1448.49,1.13249,0.57663,1.03781,0.91079,0.85488,0.91691,0.6294,1.31054,0.59089,1.27837,0.000195434,0.000195434,0.000195434
32,1494.29,1.10647,0.56443,1.03314,0.92511,0.84054,0.91144,0.62983,1.30231,0.57811,1.26943,0.000192682,0.000192682,0.000192682
33,1539.29,1.13134,0.57159,1.03826,0.93522,0.84716,0.91544,0.62866,1.30624,0.59148,1.2685,0.00018993,0.00018993,0.00018993
34,1584.1,1.11146,0.56034,1.03328,0.92016,0.83895,0.91464,0.64429,1.29885,0.57095,1.26493,0.000187177,0.000187177,0.000187177
35,1630.05,1.10899,0.55414,1.0272,0.88805,0.83646,0.89937,0.62347,1.31564,0.59602,1.28079,0.000184425,0.000184425,0.000184425
36,1674.45,1.08933,0.55227,1.02337,0.88393,0.85506,0.90933,0.62915,1.30484,0.5831,1.26961,0.000181673,0.000181673,0.000181673
37,1719.72,1.08682,0.54619,1.02511,0.91323,0.84021,0.90625,0.63584,1.29787,0.57219,1.28435,0.000178921,0.000178921,0.000178921
38,1764.62,1.07987,0.54314,1.02585,0.90123,0.86684,0.91458,0.6333,1.30387,0.5739,1.27813,0.000176169,0.000176169,0.000176169
39,1809.71,1.06596,0.53075,1.00879,0.92829,0.84845,0.91554,0.64025,1.29439,0.57127,1.26661,0.000173416,0.000173416,0.000173416
40,1854.42,1.06251,0.53258,1.01613,0.9142,0.83255,0.90727,0.62135,1.30957,0.57682,1.2888,0.000170664,0.000170664,0.000170664
41,1899.25,1.06218,0.5204,1.01141,0.89325,0.87423,0.90564,0.62901,1.31237,0.5801,1.27929,0.000167912,0.000167912,0.000167912
42,1944.76,1.04664,0.52251,1.01809,0.90917,0.86295,0.90122,0.62313,1.33074,0.57256,1.2898,0.00016516,0.00016516,0.00016516
43,1989.45,1.04133,0.52052,1.00282,0.90071,0.86768,0.91308,0.63747,1.30291,0.55797,1.27951,0.000162408,0.000162408,0.000162408
44,2034.32,1.04031,0.51113,1.00829,0.91921,0.84449,0.91877,0.63471,1.32401,0.56004,1.29839,0.000159655,0.000159655,0.000159655
45,2079.55,1.02138,0.5031,0.99683,0.92034,0.85638,0.92631,0.63626,1.30618,0.56308,1.28549,0.000156903,0.000156903,0.000156903
46,2124.57,1.02537,0.5062,1.00302,0.92473,0.85458,0.92548,0.6391,1.31004,0.55757,1.28692,0.000154151,0.000154151,0.000154151
47,2169.85,1.01195,0.50181,0.98949,0.90778,0.88506,0.93604,0.63446,1.34747,0.57399,1.31086,0.000151399,0.000151399,0.000151399
48,2214.54,1.0041,0.49453,0.99106,0.89804,0.8563,0.91651,0.64048,1.30466,0.55813,1.28487,0.000148647,0.000148647,0.000148647
49,2259.8,0.99778,0.49037,0.98663,0.89919,0.87551,0.90846,0.63398,1.30739,0.54766,1.28696,0.000145894,0.000145894,0.000145894
50,2304.79,0.98173,0.48708,0.98482,0.91398,0.86003,0.90821,0.63484,1.32485,0.55506,1.30851,0.000143142,0.000143142,0.000143142
51,2349.67,0.97968,0.48623,0.98763,0.89004,0.87539,0.91056,0.64116,1.30475,0.55309,1.28698,0.00014039,0.00014039,0.00014039
52,2394.8,0.96996,0.48569,0.97739,0.86456,0.88296,0.9144,0.63946,1.31735,0.56026,1.30014,0.000137638,0.000137638,0.000137638
53,2439.7,0.98146,0.48724,0.9832,0.86906,0.87793,0.91165,0.6332,1.30737,0.5577,1.29678,0.000134886,0.000134886,0.000134886
54,2484.66,0.97082,0.48293,0.97557,0.93842,0.84156,0.91193,0.6375,1.33371,0.55724,1.31504,0.000132133,0.000132133,0.000132133
55,2529.32,0.94842,0.46951,0.97501,0.94455,0.85187,0.91313,0.63603,1.31777,0.55474,1.3114,0.000129381,0.000129381,0.000129381
56,2573.81,0.94571,0.47426,0.97007,0.94036,0.84879,0.916,0.63213,1.31259,0.55074,1.28826,0.000126629,0.000126629,0.000126629
57,2618.8,0.95464,0.4726,0.97094,0.91827,0.86427,0.91842,0.64134,1.32004,0.54832,1.31476,0.000123877,0.000123877,0.000123877
58,2663.65,0.94377,0.47691,0.97255,0.93461,0.85344,0.9192,0.636,1.32373,0.55773,1.32224,0.000121125,0.000121125,0.000121125
59,2708.01,0.93657,0.46439,0.97118,0.93372,0.84063,0.90809,0.63431,1.3174,0.54621,1.31114,0.000118372,0.000118372,0.000118372
60,2752.41,0.91802,0.45641,0.95053,0.92734,0.85075,0.89873,0.6242,1.31491,0.55783,1.30211,0.00011562,0.00011562,0.00011562
61,2797.79,0.92425,0.46155,0.96727,0.93524,0.85262,0.91527,0.64098,1.31831,0.55251,1.31022,0.000112868,0.000112868,0.000112868
62,2843.52,0.91554,0.46077,0.97009,0.95094,0.81953,0.91289,0.62334,1.33255,0.56116,1.31888,0.000110116,0.000110116,0.000110116
63,2888.31,0.91203,0.45633,0.95792,0.9263,0.84771,0.91291,0.62633,1.32441,0.5572,1.31671,0.000107364,0.000107364,0.000107364
64,2932.75,0.90296,0.45235,0.95433,0.91835,0.86253,0.91505,0.63953,1.3224,0.55335,1.3179,0.000104611,0.000104611,0.000104611
65,2978.29,0.90419,0.44728,0.95621,0.9338,0.87321,0.9154,0.63555,1.3221,0.54638,1.32265,0.000101859,0.000101859,0.000101859
66,3022.68,0.90182,0.44973,0.9532,0.92546,0.86616,0.91136,0.63568,1.32659,0.55252,1.32248,9.9107e-05,9.9107e-05,9.9107e-05
67,3067.64,0.90108,0.45113,0.95485,0.89329,0.87599,0.91407,0.63893,1.3274,0.55284,1.32264,9.63548e-05,9.63548e-05,9.63548e-05
68,3113.84,0.87269,0.4407,0.94438,0.92544,0.85466,0.91081,0.63398,1.33076,0.55501,1.32835,9.36026e-05,9.36026e-05,9.36026e-05
69,3160.9,0.88006,0.43987,0.94613,0.92047,0.85674,0.91455,0.63151,1.32781,0.54981,1.32294,9.08504e-05,9.08504e-05,9.08504e-05
70,3208.44,0.86881,0.43495,0.94549,0.93098,0.85864,0.91113,0.63116,1.32957,0.54975,1.3266,8.80982e-05,8.80982e-05,8.80982e-05
71,3255.88,0.86511,0.43887,0.9429,0.90979,0.87998,0.93205,0.64296,1.32518,0.55395,1.33026,8.5346e-05,8.5346e-05,8.5346e-05
72,3303.83,0.87416,0.44128,0.94016,0.93991,0.84679,0.91826,0.63743,1.32801,0.55654,1.33088,8.25938e-05,8.25938e-05,8.25938e-05
73,3352.11,0.86012,0.42771,0.94385,0.90827,0.86519,0.91433,0.63272,1.32884,0.55399,1.32701,7.98416e-05,7.98416e-05,7.98416e-05
74,3399.11,0.85057,0.42888,0.93534,0.89987,0.85977,0.91879,0.63639,1.32589,0.54997,1.32658,7.70894e-05,7.70894e-05,7.70894e-05
75,3446.55,0.84266,0.42636,0.93218,0.90005,0.86131,0.91482,0.62931,1.32804,0.54622,1.33591,7.43372e-05,7.43372e-05,7.43372e-05
76,3493.5,0.83887,0.42262,0.92989,0.89344,0.87207,0.91393,0.62803,1.32626,0.55136,1.33055,7.1585e-05,7.1585e-05,7.1585e-05
77,3541.2,0.83288,0.41974,0.92824,0.89547,0.8666,0.93037,0.63864,1.32871,0.55621,1.33056,6.88328e-05,6.88328e-05,6.88328e-05
78,3589.7,0.83592,0.42595,0.93327,0.93026,0.85389,0.92695,0.6382,1.32559,0.54652,1.32841,6.60806e-05,6.60806e-05,6.60806e-05
79,3634.92,0.82539,0.41532,0.92516,0.9458,0.837,0.92111,0.63529,1.33054,0.55274,1.3325,6.33284e-05,6.33284e-05,6.33284e-05
80,3680.82,0.8386,0.4221,0.93042,0.94238,0.82928,0.91943,0.63662,1.32461,0.54889,1.33699,6.05762e-05,6.05762e-05,6.05762e-05
80,73.8951,0.83285,0.4542,0.93571,0.89951,0.85216,0.92187,0.63224,1.33779,0.57072,1.36781,6.05762e-05,6.05762e-05,6.05762e-05
81,120.322,0.83925,0.43415,0.9343,0.94135,0.83029,0.9165,0.62461,1.32996,0.55484,1.35874,5.7824e-05,5.7824e-05,5.7824e-05
82,165.761,0.82038,0.41912,0.92676,0.94421,0.83813,0.91995,0.63154,1.32301,0.54598,1.34957,5.50718e-05,5.50718e-05,5.50718e-05
83,211.165,0.80635,0.41052,0.92827,0.94143,0.82899,0.90648,0.62377,1.32984,0.54987,1.36077,5.23196e-05,5.23196e-05,5.23196e-05
84,257.896,0.81681,0.41243,0.93084,0.94608,0.83603,0.91748,0.63164,1.33121,0.55037,1.34788,4.95674e-05,4.95674e-05,4.95674e-05
