epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2012,2.23319,4.92293,1.86719,0.46756,0.1473,0.07978,0.04802,1.70281,2.89041,1.59591,9.18242e-05,9.18242e-05,9.18242e-05
2,65.8148,1.69742,2.81661,1.48722,0.50718,0.25,0.19735,0.11427,1.52199,2.00307,1.46691,0.000182664,0.000182664,0.000182664
3,95.9617,1.5782,2.2156,1.39386,0.51419,0.37526,0.30552,0.17946,1.50336,1.74594,1.44224,0.00027167,0.00027167,0.00027167
4,124.09,1.56161,1.88461,1.38581,0.74294,0.35873,0.44675,0.27903,1.44223,1.41341,1.41952,0.000269743,0.000269743,0.000269743
5,153.008,1.53646,1.65194,1.38633,0.66885,0.47114,0.47808,0.29552,1.48361,1.30637,1.42143,0.000266991,0.000266991,0.000266991
6,185.023,1.48353,1.50771,1.33128,0.69755,0.50589,0.55146,0.35768,1.42687,1.21516,1.3887,0.000264239,0.000264239,0.000264239
7,215.042,1.46763,1.41738,1.31649,0.6665,0.56322,0.60728,0.39796,1.39776,1.12542,1.37294,0.000261487,0.000261487,0.000261487
8,244.173,1.45094,1.35739,1.34271,0.75838,0.58491,0.64764,0.4336,1.41781,1.1236,1.39497,0.000258735,0.000258735,0.000258735
9,272.964,1.43988,1.32508,1.33141,0.7207,0.62772,0.65632,0.43733,1.38246,1.08092,1.38267,0.000255982,0.000255982,0.000255982
10,302.488,1.43157,1.25703,1.31455,0.76955,0.63718,0.70979,0.48294,1.38651,1.02319,1.3662,0.00025323,0.00025323,0.00025323
11,331.151,1.40871,1.14231,1.29057,0.7665,0.65285,0.69813,0.47052,1.40599,1.00412,1.38289,0.000250478,0.000250478,0.000250478
12,358.557,1.42334,1.16846,1.31158,0.84455,0.64825,0.72054,0.4891,1.39553,1.00193,1.3962,0.000247726,0.000247726,0.000247726
13,387.008,1.39695,1.13703,1.30628,0.76088,0.68819,0.73777,0.49959,1.36908,0.98465,1.36967,0.000244974,0.000244974,0.000244974
14,415.814,1.38261,1.07495,1.28733,0.77322,0.73419,0.74062,0.50347,1.38892,0.96096,1.37592,0.000242221,0.000242221,0.000242221
15,445.002,1.35587,1.05923,1.2865,0.79063,0.70691,0.7631,0.51706,1.37483,0.95866,1.37258,0.000239469,0.000239469,0.000239469
16,473.934,1.36777,1.05834,1.27832,0.79856,0.729,0.77709,0.5226,1.34489,0.9335,1.35866,0.000236717,0.000236717,0.000236717
17,503.27,1.36352,1.08029,1.30668,0.77323,0.73807,0.77253,0.51547,1.37002,0.92702,1.36912,0.000233965,0.000233965,0.000233965
18,531.115,1.35868,1.02889,1.28775,0.77095,0.7942,0.7838,0.52644,1.38688,0.94795,1.37933,0.000231213,0.000231213,0.000231213
19,560.337,1.37592,1.04748,1.30472,0.81128,0.76048,0.78345,0.52466,1.36354,0.90703,1.35523,0.00022846,0.00022846,0.00022846
20,586.815,1.33597,0.9622,1.26277,0.82103,0.75178,0.78555,0.53078,1.36727,0.90061,1.36566,0.000225708,0.000225708,0.000225708
21,615.158,1.3207,0.92894,1.25471,0.81817,0.76686,0.80019,0.54413,1.35529,0.89836,1.36469,0.000222956,0.000222956,0.000222956
22,644.258,1.32314,0.97339,1.28039,0.8012,0.7685,0.79276,0.54032,1.35914,0.90368,1.35766,0.000220204,0.000220204,0.000220204
23,671.428,1.3356,0.90875,1.25585,0.8352,0.74313,0.79206,0.53416,1.37092,0.88837,1.353,0.000217452,0.000217452,0.000217452
24,699.007,1.3072,0.92768,1.25818,0.76792,0.77614,0.79299,0.53379,1.36303,0.87799,1.35227,0.000214699,0.000214699,0.000214699
25,726.507,1.29818,0.89959,1.23779,0.82609,0.74275,0.79897,0.53757,1.35587,0.88597,1.35383,0.000211947,0.000211947,0.000211947
26,754.469,1.2853,0.87354,1.22238,0.85903,0.73073,0.79406,0.53493,1.35361,0.87374,1.34151,0.000209195,0.000209195,0.000209195
27,781.496,1.28159,0.87116,1.23723,0.84327,0.77178,0.79642,0.54905,1.35529,0.86253,1.35653,0.000206443,0.000206443,0.000206443
28,810.208,1.29672,0.90327,1.25425,0.81389,0.79017,0.80714,0.55348,1.35797,0.87879,1.35702,0.000203691,0.000203691,0.000203691
29,838.683,1.28525,0.91593,1.24778,0.82455,0.78868,0.81253,0.56187,1.35,0.85934,1.3525,0.000200938,0.000200938,0.000200938
30,867.36,1.28427,0.88245,1.24803,0.81466,0.78877,0.80917,0.55382,1.34512,0.87435,1.36134,0.000198186,0.000198186,0.000198186
31,895.228,1.28285,0.87503,1.23444,0.81815,0.78965,0.80086,0.54291,1.36601,0.87373,1.37003,0.000195434,0.000195434,0.000195434
32,923.771,1.28438,0.88466,1.24025,0.8182,0.79395,0.80742,0.54298,1.35311,0.85807,1.3661,0.000192682,0.000192682,0.000192682
33,950.985,1.27196,0.88273,1.23567,0.76729,0.79401,0.81365,0.55326,1.36602,0.85986,1.35939,0.00018993,0.00018993,0.00018993
34,977.325,1.25581,0.85508,1.22373,0.81466,0.77765,0.81168,0.55627,1.35002,0.85882,1.3492,0.000187177,0.000187177,0.000187177
35,1004.63,1.24052,0.82897,1.21911,0.82682,0.79309,0.8161,0.5549,1.35486,0.84131,1.34983,0.000184425,0.000184425,0.000184425
36,1032.66,1.26464,0.84291,1.2285,0.85252,0.7987,0.82757,0.56459,1.35659,0.86518,1.36441,0.000181673,0.000181673,0.000181673
37,1062.41,1.23871,0.80626,1.21078,0.82167,0.79232,0.82062,0.56262,1.35484,0.83658,1.35931,0.000178921,0.000178921,0.000178921
38,1090.15,1.22759,0.79471,1.20252,0.83883,0.7951,0.82045,0.5571,1.36461,0.84311,1.36562,0.000176169,0.000176169,0.000176169
39,1117.43,1.23124,0.78766,1.21016,0.83459,0.80191,0.82828,0.56897,1.3378,0.83443,1.34726,0.000173416,0.000173416,0.000173416
40,1145.71,1.22742,0.79005,1.21325,0.78674,0.82779,0.83902,0.57101,1.36708,0.86306,1.36141,0.000170664,0.000170664,0.000170664
41,1173.58,1.22608,0.77322,1.19913,0.80574,0.78839,0.82029,0.55898,1.35792,0.8368,1.35959,0.000167912,0.000167912,0.000167912
42,1201.33,1.22757,0.78984,1.20102,0.83392,0.77583,0.80322,0.55504,1.3503,0.84827,1.36128,0.00016516,0.00016516,0.00016516
43,1229.35,1.22989,0.7871,1.21269,0.86451,0.75743,0.83116,0.57123,1.36677,0.83374,1.3644,0.000162408,0.000162408,0.000162408
44,1257.96,1.20733,0.77318,1.19711,0.83754,0.79998,0.83235,0.56733,1.3497,0.8456,1.34954,0.000159655,0.000159655,0.000159655
45,1285.52,1.2057,0.76002,1.18081,0.8619,0.80551,0.83027,0.57027,1.34021,0.83049,1.342,0.000156903,0.000156903,0.000156903
46,1312.56,1.20209,0.7556,1.19648,0.86679,0.80322,0.83345,0.55868,1.35353,0.80708,1.3567,0.000154151,0.000154151,0.000154151
47,1339.8,1.17882,0.74931,1.192,0.85316,0.78749,0.82577,0.56338,1.33892,0.8315,1.35538,0.000151399,0.000151399,0.000151399
48,1367.33,1.21306,0.77756,1.19323,0.83673,0.79528,0.82748,0.56606,1.35723,0.83455,1.36428,0.000148647,0.000148647,0.000148647
49,1394.86,1.18681,0.76385,1.19341,0.87441,0.7909,0.83593,0.56628,1.37,0.84615,1.37235,0.000145894,0.000145894,0.000145894
50,1422.3,1.18266,0.73234,1.18654,0.84865,0.80142,0.8235,0.55885,1.34188,0.81411,1.35816,0.000143142,0.000143142,0.000143142
51,1449.17,1.17686,0.72802,1.18191,0.773,0.82198,0.82612,0.56811,1.34798,0.81925,1.3679,0.00014039,0.00014039,0.00014039
52,1476.09,1.17714,0.73729,1.19255,0.86458,0.7639,0.81649,0.55671,1.35941,0.86305,1.36829,0.000137638,0.000137638,0.000137638
