epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3836,2.21372,4.90403,1.85968,0.52075,0.14015,0.09586,0.05766,1.68726,2.88317,1.57855,9.18242e-05,9.18242e-05,9.18242e-05
2,61.7865,1.69714,2.75049,1.46907,0.51728,0.26963,0.20568,0.12266,1.52126,2.08176,1.44527,0.000182664,0.000182664,0.000182664
3,90.949,1.58651,2.20556,1.3905,0.57369,0.34152,0.31701,0.19025,1.49752,1.60469,1.43454,0.00027167,0.00027167,0.00027167
4,120.078,1.5542,1.8603,1.37521,0.74528,0.36039,0.42887,0.26612,1.44659,1.38242,1.41376,0.000269743,0.000269743,0.000269743
5,149.548,1.52475,1.65371,1.38348,0.64981,0.52161,0.56107,0.35384,1.46462,1.2919,1.40458,0.000266991,0.000266991,0.000266991
6,178.55,1.47562,1.50562,1.32365,0.70514,0.53843,0.58237,0.37339,1.43779,1.22021,1.39825,0.000264239,0.000264239,0.000264239
7,208.569,1.46985,1.41485,1.31553,0.76796,0.57262,0.6303,0.41199,1.39969,1.10425,1.36359,0.000261487,0.000261487,0.000261487
8,237.582,1.44772,1.35985,1.33328,0.78156,0.58107,0.63303,0.41565,1.43059,1.16264,1.39435,0.000258735,0.000258735,0.000258735
9,266.714,1.43983,1.31745,1.3226,0.80765,0.60608,0.68689,0.45891,1.39294,1.04769,1.36325,0.000255982,0.000255982,0.000255982
10,295.969,1.42136,1.24756,1.30352,0.70247,0.68402,0.68756,0.4577,1.37636,1.02859,1.35275,0.00025323,0.00025323,0.00025323
11,323.243,1.40447,1.12901,1.28073,0.85188,0.6592,0.74336,0.499,1.39737,1.00817,1.38603,0.000250478,0.000250478,0.000250478
12,352.313,1.4104,1.16552,1.3103,0.78898,0.69601,0.7309,0.48782,1.39377,0.98595,1.37509,0.000247726,0.000247726,0.000247726
13,379.173,1.39834,1.13766,1.30133,0.83256,0.69709,0.74362,0.49919,1.37119,0.9714,1.35762,0.000244974,0.000244974,0.000244974
14,409.364,1.38653,1.08692,1.28563,0.74765,0.74371,0.7554,0.51098,1.38251,0.98072,1.34697,0.000242221,0.000242221,0.000242221
15,438.038,1.35634,1.05842,1.28109,0.83886,0.71086,0.78435,0.53097,1.38082,0.96028,1.35799,0.000239469,0.000239469,0.000239469
16,466.973,1.3762,1.06029,1.27922,0.73621,0.78751,0.76975,0.51901,1.36296,0.9492,1.35416,0.000236717,0.000236717,0.000236717
17,494.971,1.35451,1.08005,1.28779,0.78418,0.67788,0.74548,0.51025,1.37721,0.98982,1.3377,0.000233965,0.000233965,0.000233965
18,522.876,1.35327,1.01171,1.27696,0.77682,0.74869,0.77889,0.52334,1.38353,0.96654,1.36251,0.000231213,0.000231213,0.000231213
19,550.723,1.37921,1.06994,1.30698,0.83677,0.74232,0.79659,0.53787,1.37611,0.9053,1.35977,0.00022846,0.00022846,0.00022846
20,579.737,1.3375,0.97156,1.26623,0.80837,0.76497,0.82208,0.54996,1.35776,0.90143,1.35092,0.000225708,0.000225708,0.000225708
21,608.593,1.30935,0.93405,1.24402,0.7362,0.79691,0.82107,0.55401,1.35254,0.89344,1.33893,0.000222956,0.000222956,0.000222956
22,637.807,1.31971,0.97349,1.2719,0.86646,0.70763,0.78277,0.53059,1.37771,0.90026,1.34483,0.000220204,0.000220204,0.000220204
23,664.27,1.33936,0.91772,1.24952,0.82782,0.73152,0.78943,0.53646,1.35689,0.89712,1.33061,0.000217452,0.000217452,0.000217452
24,690.996,1.30758,0.92276,1.24991,0.73961,0.75873,0.77472,0.52764,1.35518,0.88094,1.33063,0.000214699,0.000214699,0.000214699
25,718.588,1.30467,0.90926,1.23001,0.75828,0.77862,0.78859,0.53222,1.35784,0.87396,1.3421,0.000211947,0.000211947,0.000211947
26,746.402,1.28263,0.86844,1.21316,0.76125,0.74458,0.7735,0.53032,1.37239,0.87076,1.34105,0.000209195,0.000209195,0.000209195
27,774.608,1.27698,0.86169,1.23001,0.8437,0.75821,0.79971,0.53975,1.35719,0.847,1.34318,0.000206443,0.000206443,0.000206443
28,802.306,1.30431,0.90536,1.25048,0.83793,0.72663,0.80275,0.55362,1.34036,0.86588,1.32928,0.000203691,0.000203691,0.000203691
29,830.508,1.28477,0.90622,1.24716,0.81399,0.76159,0.80947,0.55497,1.34324,0.86831,1.33054,0.000200938,0.000200938,0.000200938
30,859.759,1.29174,0.88075,1.24358,0.79338,0.83079,0.83022,0.56759,1.35572,0.8647,1.33314,0.000198186,0.000198186,0.000198186
31,888.419,1.27389,0.86706,1.22852,0.85354,0.79797,0.83772,0.57181,1.37564,0.86502,1.3541,0.000195434,0.000195434,0.000195434
