epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5277,2.01728,4.01761,1.67985,0.4957,0.25076,0.21427,0.11798,1.68903,2.07315,1.53053,9.22455e-05,9.22455e-05,9.22455e-05
2,107.806,1.60612,2.0133,1.37972,0.66235,0.39992,0.47082,0.26624,1.61763,1.47088,1.46214,0.000183081,0.000183081,0.000183081
3,160.41,1.5177,1.53575,1.32818,0.66583,0.54637,0.58654,0.3586,1.52359,1.22928,1.42927,0.000272083,0.000272083,0.000272083
4,213.204,1.47918,1.3252,1.3069,0.81532,0.53058,0.64191,0.40833,1.45997,1.17001,1.41215,0.000269743,0.000269743,0.000269743
5,266.669,1.45264,1.22449,1.30944,0.7197,0.61137,0.65964,0.43245,1.41382,1.0932,1.39399,0.000266991,0.000266991,0.000266991
6,320.548,1.43037,1.14492,1.29591,0.83979,0.65127,0.71089,0.46059,1.42473,1.01878,1.41669,0.000264239,0.000264239,0.000264239
7,373.803,1.38866,1.04408,1.26671,0.77789,0.71508,0.73187,0.48281,1.40696,0.96794,1.37913,0.000261487,0.000261487,0.000261487
8,428.273,1.38088,1.02986,1.27158,0.78752,0.70708,0.73812,0.48662,1.39747,0.9662,1.37371,0.000258735,0.000258735,0.000258735
9,480.706,1.36851,1.01033,1.26973,0.77727,0.71902,0.74502,0.4935,1.38165,0.95542,1.37169,0.000255982,0.000255982,0.000255982
10,535.063,1.3573,0.97168,1.26316,0.83647,0.73909,0.82206,0.54693,1.38861,0.90726,1.37209,0.00025323,0.00025323,0.00025323
11,588.128,1.34421,0.89763,1.24651,0.82467,0.72918,0.77742,0.51349,1.42226,0.89832,1.38624,0.000250478,0.000250478,0.000250478
12,640.438,1.32904,0.86243,1.24344,0.77233,0.79001,0.78221,0.52885,1.36773,0.89293,1.36276,0.000247726,0.000247726,0.000247726
13,691.805,1.31514,0.87177,1.22714,0.84504,0.74003,0.77862,0.53271,1.34944,0.89538,1.34473,0.000244974,0.000244974,0.000244974
14,743.651,1.291,0.84139,1.22253,0.86787,0.73221,0.79164,0.54184,1.36352,0.87659,1.3674,0.000242221,0.000242221,0.000242221
15,794.522,1.31808,0.84548,1.23328,0.84523,0.71622,0.78554,0.54067,1.36944,0.88757,1.34792,0.000239469,0.000239469,0.000239469
16,847.766,1.29352,0.82252,1.21779,0.82784,0.79682,0.81368,0.55169,1.3896,0.87761,1.39175,0.000236717,0.000236717,0.000236717
17,901.277,1.27004,0.80432,1.21327,0.84343,0.77521,0.83324,0.56251,1.38653,0.8547,1.38155,0.000233965,0.000233965,0.000233965
18,954.632,1.27582,0.79338,1.21122,0.79373,0.81947,0.82409,0.55129,1.37371,0.84778,1.35251,0.000231213,0.000231213,0.000231213
19,1005.88,1.25616,0.75972,1.19362,0.83245,0.78166,0.82402,0.54711,1.39471,0.84757,1.35995,0.00022846,0.00022846,0.00022846
20,1057.77,1.26124,0.7797,1.21121,0.83719,0.80106,0.8177,0.55503,1.35786,0.82431,1.35308,0.000225708,0.000225708,0.000225708
21,1109.39,1.2425,0.77307,1.19145,0.85943,0.7673,0.81166,0.55463,1.37227,0.84352,1.35406,0.000222956,0.000222956,0.000222956
22,1162.2,1.2304,0.74574,1.195,0.83858,0.80361,0.82368,0.55234,1.36345,0.82567,1.34774,0.000220204,0.000220204,0.000220204
23,1213.76,1.23141,0.75453,1.19476,0.86907,0.76177,0.83596,0.56621,1.37449,0.81236,1.35625,0.000217452,0.000217452,0.000217452
24,1267.64,1.21532,0.73305,1.17687,0.78091,0.81251,0.84186,0.56456,1.37327,0.83066,1.35937,0.000214699,0.000214699,0.000214699
25,1318.67,1.21768,0.72049,1.1835,0.85935,0.79824,0.83353,0.5438,1.41642,0.83996,1.38774,0.000211947,0.000211947,0.000211947
26,1371.41,1.21833,0.72838,1.1894,0.85269,0.80545,0.85401,0.58543,1.37843,0.80136,1.36113,0.000209195,0.000209195,0.000209195
27,1424.73,1.22127,0.73653,1.18907,0.85142,0.78459,0.83338,0.56015,1.36804,0.8071,1.36261,0.000206443,0.000206443,0.000206443
28,1477.03,1.18131,0.69057,1.16401,0.82077,0.79935,0.82173,0.55608,1.35379,0.7918,1.34151,0.000203691,0.000203691,0.000203691
29,1527.67,1.17701,0.70659,1.16334,0.79889,0.80089,0.81602,0.55604,1.38943,0.81976,1.37545,0.000200938,0.000200938,0.000200938
30,1579.79,1.19145,0.69959,1.1737,0.82909,0.80992,0.85551,0.57641,1.38659,0.81493,1.37331,0.000198186,0.000198186,0.000198186
31,1631.05,1.15916,0.68016,1.15945,0.82659,0.7717,0.83766,0.5677,1.36604,0.78928,1.35759,0.000195434,0.000195434,0.000195434
32,1683.36,1.15081,0.68246,1.14708,0.7787,0.81511,0.83416,0.55915,1.36264,0.80448,1.3657,0.000192682,0.000192682,0.000192682
33,1734.72,1.15657,0.67442,1.14664,0.87324,0.77308,0.84303,0.57469,1.37581,0.77942,1.37203,0.00018993,0.00018993,0.00018993
34,1787.1,1.14935,0.66309,1.14424,0.82908,0.8346,0.84245,0.56296,1.36668,0.79956,1.37016,0.000187177,0.000187177,0.000187177
35,1838.72,1.14094,0.65252,1.14653,0.8635,0.79817,0.84381,0.5694,1.36688,0.79223,1.36194,0.000184425,0.000184425,0.000184425
36,1890.96,1.14462,0.66843,1.14675,0.81812,0.80526,0.84346,0.5756,1.38038,0.7824,1.36884,0.000181673,0.000181673,0.000181673
37,1942.79,1.13353,0.65314,1.14749,0.78592,0.86188,0.86456,0.58405,1.37026,0.79349,1.37115,0.000178921,0.000178921,0.000178921
38,1995.34,1.11893,0.63711,1.12822,0.8421,0.81739,0.86317,0.57671,1.3902,0.78177,1.38174,0.000176169,0.000176169,0.000176169
39,2046.77,1.12209,0.64624,1.13187,0.87894,0.83044,0.86487,0.5863,1.38873,0.77279,1.38282,0.000173416,0.000173416,0.000173416
40,2100.3,1.08968,0.62495,1.1253,0.85512,0.83618,0.85545,0.57749,1.38574,0.78836,1.38108,0.000170664,0.000170664,0.000170664
41,2152.16,1.10753,0.62323,1.11731,0.88296,0.82411,0.86926,0.58586,1.3783,0.76749,1.37973,0.000167912,0.000167912,0.000167912
42,2205.2,1.09199,0.6131,1.11603,0.86489,0.82018,0.85392,0.57362,1.39394,0.77384,1.38677,0.00016516,0.00016516,0.00016516
43,2256.01,1.10586,0.63892,1.12804,0.82809,0.84451,0.88786,0.59529,1.37519,0.76298,1.36608,0.000162408,0.000162408,0.000162408
44,2309.59,1.08315,0.61131,1.1155,0.88028,0.8309,0.87539,0.58455,1.37839,0.76576,1.37809,0.000159655,0.000159655,0.000159655
45,2360.49,1.10187,0.63576,1.12854,0.89634,0.81321,0.86559,0.58274,1.3853,0.78048,1.3891,0.000156903,0.000156903,0.000156903
46,2412.34,1.07272,0.6311,1.12203,0.87836,0.79831,0.86805,0.58902,1.3777,0.79387,1.37941,0.000154151,0.000154151,0.000154151
47,2464.69,1.06309,0.61578,1.11137,0.84709,0.82918,0.86427,0.58701,1.37084,0.77318,1.38495,0.000151399,0.000151399,0.000151399
48,2516.52,1.04745,0.58587,1.10162,0.88063,0.80813,0.85919,0.57731,1.36997,0.77195,1.37711,0.000148647,0.000148647,0.000148647
49,2567.93,1.05823,0.62945,1.10563,0.85229,0.83806,0.8665,0.57728,1.37973,0.78171,1.39436,0.000145894,0.000145894,0.000145894
50,2619.06,1.05475,0.6222,1.09763,0.87967,0.79723,0.85902,0.57657,1.3937,0.79449,1.40555,0.000143142,0.000143142,0.000143142
51,2672.29,1.0521,0.59652,1.10329,0.85127,0.82456,0.86047,0.58259,1.37964,0.79358,1.38421,0.00014039,0.00014039,0.00014039
52,2724.17,1.04512,0.58517,1.09282,0.86148,0.82145,0.85371,0.57651,1.38619,0.77596,1.3886,0.000137638,0.000137638,0.000137638
53,2776.3,1.03226,0.5732,1.08501,0.83179,0.82987,0.85648,0.57942,1.39034,0.76136,1.40229,0.000134886,0.000134886,0.000134886
54,2827.22,1.0194,0.57708,1.08403,0.87117,0.81137,0.85332,0.57688,1.38506,0.75946,1.39917,0.000132133,0.000132133,0.000132133
55,2879.39,1.01496,0.56754,1.08546,0.88077,0.80942,0.87711,0.58771,1.38238,0.7657,1.38892,0.000129381,0.000129381,0.000129381
56,2930.84,1.01497,0.56143,1.07779,0.85332,0.83978,0.8703,0.58541,1.38225,0.7505,1.3962,0.000126629,0.000126629,0.000126629
57,2983.74,1.02431,0.575,1.07651,0.85739,0.84556,0.87052,0.58865,1.37188,0.74567,1.38589,0.000123877,0.000123877,0.000123877
58,3035.47,1.00598,0.56975,1.07809,0.88487,0.8308,0.87264,0.57498,1.39646,0.75309,1.40748,0.000121125,0.000121125,0.000121125
59,3088.3,1.00428,0.57523,1.07508,0.89117,0.81811,0.87471,0.57711,1.38763,0.74325,1.40106,0.000118372,0.000118372,0.000118372
60,3139.79,1.00502,0.5784,1.08034,0.89621,0.82851,0.87281,0.57796,1.38339,0.75799,1.39212,0.00011562,0.00011562,0.00011562
61,3192.14,0.98921,0.54886,1.0721,0.84716,0.83439,0.86378,0.58275,1.3928,0.75891,1.40166,0.000112868,0.000112868,0.000112868
62,3244.45,0.98194,0.55313,1.0684,0.87462,0.8216,0.85615,0.58307,1.38699,0.75457,1.40704,0.000110116,0.000110116,0.000110116
63,3296.97,0.97264,0.54094,1.05867,0.87181,0.83537,0.87168,0.5853,1.38612,0.75651,1.40405,0.000107364,0.000107364,0.000107364
64,3348.54,0.9769,0.54488,1.0519,0.85667,0.84296,0.8719,0.58458,1.39507,0.77886,1.40524,0.000104611,0.000104611,0.000104611
65,3400.03,0.97168,0.54311,1.06261,0.88559,0.82577,0.87856,0.58696,1.38573,0.76132,1.40362,0.000101859,0.000101859,0.000101859
66,3451.25,0.97008,0.54063,1.0534,0.89319,0.81986,0.86117,0.58016,1.38189,0.7552,1.41352,9.9107e-05,9.9107e-05,9.9107e-05
67,3504.83,0.94659,0.52727,1.05324,0.88503,0.82339,0.85971,0.58112,1.39247,0.75418,1.41316,9.63548e-05,9.63548e-05,9.63548e-05
68,3555.55,0.96094,0.54185,1.05569,0.87581,0.82977,0.85709,0.56482,1.40504,0.74466,1.42757,9.36026e-05,9.36026e-05,9.36026e-05
69,3606.86,0.95691,0.54335,1.05197,0.89586,0.81551,0.85916,0.58317,1.38523,0.73598,1.40788,9.08504e-05,9.08504e-05,9.08504e-05
70,3657.82,0.93641,0.52793,1.05167,0.88111,0.82066,0.86481,0.58176,1.40035,0.73997,1.41821,8.80982e-05,8.80982e-05,8.80982e-05
71,3710.55,0.94093,0.52522,1.03931,0.88524,0.81808,0.86752,0.57748,1.3981,0.72607,1.42349,8.5346e-05,8.5346e-05,8.5346e-05
72,39.155,0.93837,0.52805,1.04397,0.84365,0.81745,0.86252,0.57563,1.39772,0.74984,1.42439,8.25938e-05,8.25938e-05,8.25938e-05
73,78.1955,0.93042,0.51878,1.0392,0.89171,0.79791,0.86147,0.57542,1.38769,0.75386,1.41256,7.98416e-05,7.98416e-05,7.98416e-05
74,117.028,0.91842,0.51482,1.02949,0.87125,0.81316,0.86635,0.57861,1.39128,0.74834,1.43469,7.70894e-05,7.70894e-05,7.70894e-05
75,156.411,0.91791,0.50452,1.03211,0.86984,0.81529,0.85769,0.5754,1.38851,0.74418,1.42666,7.43372e-05,7.43372e-05,7.43372e-05
76,195.529,0.90949,0.50057,1.03758,0.8968,0.80581,0.86557,0.5813,1.38985,0.74497,1.42548,7.1585e-05,7.1585e-05,7.1585e-05
77,234.978,0.91471,0.50994,1.03632,0.86612,0.81752,0.86116,0.57236,1.40637,0.75137,1.43796,6.88328e-05,6.88328e-05,6.88328e-05
