epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1509,2.20359,4.44531,1.93065,0.5661,0.14857,0.12015,0.0627,1.72919,2.49388,1.6383,9.22455e-05,9.22455e-05,9.22455e-05
2,105.485,1.6899,2.54173,1.52293,0.64976,0.29758,0.28633,0.15902,1.57205,1.7654,1.46073,0.000183081,0.000183081,0.000183081
3,158.716,1.55819,1.97508,1.43819,0.63603,0.37975,0.42228,0.24509,1.55571,1.47465,1.47298,0.000272083,0.000272083,0.000272083
4,210.673,1.49772,1.68222,1.42135,0.68555,0.46197,0.51104,0.31483,1.4814,1.27709,1.44267,0.000269743,0.000269743,0.000269743
5,263.586,1.46068,1.52535,1.40217,0.59101,0.54865,0.54434,0.33561,1.46891,1.25843,1.41561,0.000266991,0.000266991,0.000266991
6,315.226,1.45184,1.43878,1.38998,0.7199,0.59974,0.64358,0.41983,1.42729,1.1659,1.40764,0.000264239,0.000264239,0.000264239
7,369.031,1.3821,1.32141,1.34842,0.69646,0.60683,0.66087,0.42477,1.44045,1.10705,1.39904,0.000261487,0.000261487,0.000261487
8,420.357,1.37705,1.28767,1.34916,0.73004,0.66015,0.68818,0.45037,1.43976,1.07636,1.38373,0.000258735,0.000258735,0.000258735
9,472.964,1.37302,1.24245,1.35283,0.76716,0.6651,0.69585,0.45494,1.42402,1.04908,1.37436,0.000255982,0.000255982,0.000255982
10,524.561,1.34945,1.18031,1.3431,0.76692,0.68637,0.726,0.48223,1.4177,0.99731,1.36328,0.00025323,0.00025323,0.00025323
11,577.22,1.32541,1.09569,1.30516,0.76913,0.70956,0.73606,0.48571,1.40308,0.98824,1.36504,0.000250478,0.000250478,0.000250478
12,629.049,1.31654,1.04798,1.30172,0.7428,0.70953,0.73435,0.48294,1.39908,0.97037,1.35839,0.000247726,0.000247726,0.000247726
13,680.5,1.30771,1.05743,1.29069,0.81153,0.71663,0.77271,0.50672,1.37771,0.93653,1.3401,0.000244974,0.000244974,0.000244974
14,731.694,1.29358,1.01155,1.28006,0.78416,0.7413,0.76154,0.50935,1.38314,0.95155,1.34051,0.000242221,0.000242221,0.000242221
15,786.897,1.29424,1.01734,1.29115,0.78528,0.69516,0.7683,0.51272,1.38319,0.95845,1.33533,0.000239469,0.000239469,0.000239469
16,838.859,1.27559,0.97936,1.27291,0.78933,0.73384,0.78893,0.52706,1.37454,0.94739,1.35501,0.000236717,0.000236717,0.000236717
17,891.59,1.26054,0.95887,1.26275,0.82144,0.71248,0.79003,0.5327,1.38836,0.91537,1.35409,0.000233965,0.000233965,0.000233965
18,943.876,1.25761,0.95528,1.26023,0.79818,0.69977,0.78364,0.5233,1.3835,0.92232,1.34182,0.000231213,0.000231213,0.000231213
19,995.658,1.25074,0.91784,1.25048,0.80615,0.72969,0.78901,0.53523,1.37582,0.9055,1.33606,0.00022846,0.00022846,0.00022846
20,1048.54,1.25433,0.92992,1.2664,0.83831,0.72893,0.81252,0.53595,1.37287,0.88738,1.33471,0.000225708,0.000225708,0.000225708
21,1101.77,1.22665,0.90131,1.23528,0.80348,0.7585,0.81608,0.55797,1.36423,0.92314,1.33082,0.000222956,0.000222956,0.000222956
22,1155.36,1.22136,0.88168,1.2428,0.8291,0.74679,0.80124,0.53973,1.37668,0.89261,1.33345,0.000220204,0.000220204,0.000220204
23,1206.05,1.22469,0.87861,1.2456,0.86133,0.71116,0.80077,0.5511,1.3659,0.88098,1.32924,0.000217452,0.000217452,0.000217452
24,1257.46,1.19537,0.85775,1.22711,0.8159,0.72623,0.8204,0.54994,1.37246,0.87253,1.31898,0.000214699,0.000214699,0.000214699
25,1307.73,1.2071,0.8499,1.23024,0.80754,0.74655,0.82404,0.53817,1.42102,0.90755,1.36226,0.000211947,0.000211947,0.000211947
26,1358.67,1.2153,0.85318,1.23422,0.78431,0.78429,0.83017,0.5671,1.35699,0.84522,1.32214,0.000209195,0.000209195,0.000209195
27,1411.37,1.20943,0.85513,1.23153,0.82066,0.73314,0.8138,0.55153,1.36018,0.88838,1.31956,0.000206443,0.000206443,0.000206443
28,1462.78,1.17793,0.80646,1.21048,0.83401,0.75297,0.8443,0.568,1.36298,0.86895,1.32738,0.000203691,0.000203691,0.000203691
29,1515.09,1.17917,0.81424,1.21753,0.8021,0.80749,0.83365,0.56688,1.36943,0.84245,1.32464,0.000200938,0.000200938,0.000200938
30,1565.5,1.1894,0.79708,1.2182,0.76521,0.8451,0.84319,0.56379,1.4056,0.86957,1.34673,0.000198186,0.000198186,0.000198186
31,1617.52,1.15847,0.77704,1.20533,0.82915,0.76017,0.83559,0.57172,1.34863,0.85121,1.31356,0.000195434,0.000195434,0.000195434
32,1670.66,1.14746,0.77729,1.19039,0.7929,0.76848,0.82255,0.56372,1.36422,0.84721,1.31712,0.000192682,0.000192682,0.000192682
33,1722.47,1.15738,0.78022,1.19362,0.79582,0.77799,0.84018,0.56595,1.38299,0.84492,1.34364,0.00018993,0.00018993,0.00018993
34,1773.6,1.16219,0.76782,1.19896,0.7986,0.8225,0.84579,0.58348,1.37603,0.90063,1.33574,0.000187177,0.000187177,0.000187177
35,1827.21,1.14978,0.75519,1.19878,0.80213,0.81512,0.85144,0.58382,1.38374,0.82933,1.3272,0.000184425,0.000184425,0.000184425
36,1880.08,1.14695,0.76924,1.19315,0.87238,0.789,0.84586,0.58497,1.36441,0.84476,1.32791,0.000181673,0.000181673,0.000181673
37,1933.8,1.14157,0.75786,1.19523,0.86882,0.80941,0.86922,0.58218,1.38046,0.84039,1.33615,0.000178921,0.000178921,0.000178921
