epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2318,2.05044,4.03674,1.58482,0.4604,0.20147,0.13807,0.08175,1.63176,2.34053,1.60347,9.21575e-05,9.21575e-05,9.21575e-05
2,70.5183,1.60947,2.08751,1.28285,0.59216,0.30378,0.31711,0.18921,1.50583,1.57456,1.45981,0.000182994,0.000182994,0.000182994
3,105.278,1.53834,1.64831,1.25575,0.70189,0.42815,0.48086,0.30573,1.47354,1.37877,1.44895,0.000271997,0.000271997,0.000271997
4,139.487,1.46817,1.39524,1.22119,0.74233,0.5202,0.62716,0.3982,1.45284,1.23045,1.45584,0.000269743,0.000269743,0.000269743
5,173.665,1.45,1.26787,1.21618,0.74228,0.56779,0.64644,0.4045,1.50532,1.19174,1.46537,0.000266991,0.000266991,0.000266991
6,207.913,1.43368,1.17009,1.21103,0.82687,0.58514,0.69994,0.45845,1.42131,1.06846,1.41974,0.000264239,0.000264239,0.000264239
7,242.35,1.40289,1.10502,1.1899,0.77535,0.63326,0.70877,0.47727,1.41024,1.05125,1.40846,0.000261487,0.000261487,0.000261487
8,276.543,1.37378,1.04416,1.17687,0.81782,0.66844,0.73586,0.47896,1.42574,1.01727,1.40572,0.000258735,0.000258735,0.000258735
9,310.756,1.34076,0.97946,1.14885,0.77049,0.70189,0.76179,0.49671,1.40154,0.97897,1.39017,0.000255982,0.000255982,0.000255982
10,344.944,1.35427,0.98762,1.16438,0.79203,0.71472,0.77126,0.50746,1.42278,0.99823,1.41683,0.00025323,0.00025323,0.00025323
11,379.13,1.3475,0.96187,1.17245,0.74954,0.72407,0.78055,0.51493,1.41138,0.99164,1.41299,0.000250478,0.000250478,0.000250478
12,413.573,1.32466,0.92551,1.163,0.77021,0.7651,0.78423,0.52813,1.40846,0.97376,1.39313,0.000247726,0.000247726,0.000247726
13,447.916,1.30804,0.88197,1.13086,0.80066,0.73759,0.77722,0.52736,1.39083,0.90986,1.38495,0.000244974,0.000244974,0.000244974
14,481.974,1.31134,0.88597,1.14688,0.7858,0.7533,0.77091,0.50394,1.46904,0.97106,1.41666,0.000242221,0.000242221,0.000242221
15,515.99,1.29308,0.88894,1.14441,0.83803,0.75668,0.80914,0.54436,1.40126,0.89936,1.37967,0.000239469,0.000239469,0.000239469
16,550.38,1.29677,0.87345,1.13782,0.79629,0.72078,0.78083,0.53489,1.37799,0.94591,1.36427,0.000236717,0.000236717,0.000236717
17,584.621,1.27556,0.83308,1.12709,0.83289,0.74352,0.80995,0.55103,1.3759,0.97241,1.37494,0.000233965,0.000233965,0.000233965
18,618.847,1.25635,0.78897,1.11771,0.79478,0.78109,0.79119,0.51722,1.42679,0.92808,1.40936,0.000231213,0.000231213,0.000231213
19,652.9,1.27043,0.81482,1.12523,0.81005,0.79833,0.82409,0.55765,1.36776,0.87958,1.35962,0.00022846,0.00022846,0.00022846
20,687.185,1.25557,0.79649,1.11262,0.81057,0.78645,0.82933,0.55488,1.36766,0.90404,1.37513,0.000225708,0.000225708,0.000225708
21,721.196,1.23005,0.78067,1.09997,0.83373,0.80307,0.83823,0.55674,1.3761,0.87675,1.37176,0.000222956,0.000222956,0.000222956
22,755.427,1.23104,0.75129,1.09655,0.81605,0.77677,0.81464,0.55315,1.38251,0.90391,1.3733,0.000220204,0.000220204,0.000220204
23,789.361,1.22555,0.74161,1.10004,0.81827,0.78064,0.82405,0.54732,1.37587,0.86031,1.36874,0.000217452,0.000217452,0.000217452
24,823.323,1.20719,0.74838,1.09438,0.85367,0.77931,0.81576,0.55549,1.3768,0.8511,1.37097,0.000214699,0.000214699,0.000214699
25,857.349,1.20056,0.72885,1.09093,0.84488,0.79285,0.82782,0.55945,1.38434,0.85516,1.38996,0.000211947,0.000211947,0.000211947
26,891.615,1.19264,0.74208,1.0928,0.84457,0.79062,0.83374,0.56179,1.36075,0.84433,1.35702,0.000209195,0.000209195,0.000209195
27,926.035,1.19176,0.71889,1.08399,0.84531,0.80077,0.82466,0.55606,1.37978,0.84174,1.37201,0.000206443,0.000206443,0.000206443
28,960.021,1.17921,0.71787,1.07929,0.8744,0.79821,0.84126,0.55531,1.38639,0.84566,1.38413,0.000203691,0.000203691,0.000203691
29,994.026,1.16886,0.70974,1.08064,0.87327,0.78483,0.84012,0.56108,1.38513,0.89179,1.37881,0.000200938,0.000200938,0.000200938
30,1027.97,1.16862,0.71838,1.08713,0.79632,0.85945,0.84552,0.57358,1.36653,0.84886,1.36648,0.000198186,0.000198186,0.000198186
31,1062.28,1.16172,0.69451,1.07229,0.84938,0.7943,0.83118,0.55158,1.38233,0.85152,1.37338,0.000195434,0.000195434,0.000195434
32,1096.43,1.14939,0.70146,1.08032,0.86425,0.81119,0.83177,0.56129,1.37665,0.85269,1.36407,0.000192682,0.000192682,0.000192682
33,1130.49,1.16333,0.69177,1.07308,0.86962,0.81266,0.85014,0.56286,1.39528,0.83381,1.37588,0.00018993,0.00018993,0.00018993
34,1164.57,1.15015,0.68109,1.07187,0.84753,0.84474,0.86096,0.57872,1.39002,0.81387,1.36642,0.000187177,0.000187177,0.000187177
35,1198.82,1.14622,0.67906,1.06892,0.85781,0.84093,0.85346,0.57914,1.39029,0.81679,1.37848,0.000184425,0.000184425,0.000184425
36,1233.05,1.11426,0.6488,1.05465,0.81925,0.83663,0.83459,0.56462,1.39886,0.84669,1.38108,0.000181673,0.000181673,0.000181673
37,1267.24,1.12227,0.65456,1.06538,0.87041,0.83247,0.85502,0.58053,1.36807,0.80741,1.35622,0.000178921,0.000178921,0.000178921
38,1301.42,1.11605,0.65042,1.05713,0.80528,0.84997,0.86475,0.58371,1.37834,0.80067,1.36742,0.000176169,0.000176169,0.000176169
39,1335.6,1.10437,0.65024,1.04806,0.86984,0.80441,0.83899,0.57582,1.37525,0.81538,1.37182,0.000173416,0.000173416,0.000173416
40,1369.52,1.0875,0.64477,1.05202,0.86163,0.81246,0.85056,0.58061,1.38043,0.82731,1.38722,0.000170664,0.000170664,0.000170664
41,1403.48,1.09687,0.63334,1.04671,0.86074,0.85703,0.85501,0.58386,1.36808,0.81378,1.37015,0.000167912,0.000167912,0.000167912
42,1437.86,1.08617,0.6312,1.05721,0.85491,0.84056,0.85215,0.57317,1.39469,0.81483,1.37268,0.00016516,0.00016516,0.00016516
43,1471.96,1.08015,0.62996,1.04387,0.81546,0.86052,0.84473,0.58113,1.35463,0.80159,1.35628,0.000162408,0.000162408,0.000162408
44,1506.01,1.0781,0.62735,1.04602,0.80688,0.83791,0.82623,0.55967,1.38314,0.82345,1.37786,0.000159655,0.000159655,0.000159655
45,1540.08,1.06634,0.62543,1.04398,0.83244,0.83743,0.84615,0.57901,1.36081,0.80711,1.36653,0.000156903,0.000156903,0.000156903
46,1574.06,1.06396,0.60904,1.03878,0.85404,0.8146,0.85,0.57613,1.37373,0.81408,1.37859,0.000154151,0.000154151,0.000154151
47,1608.37,1.06484,0.61658,1.03548,0.84293,0.81444,0.84321,0.56915,1.39747,0.81341,1.39571,0.000151399,0.000151399,0.000151399
48,1642.61,1.05023,0.61024,1.03516,0.85209,0.83369,0.85093,0.58142,1.37274,0.80995,1.36276,0.000148647,0.000148647,0.000148647
49,1676.84,1.04099,0.5931,1.0215,0.83758,0.83345,0.86406,0.58257,1.37008,0.80652,1.37371,0.000145894,0.000145894,0.000145894
50,1710.83,1.0291,0.58988,1.02589,0.86324,0.80931,0.86437,0.58636,1.3706,0.84446,1.36963,0.000143142,0.000143142,0.000143142
51,1744.97,1.02486,0.5838,1.02102,0.86468,0.80399,0.85462,0.57932,1.36511,0.8073,1.36149,0.00014039,0.00014039,0.00014039
52,1779.23,1.02747,0.60111,1.02232,0.86515,0.83761,0.87463,0.60105,1.36151,0.78819,1.35915,0.000137638,0.000137638,0.000137638
53,1813.37,1.02412,0.57503,1.01031,0.8875,0.84084,0.87104,0.59646,1.36493,0.80669,1.35854,0.000134886,0.000134886,0.000134886
54,1847.33,1.01911,0.58353,1.01238,0.86113,0.85349,0.86991,0.59015,1.38924,0.81197,1.38782,0.000132133,0.000132133,0.000132133
54,34.3292,1.03064,0.62303,1.03578,0.86199,0.79093,0.84987,0.57056,1.38796,0.85133,1.42011,0.000132133,0.000132133,0.000132133
55,67.7222,1.02933,0.60656,1.027,0.841,0.82822,0.85319,0.56466,1.38867,0.82015,1.40809,0.000129381,0.000129381,0.000129381
56,102.025,1.0134,0.59784,1.02527,0.86238,0.84187,0.86757,0.58241,1.38672,0.81578,1.40189,0.000126629,0.000126629,0.000126629
57,137.458,0.99661,0.58023,1.01772,0.88272,0.83745,0.87679,0.5917,1.38215,0.84727,1.39885,0.000123877,0.000123877,0.000123877
58,173.077,0.99584,0.5758,1.0157,0.87863,0.84034,0.87128,0.58784,1.39299,0.82055,1.39821,0.000121125,0.000121125,0.000121125
59,207.805,1.00313,0.57949,1.02078,0.87389,0.84862,0.86653,0.58921,1.38843,0.82374,1.39926,0.000118372,0.000118372,0.000118372
60,243.149,0.99585,0.58081,1.01659,0.82815,0.85624,0.86861,0.59199,1.38476,0.8262,1.40002,0.00011562,0.00011562,0.00011562
